id,charaID,level,star,stage,equip1,equip2,equip3,equip4,skillLv,worldItem
int,int,int,int,int,ints,ints,ints,ints,strings,int
1,1009,20,1,1,"1111001,1,1,1","1111002,1,1,1","1111003,1,1,1","1121002,1,1,1","100901:1,100902:1,100903:1,100904:1,100905:1",
2,2005,20,1,10,"1111001,20,1,2","1111002,20,1,2","1111003,20,1,2","1121002,1,1,2","200501:1,200502:1,200504:1,200505:1",
3,2997,20,1,1,"1111001,20,1,3","1111002,20,1,3","1111003,20,1,3","1121002,1,1,3","299701:1,299702:1,299703:1",
4,1007,40,5,10,"1111001,20,1,4","1111002,20,1,4","1111003,20,1,4","1121002,1,1,4","100701:1,100702:1,100703:1,100704:1,100705:1",
5,1004,40,3,10,"1111001,20,1,5","1111002,20,1,5","1111003,20,1,5","1121002,1,1,5","100401:1,100402:1,100403:1,100404:1,100405:1",
6,1001,1,1,1,"1111001,20,1,6","1111002,20,1,6","1111003,20,1,6","1121002,1,1,6",100101:1,
7,2998,1,1,1,"1111001,20,1,6","1111002,20,1,6","1111003,20,1,6","1121002,1,1,6","299801:1,299802:1,299803:1",
8,2998,25,1,1,"1111001,20,1,6","1111002,20,1,6","1111003,20,1,6","1121002,1,1,6","299801:1,299802:1,299803:1",
20111020,1013,18,2,6,,,,,"101301:5,101302:5,101303:5,101304:5,101305:5",
20112020,1007,18,2,6,,,,,"100701:5,100702:5,100703:5,100704:5,100705:5",
20113020,1004,18,2,6,,,,,"100401:5,100402:5,100403:5,100404:5,100405:5",
