id,isPosition,pos1,enter1,facing1,buff1,pos2,enter2,facing2,buff2,pos3,enter3,facing3,buff3,pos4,enter4,facing4,buff4,pos5,enter5,facing5,buff5,pos6,enter6,facing6,buff6,delay
int,bool,floats,floats,bool,int,floats,floats,bool,int,floats,floats,bool,int,floats,floats,bool,int,floats,floats,bool,int,floats,floats,bool,int,float
1,,"-2,2.1",,true,,"-2,-1.9",,true,,"-2,-5.9",,true,,"-5,2.1",,true,,"-5,-1.9",,true,,"-5,-5.9",,true,,
2,,"2,2.1",,false,,"2,-1.9",,false,,"2,-5.9",,false,,"5,2.1",,false,,"5,-1.9",,false,,"5,-5.9",,false,,
3,,"2,2.1",,false,,"2,-1.9",,false,,"2,-5.9",,false,,"5,2.1",,false,,"5,-1.9",,false,,"5,-5.9",,false,,
4,,"-2,2.1",,,,"-2,-1.9",,,,"-2,-5.9",,,,"-5,2.1",,,,"-5,-1.9",,,,"-5,-5.9",,,,
5,true,"-5,2.1","-8,2.1",true,,"-5,-1.9","-8,-1.9",true,,"-5,-5.9","-8,-5.9",true,,"5,2.1","8,2.1",false,,"5,-1.9","8,-1.9",false,,"5,-5.9","8,-5.9",false,,
6,true,"-1,2.1","-1,2.1",false,7000000,"-1,-1.9","-1,-1.9",false,7000000,"-1,-5.9","-1,-5.9",false,7000000,"1,2.1","1,2.1",true,7000000,"1,-1.9","1,-1.9",true,7000000,"1,-5.9","1,-5.9",true,7000000,
7,,"2,2.1","8,2.1",false,,"2,-1.9","8,-1.9",false,,"2,-5.9","8,-5.9",false,,"5,2.1","10,2.1",false,,"5,-1.9","10,-1.9",false,,"5,-5.9","10,-5.9",false,,
8,,"-2,2.1",,true,,"-2,-1.9",,true,,"-2,-5.9",,true,,"-5,2.1",,true,,"-5,-1.9",,true,,"-5,-5.9",,true,,
9,,"2,2.1",,false,,"2,-1.9",,false,,"2,-5.9",,false,,"5,2.1",,false,,"5,-1.9",,false,,"5,-5.9",,false,,
10,true,"-5,2.1","-8,2.1",true,,"-5,-1.9","-8,-1.9",true,,"-5,-5.9","-8,-5.9",true,,"5,2.1","8,2.1",false,,"5,-1.9","8,-1.9",false,,"5,-5.9","8,-5.9",false,,
11,true,"-1,2.1","-1,2.1",false,7000000,"-1,-1.9","-1,-1.9",false,7000000,"-1,-5.9","-1,-5.9",false,7000000,"1,2.1","1,2.1",true,7000000,"1,-1.9","1,-1.9",true,7000000,"1,-5.9","1,-5.9",true,7000000,
12,,"2,2.1",,false,,"2,-1.9",,false,,"2,-5.9",,false,,"5,2.1",,false,,"5,-1.9",,false,,"4.5,-4.2","14.4,-4.2",false,,
1011,,"-3.3,2.1",,true,,"-3.3,-1.9",,true,,"-3.3,-5.9",,true,,"-3.3,2.1",,true,,"-3.3,-1.9",,true,,"-3.3,-5.9",,true,,
1012,,"1,2.1",,false,,"1,-1.9",,false,,"1,-5.9",,false,,"4.5,2.1",,false,,"4.5,-1.9",,false,,"4.5,-5.9",,false,,
