id,type,spawnCenter,spawnPosition,delay,duration,parabolaHigh,parabolaAngle,parabolaOffset,disorderAngle,disorderSpdAngle,speed,acceleration,length,passEffects,hitEffects,endEffects,pass,passTimes
int,int,floats,floats,float,float,float,int,floats,floats,float,int,int,float,ints,ints,ints,int,int
10020111,1,"-0.149,1.565","0.75,2.27",0,5,,,,,,200000,100000,0.15,,10020112,,0,1
10020121,1,"-0.149,1.565","0.75,2.27",0,5,,,,,,200000,100000,0.15,,10020122,,0,1
10020131,1,"-0.149,1.565","0.75,2.27",0,5,,,,,,200000,100000,0.15,,10020132,,0,1
10020141,1,"-0.149,1.565","0.75,2.27",0,5,,,,,,200000,100000,0.15,,10020142,,0,1
10020151,1,"-0.149,1.565","0.75,2.27",0,5,,,,,,200000,100000,0.15,,10020152,,0,1
10020211,1,"-0.159,1.561","0.61,2.32",0,5,,,,,,200000,100000,0.15,,10020212,,0,1
10020212,1,"-1.265,1.613","0.7,2.4",0,5,,,,,,200000,100000,0.15,,10020214,,0,1
10020221,1,"-0.159,1.561","0.61,2.32",0,5,,,,,,200000,100000,0.15,,10020222,,0,1
10020222,1,"-1.265,1.613","0.7,2.4",0,5,,,,,,200000,100000,0.15,,10020224,,0,1
10020231,1,"-0.159,1.561","0.61,2.32",0,5,,,,,,200000,100000,0.15,,10020232,,0,1
10020232,1,"-1.265,1.613","0.7,2.4",0,5,,,,,,200000,100000,0.15,,10020234,,0,1
10020233,1,"-1.265,1.613","0.7,2.4",0,5,,,,,,200000,100000,0.15,,10020236,,0,1
10020241,1,"-0.159,1.561","0.61,2.32",0,5,,,,,,200000,100000,0.15,,10020242,,0,1
10020242,1,"-1.265,1.613","0.7,2.4",0,5,,,,,,200000,100000,0.15,,10020244,,0,1
10020243,1,"-1.265,1.613","0.7,2.4",0,5,,,,,,200000,100000,0.15,,10020246,,0,1
10020311,4,,"0.06,2.18",0,5,2,,,,,100000,100000,,,,10020312,0,0
10020312,4,,"0.06,2.18",0,5,2,,,,,100000,100000,,,,10020322,0,0
10020313,4,,"0.06,2.18",0,5,2,,,,,100000,100000,,,,10020332,0,0
10020314,4,,"0.14,2.1",0,5,2,,,,,100000,100000,,,,10020335,0,0
10020413,4,,"0.06,2.18",0,5,2,,,,,100000,100000,,,,10020342,0,0
10020414,4,,"0.14,2.1",0,5,2,,,,,100000,100000,,,,10020345,0,0
10020513,4,,"0.06,2.18",0,5,2,,,,,100000,100000,,,,10020352,0,0
10020514,4,,"0.14,2.1",0,5,2,,,,,100000,100000,,,,10020355,0,0
1011021,9,,"1,1.7",0,5,,,,,,40000,10000,,10110211,,,1,999
1011022,9,,"1,1.7",0,5,,,,,,40000,10000,,"10110211,10110221,10110222",,,1,999
1011023,9,,"1,1.7",0,5,,,,,,40000,10000,,"10110211,10110231,10110232",,,1,999
1011024,9,,"1,1.7",0,5,,,,,,40000,10000,,"10110211,10110241,10110242",,,1,999
1011025,9,,"1,1.7",0,5,,,,,,40000,10000,,"10110251,10110252,10110253",,,1,999
1011041,1,,"1,1.7",0,5,,,,,,100000,30000,,,10110413,,1,0
1011042,1,,"1,1.7",0,5,,,,,,100000,30000,,,10110423,,1,0
1011043,1,,"1,1.7",0,5,,,,,,100000,30000,,,10110433,,1,0
1011044,1,,"1,1.7",0,5,,,,,,100000,30000,,,10110443,,1,0
1011045,1,,"1,1.7",0,5,,,,,,100000,30000,,,10110453,,1,0
1022101,1,,"1.6,1.9",0,5,,,,,,100000,20000,,,10220111,,0,0
1022102,1,,"1.6,1.9",0,5,,,,,,100000,20000,,,10220121,,0,0
1022103,1,,"1.6,1.9",0,5,,,,,,100000,20000,,,10220131,,0,0
