id,type,paramX,paramY,paramZ
Int,int,int,int,int
1001,1,120,,
1002,2,0,,
1003,3,2,,
1004,1,80,,
10001,19,2,,
10002,15,80,,
10003,1,60,,
10004,19,2,,
10005,15,80,,
10006,1,60,,
10007,19,2,,
10008,15,80,,
10009,1,60,,
10010,19,2,,
10011,15,80,,
10012,1,60,,
10013,19,2,,
10014,15,80,,
10015,1,60,,
10016,19,2,,
10017,15,80,,
10018,1,60,,
10019,19,2,,
10020,15,80,,
10021,1,60,,
10022,19,2,,
10023,15,80,,
10024,1,60,,
10025,19,2,,
10026,15,80,,
10027,1,60,,
10028,19,2,,
10029,15,80,,
10030,1,60,,
10031,19,2,,
10032,15,80,,
10033,1,60,,
10034,19,2,,
10035,15,80,,
10036,1,60,,
10037,19,2,,
10038,15,80,,
10039,1,60,,
10040,19,2,,
10041,15,80,,
10042,1,60,,
10043,19,2,,
10044,15,80,,
10045,1,60,,
10046,19,2,,
10047,15,80,,
10048,1,60,,
10049,19,2,,
10050,15,80,,
101011,7,1,,
101012,8,1,,
101021,5,1,2,
101022,5,1,4,
102011,7,1,,
102012,10,1,101,
102021,5,1,4,
102022,5,1,5,
102051,4,1002,,
102052,8,1,,
102071,5,1,5,
102072,8,1,,
103011,5,1,5,
103012,8,1,,
103051,5,1,2,
103052,8,1,,
103061,5,1,4,
103062,19,2,,
103091,5,1,1,
103092,15,70,,
104011,5,1,6,
104012,18,1,2,
104041,5,1,3,
104042,18,1,2,
104071,5,1,5,
104072,19,2,,
104091,5,1,4,
104092,15,70,,
104121,5,1,6,
104122,1,60,,
105011,5,1,2,
105012,18,1,3,
105051,5,1,1,
105052,1,60,,
105081,5,1,3,
105082,18,1,3,
105101,5,1,4,
105102,18,1,4,
105121,5,1,2,
105122,18,1,1,
105151,5,1,1,
105152,18,1,1,
105161,10,1,105,
105162,19,2,,
5010011,1,45,,
5010012,7,1,,
5010021,8,1,,
5010022,15,50,,
5010031,7,2,,
5010032,15,60,,
5010041,8,1,,
5010042,15,50,,
5010051,1,45,,
5010052,7,1,,
5010061,8,2,,
5010062,15,60,,
5020011,8,1,,
5020012,15,50,,
5020021,1,45,,
5020022,7,1,,
5020031,7,2,,
5020032,15,60,,
5020041,1,45,,
5020042,8,1,,
5020051,1,45,,
5020052,15,50,,
5020061,8,2,,
5020062,15,60,,
5030011,1,45,,
5030012,8,1,,
5030021,1,45,,
5030022,15,50,,
5030031,7,2,,
5030032,15,60,,
5030041,1,45,,
5030042,8,1,,
5030051,1,45,,
5030052,15,50,,
5030061,8,2,,
5030062,15,60,,
5040011,15,50,,
5040012,6,1,6,
5040021,15,50,,
5040022,11,0,,
5040031,15,40,,
5040032,12,0,,
5040041,1,45,,
5040042,6,1,6,
5040051,1,45,,
5040052,15,50,,
5040061,15,40,,
5040062,11,0,,
5050011,15,50,,
5050012,19,2,,
5050021,1,45,,
5050022,5,2,2,
5050031,15,40,,
5050032,1,50,,
5050041,15,50,,
5050042,19,2,,
5050051,1,45,,
5050052,6,1,6,
5050061,1,80,,
5050062,19,2,,
5060011,1,45,,
