id,charaName,hpMax,phyAtk,magAtk,phyDfs,magDfs,critAtkRatio,critDfsValue,hitRateBasic,hitRateValue,evadeValue,energyMax,energyRecover,heroEnergyRecover,hpRecover,energy,energyDamagedRecover,moveSpd,combatPower
int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,骨王,100000,17320,17320,0,0,0,0,1000000,,0,8,0,1,0,0,0,0,0
2,骨王盾,100000,0,0,0,0,0,0,10000,,0,0,0,1,0,0,0,0,0
4,塔其米,100000,17320,17320,0,0,0,0,1000000,,0,8,0,1,0,0,0,0,0
1001,安兹·乌尔·恭,631,12,95,27,36,530,0,10000,,,,,,,,,50000,0
1002,希姿·德尔塔,667,91,13,29,33,538,0,10000,,,,,,,,,50000,0
1003,露普斯蕾琪娜·贝塔,985,67,12,55,54,307,0,10000,,,,,,,,,50000,0
1004,雅儿贝德,966,71,11,59,52,307,0,10000,,,,,,,,,50000,0
1005,科塞特斯,975,67,12,59,53,264,0,10000,,,,,,,,,50000,0
1006,赛巴斯·蒂安,930,83,10,46,37,315,0,10000,,,,,,,,,50000,0
1007,亚乌拉·贝拉·菲欧娜,737,89,15,36,35,511,0,10000,,,,,,,,,50000,0
1008,马雷·贝罗·菲欧雷,746,12,68,37,41,307,0,10000,,,,,,,,,50000,0
1009,迪米乌哥斯,757,9,95,32,32,530,0,10000,,,,,,,,,50000,0
1011,索留香,754,85,12,33,34,751,0,10000,,,,,,,,,50000,0
1012,莫莫,716,64,9,35,35,276,0,10000,,,,,,,,,50000,0
1013,夏提雅·布拉德弗伦,606,11,93,27,37,503,0,10000,,,,,,,,,50000,0
1014,夏提雅·鲜血女武神,851,81,12,42,44,415,0,10000,,,,,,,,,50000,0
1017,由莉·阿尔法,869,80,12,46,41,380,0,10000,,,,,,,,,50000,0
1021,威克提姆,704,12,70,35,42,298,0,10000,,,,,,,,,50000,0
1024,漆黑圣典·第一席次,843,82,12,46,43,357,0,10000,,,,,,,,,50000,0
1031,漆黑圣典·巨盾万壁,956,67,11,55,58,307,0,10000,,,,,,,,,50000,0
2001,美姬·娜贝,476,56,8,21,22,474,0,10000,,,,,,,,,50000,0
2005,葛杰夫·斯托洛夫,723,61,10,37,32,304,0,10000,,,,,,,,,50000,0
2006,布莱恩·安格劳斯,716,62,10,34,34,313,0,10000,,,,,,,,,50000,0
2007,伊维尔哀,545,9,74,22,28,424,0,10000,,,,,,,,,50000,0
2008,菈萩丝,520,9,78,21,30,441,0,10000,,,,,,,,,50000,0
2009,格格兰,788,53,9,48,41,211,0,10000,,,,,,,,,50000,0
2011,狄瓦诺克,500,10,78,21,28,424,0,10000,,,,,,,,,50000,0
