id,riseExp,costItem
Int,Int,Ints
1,0,
2,20,
3,60,
4,120,
5,230,
6,400,
7,670,
8,1070,
9,1630,
10,2390,
11,3380,
12,4630,
13,6180,
14,8060,
15,10300,
16,12950,
17,16060,
18,19680,
19,23850,
20,28630,
21,34060,
22,40190,
23,47060,
24,54730,
25,63240,
26,72640,
27,82980,
28,94310,
29,106670,
30,120110,
31,134870,
32,151190,
33,169310,
34,189470,
35,212390,
36,238790,
37,269380,
38,304880,
39,346010,
40,393490,
41,448030,
42,510360,
43,581190,
44,661240,
45,752420,
46,856650,
47,975840,
48,1111910,
49,1266780,
50,1442350,
51,1640550,
52,1863290,
53,2112480,
54,2390040,
55,2697880,
56,3037910,
57,3412060,
58,3822230,
59,4270340,
60,4758310,
