id,roleID,skillNumber,associatedSkillNumber,skillType,isPassive,skillLevel,skillUnlock,unlockParam,starAutoLevelUp,cost,combatPower
Int,Int,Int,Int,Int,Bool,Int,Int,Int,Int,strings,ints
100101,51001,100101,,7,,1,,,,,"0,5"
100102,51001,100104,,3,,1,,,,,"0,5"
299902,2999,299902,,9,,1,,,,,"0,0"
600101,10001,600101,,7,,1,,,,,"0,5"
600102,10001,600102,,8,,1,,,,,"0,5"
600201,10002,600201,,7,,1,,,,,"0,5"
600202,10002,600202,,9,,1,,,,,"0,5"
600203,10002,600203,,8,,1,,,,,"0,5"
600204,10002,600204,,8,,1,,,,,"0,5"
600205,10002,600205,,8,,1,,,,,"0,5"
600206,10002,600206,,8,,1,,,,,"0,5"
600301,10003,600301,,7,,1,,,,,"0,5"
600302,10003,600302,,9,,1,,,,,"0,5"
600303,10003,600303,,8,,1,,,,,"0,5"
600401,10004,600401,,7,,1,,,,,"0,5"
600402,10004,600402,,8,,1,,,,,"0,5"
600403,10004,600403,,8,,1,,,,,"0,5"
600501,10005,600501,,7,,1,,,,,"0,5"
600502,10005,600502,,3,,1,,,,,"0,5"
600505,10005,600505,,3,,1,,,,,"0,5"
600601,10006,600601,,7,,1,,,,,"0,5"
600602,10006,600602,,7,,1,,,,,"0,5"
600603,10006,600603,,7,,1,,,,,"0,5"
600701,10007,600701,,7,,1,,,,,"0,5"
600702,10007,600702,,9,,1,,,,,"0,5"
600703,10007,600703,,9,,1,,,,,"0,5"
600704,10007,600704,,9,,1,,,,,"0,5"
600801,10008,600801,,7,,1,,,,,"0,5"
600802,10008,600802,,7,,1,,,,,"0,5"
600803,10008,600803,,4,,1,,,,,"0,5"
600804,10008,600804,,5,,1,,,,,"0,5"
600901,10009,600901,,7,,1,,,,,"0,5"
600902,10009,600902,,9,,1,,,,,"0,5"
600903,10009,600903,,8,,1,,,,,"0,5"
600904,10009,600904,,8,,1,,,,,"0,5"
601001,10010,601001,,7,,1,,,,,"0,5"
601002,10010,601002,,8,,1,,,,,"0,5"
601005,10010,601004,,7,,1,,,,,"0,5"
601006,10010,601006,,7,,1,,,,,"0,5"
601101,10011,601101,,7,,1,,,,,"0,5"
601102,10011,601102,,9,,1,,,,,"0,5"
601103,10011,601103,,8,,1,,,,,"0,5"
601104,10011,601104,,5,,1,,,,,"0,5"
601201,10012,601201,,7,,1,,,,,"0,5"
601301,10013,601301,,7,,1,,,,,"0,5"
601302,10013,601302,,7,,1,,,,,"0,5"
601303,10013,601303,,7,,1,,,,,"0,5"
601401,10014,601401,,7,,1,,,,,"0,5"
601402,10014,601402,,9,,1,,,,,"0,5"
601403,10014,601403,,8,,1,,,,,"0,5"
601404,10014,601404,,8,,1,,,,,"0,5"
601405,11014,601405,,8,,1,,,,,"0,5"
601407,11014,601407,,8,,1,,,,,"0,5"
601501,10015,601501,,7,,1,,,,,"0,5"
601502,10015,601502,,8,,1,,,,,"0,5"
601503,10015,601503,,8,,1,,,,,"0,5"
601601,10016,601601,,7,,1,,,,,"0,5"
601602,10016,601602,,8,,1,,,,,"0,5"
601604,10016,601604,,8,,1,,,,,"0,5"
601701,10017,601701,,7,,1,,,,,"0,5"
601702,10017,601702,,9,,1,,,,,"0,5"
601703,10017,601703,,8,,1,,,,,"0,5"
601704,10017,601704,,8,,1,,,,,"0,5"
601705,10017,601705,,8,,1,,,,,"0,5"
601708,10017,601708,,8,,1,,,,,"0,5"
601801,10018,601801,,7,,1,,,,,"0,5"
601802,10018,601802,,9,,1,,,,,"0,5"
601803,10018,601803,,8,,1,,,,,"0,5"
601901,10019,601901,,7,,1,,,,,"0,5"
601902,10019,601902,,9,,1,,,,,"0,5"
601903,10019,601903,,8,,1,,,,,"0,5"
601904,10019,601904,,7,,1,,,,,"0,5"
602001,10020,602001,,8,,1,,,,,"0,5"
