id,charID,star,hpRatio,phyAtkRatio,magAtkRatio,phyDfsRatio,magDfsRatio,hpMax,phyAtk,magAtk,phyDfs,magDfs,rarityUp,cost,buildProducePercent
Int,Int,Int,Float,Float,Float,Float,Float,Int,Int,Int,Int,Int,Int,Strings,int
29971,2997,1,0,0,0,0,0,0,0,0,0,0,,,
29981,2998,1,419.213,35.487,5.589,21.402,18.631,2748,233,37,140,122,,,400
10011,1001,1,182.922,3.43,27.438,17.149,10.461,0,0,0,0,0,,,400
10012,1001,2,210.361,3.944,31.554,19.721,12.03,584,11,88,55,33,,"501001:60,11:10000",500
10013,1001,3,246.945,4.63,37.042,10.418,14.122,960,18,144,41,55,,"501001:90,11:30000",600
10014,1001,4,292.676,5.488,43.901,12.347,16.737,1463,27,220,62,84,,"501001:120,11:60000",700
10015,1001,5,365.845,6.86,54.877,15.434,20.922,2398,45,360,101,137,,"501001:150,11:100000",800
10021,1002,1,193.212,26.338,3.68,8.489,9.621,0,0,0,0,0,,,400
10022,1002,2,222.194,30.289,4.232,9.762,11.064,617,84,12,27,31,,"501002:60,11:10000",500
10023,1002,3,260.836,35.556,4.968,11.46,12.988,1014,138,19,45,51,,"501002:90,11:30000",600
10024,1002,4,309.139,42.141,5.888,13.582,15.393,1546,211,29,68,77,,"501002:120,11:60000",700
10025,1002,5,386.424,52.676,7.36,16.977,19.241,2533,345,48,111,126,,"501002:150,11:100000",800
10031,1003,1,285.359,19.327,3.43,15.966,15.63,0,0,0,0,0,,,400
10032,1003,2,328.163,22.226,3.944,18.361,17.974,912,62,11,51,50,,"501003:60,11:10000",500
10033,1003,3,385.235,26.091,4.63,21.554,21.1,1498,101,18,84,82,,"501003:90,11:30000",600
10034,1003,4,456.574,30.923,5.488,25.545,25.007,2283,155,27,128,125,,"501003:120,11:60000",700
10035,1003,5,570.718,38.654,6.86,31.931,31.259,3741,253,45,209,205,,"501003:150,11:100000",800
10041,1004,1,279.871,20.707,3.087,17.106,15.151,0,0,0,0,0,,,400
10042,1004,2,321.852,23.813,3.55,19.672,17.424,894,66,10,55,48,,"501004:60,11:10000",500
10043,1004,3,377.826,27.955,4.167,23.093,20.454,1469,109,16,90,80,,"501004:90,11:30000",600
10044,1004,4,447.794,33.132,4.939,27.37,24.242,2239,166,25,137,121,,"501004:120,11:60000",700
10045,1004,5,559.743,41.415,6.174,34.212,30.302,3669,271,40,224,199,,"501004:150,11:100000",800
10051,1005,1,282.615,19.327,3.43,17.106,15.311,0,0,0,0,0,,,400
10052,1005,2,325.007,22.226,3.944,19.672,17.607,903,62,11,55,49,,"501005:60,11:10000",500
10053,1005,3,381.531,26.091,4.63,23.093,20.669,1484,101,18,90,80,,"501005:90,11:30000",600
10054,1005,4,452.184,30.923,5.488,27.37,24.497,2261,155,27,137,122,,"501005:120,11:60000",700
10055,1005,5,565.23,38.654,6.86,34.212,30.621,3705,253,45,224,201,,"501005:150,11:100000",800
10061,1006,1,269.639,24.009,2.767,13.376,10.804,0,0,0,0,0,,,400
10062,1006,2,310.085,27.61,3.182,15.383,12.424,861,77,9,43,35,,"501006:60,11:10000",500
10063,1006,3,364.013,32.412,3.735,18.058,14.585,1416,126,15,70,57,,"501006:90,11:30000",600
10064,1006,4,431.423,38.414,4.427,21.402,17.286,2157,192,22,107,86,,"501006:120,11:60000",700
10065,1006,5,539.278,48.017,5.533,26.752,21.608,3535,315,36,175,142,,"501006:150,11:100000",800
10071,1007,1,213.648,25.795,4.287,10.375,10.058,0,0,0,0,0,,,400
10072,1007,2,245.695,29.664,4.93,11.931,11.567,682,82,14,33,32,,"501007:60,11:10000",500
10073,1007,3,288.424,34.823,5.788,14.006,13.578,1122,135,23,54,53,,"501007:90,11:30000",600
10074,1007,4,341.836,41.272,6.86,16.6,16.093,1709,206,34,83,80,,"501007:120,11:60000",700
10075,1007,5,427.295,51.59,8.574,20.75,20.116,2801,338,56,136,132,,"501007:150,11:100000",800
10081,1008,1,216.077,3.487,19.607,10.598,11.764,0,0,0,0,0,,,400
10082,1008,2,248.489,4.01,22.548,12.188,13.529,690,11,63,34,38,,"501008:60,11:10000",500
10083,1008,3,291.704,4.707,26.469,14.307,15.882,1134,18,103,56,62,,"501008:90,11:30000",600
10084,1008,4,345.723,5.579,31.371,16.957,18.823,1729,28,157,85,94,,"501008:120,11:60000",700
