id,hp_max_Final,phy_atk_Final,mag_atk_Final,phy_dfs_Final,mag_dfs_Final,crit_atk_ratio,crit_dfs_ratio,crit_atk_value,crit_dfs_value,hit_rate_value,evade_value,normal_atk_up,normal_dfs_up,skillAtkUp,skillDfsUp,ultraAtkUp,ultraDfsUp,skill_phy_atk_up,skill_phy_dfs_up,skill_mag_atk_up,skill_mag_dfs_up,cure_up,heal_up,phyPen,magPen,final_dmg
int,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
1,,,7.4,,,,,,,,,,,,,,,,,,,,,,,
2,0.74,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7.4,,,,,,,,,,,,,,,,,,,,,,,,
2997,0.1,1.85,1,1.65,1.65,0.2,0.03,0.03,0.03,0.03,0.03,0,1,,,,,1,1,1,1,,,,,
2998,0.1,1.85,1,1.65,1.65,0.2,0.03,0.03,0.03,0.03,0.03,0,1,,,,,1,1,1,1,,,,,
1001,0.1,0.2,1.62,0.6,0.6,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1002,0.098,1.65,0.197,0.653,0.59,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1003,0.098,1.313,0.2,0.672,0.672,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1004,0.099,1.268,0.211,0.649,0.682,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1005,0.099,1.313,0.2,0.649,0.679,0.414,0.414,0.414,0.414,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1006,0.097,1.366,0.222,0.657,0.705,0.423,0.423,0.423,0.423,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
