id,careerId,symbol,hpAdaption,phyAtkAdaption,magAtkAdaption,phyDfsAdaption,magDfsAdaption,critAtkRatioAdaption
int,int,int,float,float,float,float,float,float
1,1,1,0.96,0.69,0.12,0.95,0.93,0.4
2,2,1,0.89,0.8,0.121,0.75,0.7,0.5
3,3,1,0.75,0.85,0.123,0.55,0.6,0.95
4,4,1,0.65,0.95,0.125,0.55,0.5,0.7
5,5,1,0.64,0.12,0.96,0.45,0.6,0.69
6,6,1,0.81,0.122,0.7,0.6,0.7,0.4
7,1,2,1.056,0.759,0.132,1.045,1.023,0.44
8,2,2,0.979,0.88,0.1331,0.825,0.77,0.55
9,3,2,0.825,0.935,0.1353,0.605,0.66,1.045
10,4,2,0.715,1.045,0.1375,0.605,0.55,0.77
11,5,2,0.704,0.132,1.056,0.495,0.66,0.759
12,6,2,0.891,0.1342,0.77,0.66,0.77,0.44
