id,dropGroup,dropItem,dropPr,dropNumber
int,int,int,int,ints
1,51200,9001,1000,"1,1"
2,51800,9001,1000,"1,1"
3,52100,9001,1000,"1,1"
4,910309011,1123001,1000,"1,1"
5,910309012,1143001,1000,"1,1"
6,910309013,1153001,1000,"1,1"
7,6000001,2,22,"15,15"
8,6000001,2,6,"30,30"
9,6000001,2,4,"50,50"
10,6000001,8001,1,"1,1"
11,6000001,1616101,1,"1,1"
12,6000001,11,32,"3000,3000"
13,6000001,11,22,"6000,6000"
14,6000001,11,12,"10000,10000"
15,50001,1604001,1000,"1,1"
16,50002,1603001,1000,"1,1"
17,50003,1604002,1000,"1,1"
18,50004,1604001,1000,"1,1"
19,50005,11,1000,"10000,10000"
20,50006,11,1000,"10000,10000"
21,50007,1601003,1000,"1,1"
22,50008,1602002,1000,"1,1"
23,50009,1604001,1000,"1,1"
24,1000000,2,1000,"20,20"
25,90001,2,1000,"10,10"
26,90002,2,1000,"20,20"
27,90003,2,1000,"30,30"
28,90004,2,1000,"40,40"
29,2010042,2041,1000,"1,1"
30,2000000,121002,1000,"3,3"
31,10086,1,1000,"300,300"
32,9000001,2,1000,"5,5"
33,9000002,2,1000,"10,10"
34,9000003,2,1000,"15,15"
35,9000004,2,1000,"20,20"
36,9000001,1604001,1000,"2,2"
37,9000002,1605001,1000,"2,2"
38,9000003,1603001,1000,"3,3"
39,9000004,1615001,1000,"2,2"
40,9000005,8001,1000,"1,1"
41,9100001,1,1000,"90,90"
42,9100002,1,1000,"120,120"
43,9100003,1,1000,"80,80"
44,9100004,1,1000,"100,100"
45,9100005,1,1000,"100,100"
46,9100006,1,1000,"80,80"
47,9100007,1,1000,"100,100"
48,9100008,1,1000,"100,100"
49,9100009,1,1000,"150,150"
50,9100010,1,1000,"100,100"
51,1070061,100041,1000,"1,1"
52,1070061,11,1000,"20000,20000"
53,1070062,100041,1000,"1,1"
54,1070062,11,1000,"20000,20000"
55,1070063,100041,1000,"1,1"
56,1070063,11,1000,"20000,20000"
57,1070064,100041,1000,"2,2"
58,1070064,11,1000,"20000,20000"
59,1070065,100041,1000,"2,2"
60,1070065,11,1000,"20000,20000"
61,1,1002,1000,"1,1"
62,3,1131012,0,"1,1"
63,3,1132012,0,"1,1"
64,3,1133012,0,"1,1"
65,3,1134012,100,"1,1"
66,4,1121003,0,"1,1"
67,4,1122003,0,"1,1"
68,4,1123003,0,"1,1"
69,4,1124003,100,"1,1"
70,5,1172001,0,"1,1"
71,5,1173001,0,"1,1"
72,5,1174001,100,"1,1"
73,6,10001,1000,"1,1"
74,200000,2,1000,"10,10"
75,200001,121002,1000,"3,3"
76,2,1111001,0,"1,1"
77,2,1112001,0,"1,1"
78,2,1113001,0,"1,1"
79,2,1114001,100,"1,1"
80,2,9001,1000,"1,1"
81,1020011,8001,1000,"1,1"
82,1020012,121001,1000,"5,5"
83,1020051,501012,1000,"60,60"
84,1020051,8001,1000,"1,1"
85,1020051,6,1000,"300,300"
86,1020051,1601001,1000,"3,3"
87,1020051,121003,1000,"10,10"
88,1030011,11,1000,"2000,2000"
89,1030012,121001,1000,"5,5"
90,1030013,8001,1000,"1,1"
91,1030021,8001,1000,"1,1"
92,1030021,121002,1000,"5,5"
93,1030042,11,1000,"2000,2000"
94,1030051,502001,1000,"30,30"
95,1030051,8001,1000,"1,1"
96,1030051,6,1000,"500,500"
97,1030051,1616101,1000,"1,1"
98,1030051,1601001,1000,"3,3"
99,1030051,121003,1000,"10,10"
100,1040011,11,1000,"1000,1000"
101,1040012,121002,1000,"3,3"
102,1040013,8001,1000,"1,1"
103,1040014,121002,1000,"3,3"
104,1040022,11,1000,"3000,3000"
105,1040022,121002,1000,"5,5"
106,1040031,11,1000,"5000,5000"
107,1040041,11,1000,"2000,2000"
108,1040043,121001,1000,"5,5"
109,1040051,502001,1000,"30,30"
110,1040051,8001,1000,"1,1"
111,1040051,6,1000,"1200,1200"
112,1040051,1616101,1000,"1,1"
113,1040051,1601001,1000,"5,5"
114,1040051,121003,1000,"10,10"
115,1040061,1604001,1000,"1,1"
116,1040061,1122011,1000,"1,1"
117,1040061,1162011,1000,"1,1"
118,1040061,1142011,1000,"1,1"
119,1040062,1604001,1000,"1,1"
120,1040062,1152011,1000,"1,1"
121,1040062,1112011,1000,"1,1"
122,1040062,1132001,1000,"1,1"
123,1050011,11,1000,"1000,1000"
124,1050012,121002,1000,"3,3"
125,1050013,8001,1000,"1,1"
126,1050014,121002,1000,"3,3"
127,1050022,11,1000,"3000,3000"
128,1050022,121002,1000,"5,5"
129,1050031,11,1000,"5000,5000"
130,1050041,11,1000,"2000,2000"
131,1050043,121001,1000,"5,5"
132,1050051,502001,1000,"15,15"
133,1050051,8001,1000,"1,1"
134,1050051,6,1000,"1800,1800"
135,1050051,1616101,1000,"1,1"
136,1050051,1601002,1000,"3,3"
137,1050051,121003,1000,"10,10"
138,1050061,1605002,1000,"2,2"
139,1050061,1122012,1000,"1,1"
140,1050061,1162012,1000,"1,1"
141,1050061,1122013,1000,"1,1"
142,1050062,1603002,1000,"3,3"
143,1050062,122104,1000,"8,8"
144,1050062,122204,1000,"8,8"
145,1050062,122304,1000,"8,8"
146,1050062,122404,1000,"8,8"
147,1060011,11,1000,"2000,2000"
148,1060012,121002,1000,"5,5"
149,1060013,8001,1000,"1,1"
150,1060014,121002,1000,"5,5"
151,1060015,8001,1000,"1,1"
152,1060022,11,1000,"3000,3000"
153,1060022,121002,1000,"5,5"
154,1060023,11,1000,"3000,3000"
155,1060023,121002,1000,"5,5"
156,1060031,11,1000,"5000,5000"
157,1060041,11,1000,"2000,2000"
158,1060043,121001,1000,"5,5"
159,1060051,502001,1000,"15,15"
160,1060051,8001,1000,"1,1"
161,1060051,6,1000,"2700,2700"
162,1060051,1616101,1000,"1,1"
163,1060051,1601002,1000,"5,5"
164,1060061,1605002,1000,"1,1"
165,1060061,1606002,1000,"2,2"
166,1060061,1615003,1000,"2,2"
167,1060061,8001,1000,"1,1"
168,1060062,1605002,1000,"1,1"
169,1060062,1172003,1000,"1,1"
170,1060062,1172001,1000,"1,1"
171,1060062,8001,1000,"1,1"
172,1060063,1605002,1000,"1,1"
173,1060063,1172002,1000,"1,1"
174,1060063,1172003,1000,"1,1"
175,1060063,8001,1000,"1,1"
176,1070011,8001,1000,"1,1"
177,1070012,121002,1000,"5,5"
178,1070013,11,1000,"2000,2000"
179,1070014,121002,1000,"5,5"
180,1070015,8001,1000,"1,1"
181,1070022,11,1000,"3000,3000"
182,1070022,121002,1000,"5,5"
183,1070023,11,1000,"3000,3000"
184,1070023,121002,1000,"5,5"
185,1070031,11,1000,"5000,5000"
186,1070041,11,1000,"2000,2000"
187,1070043,121001,1000,"5,5"
188,1070051,100041,1000,"3,3"
189,1070051,8001,1000,"2,2"
190,1070051,6,1000,"3600,3600"
191,1070051,1616101,1000,"1,1"
192,1070051,1601002,1000,"5,5"
193,1080011,8001,1000,"1,1"
194,1080012,121002,1000,"5,5"
195,1080013,11,1000,"2000,2000"
196,1080014,121002,1000,"5,5"
197,1080015,8001,1000,"1,1"
198,1080022,11,1000,"3000,3000"
199,1080022,121002,1000,"5,5"
200,1080023,11,1000,"3000,3000"
201,1080023,121002,1000,"5,5"
202,1080031,11,1000,"6000,6000"
203,1080041,11,1000,"2000,2000"
204,1080043,121001,1000,"5,5"
205,1080051,502001,1000,"15,15"
206,1080051,8001,1000,"2,2"
207,1080051,6,1000,"5400,5400"
208,1080051,1616101,1000,"1,1"
209,1090011,8001,1000,"1,1"
210,1090012,121002,1000,"5,5"
211,1090013,11,1000,"2000,2000"
212,1090014,121002,1000,"5,5"
213,1090015,8001,1000,"1,1"
214,1090022,11,1000,"3000,3000"
215,1090022,121002,1000,"5,5"
216,1090023,11,1000,"3000,3000"
217,1090023,121002,1000,"5,5"
218,1090031,11,1000,"6000,6000"
219,1090041,11,1000,"2000,2000"
220,1090043,121001,1000,"5,5"
221,1090051,502001,1000,"15,15"
222,1090051,8001,1000,"2,2"
223,1090051,6,1000,"7200,7200"
224,1090051,1616101,1000,"1,1"
225,1100011,8001,1000,"1,1"
226,1100012,121003,1000,"3,3"
227,1100013,11,1000,"2500,2500"
228,1100014,121003,1000,"3,3"
229,1100015,8001,1000,"1,1"
230,1100022,11,1000,"3000,3000"
231,1100022,121003,1000,"5,5"
232,1100023,11,1000,"3000,3000"
233,1100023,121003,1000,"5,5"
234,1100031,11,1000,"6000,6000"
235,1100041,11,1000,"2000,2000"
236,1100043,121002,1000,"5,5"
237,1100051,502001,1000,"15,15"
238,1100051,8001,1000,"2,2"
239,1100051,6,1000,"7200,7200"
240,1100051,1616101,1000,"1,1"
241,1110011,8001,1000,"1,1"
242,1110012,121003,1000,"3,3"
243,1110013,11,1000,"2500,2500"
244,1110014,121003,1000,"3,3"
245,1110015,8001,1000,"1,1"
246,1110022,11,1000,"4000,4000"
247,1110022,121003,1000,"5,5"
248,1110023,11,1000,"4000,4000"
249,1110023,121003,1000,"5,5"
250,1110031,11,1000,"6000,6000"
251,1110032,11,1000,"6000,6000"
252,1110041,11,1000,"2000,2000"
253,1110043,121002,1000,"5,5"
254,1110045,11,1000,"2000,2000"
255,1110051,502001,1000,"15,15"
256,1110051,8001,1000,"2,2"
257,1110051,6,1000,"9600,9600"
258,1110051,1616101,1000,"1,1"
259,1120011,8001,1000,"1,1"
260,1120012,121003,1000,"3,3"
261,1120013,11,1000,"2500,2500"
262,1120014,121003,1000,"3,3"
263,1120015,8001,1000,"1,1"
264,1120022,11,1000,"4000,4000"
265,1120022,121003,1000,"5,5"
266,1120023,11,1000,"4000,4000"
267,1120023,121003,1000,"5,5"
268,1120031,11,1000,"6000,6000"
269,1120032,11,1000,"6000,6000"
270,1120041,11,1000,"2000,2000"
271,1120043,121002,1000,"5,5"
272,1120045,11,1000,"2000,2000"
273,1120051,502001,1000,"15,15"
274,1120051,8001,1000,"2,2"
275,1120051,6,1000,"9600,9600"
276,1120051,1616101,1000,"1,1"
277,2000011,11,1000,"6000,6000"
278,2000011,2,1000,"20,20"
279,2000012,11,1000,"12000,12000"
280,2000012,2,1000,"40,40"
281,2000013,2,1000,"60,60"
282,2000013,501012,1000,"5,5"
283,2000021,11,1000,"6000,6000"
284,2000021,2,1000,"20,20"
285,2000022,11,1000,"12000,12000"
286,2000022,2,1000,"40,40"
287,2000023,2,1000,"60,60"
288,2000023,501012,1000,"5,5"
289,2000031,11,1000,"6000,6000"
290,2000031,2,1000,"20,20"
291,2000032,11,1000,"12000,12000"
292,2000032,2,1000,"40,40"
293,2000033,2,1000,"60,60"
294,2000033,501012,1000,"5,5"
295,2000041,11,1000,"6000,6000"
296,2000041,2,1000,"20,20"
297,2000042,11,1000,"12000,12000"
298,2000042,2,1000,"40,40"
299,2000043,2,1000,"60,60"
300,2000043,501012,1000,"5,5"
301,2000051,11,1000,"6000,6000"
302,2000051,2,1000,"20,20"
303,2000052,11,1000,"12000,12000"
304,2000052,2,1000,"40,40"
305,2000053,2,1000,"60,60"
306,2000053,501012,1000,"5,5"
307,2000061,11,1000,"6000,6000"
308,2000061,2,1000,"20,20"
309,2000062,11,1000,"12000,12000"
310,2000062,2,1000,"40,40"
311,2000063,2,1000,"60,60"
312,2000063,501012,1000,"5,5"
313,2000071,11,1000,"6000,6000"
314,2000071,2,1000,"20,20"
315,2000072,11,1000,"12000,12000"
316,2000072,2,1000,"40,40"
317,2000073,2,1000,"60,60"
318,2000073,501012,1000,"5,5"
319,2000081,11,1000,"6000,6000"
320,2000081,2,1000,"40,40"
321,2000082,11,1000,"12000,12000"
322,2000082,2,1000,"80,80"
323,2000083,8001,1000,"1,1"
324,2000083,501012,1000,"5,5"
325,2000091,11,1000,"6000,6000"
326,2000091,2,1000,"40,40"
327,2000092,11,1000,"12000,12000"
328,2000092,2,1000,"80,80"
329,2000093,2,1000,"100,100"
330,2000093,501012,1000,"5,5"
331,2000101,11,1000,"6000,6000"
332,2000101,2,1000,"40,40"
333,2000102,11,1000,"12000,12000"
334,2000102,2,1000,"80,80"
335,2000103,8001,1000,"1,1"
336,2000103,501012,1000,"5,5"
337,2000111,11,1000,"8000,8000"
338,2000111,2,1000,"50,50"
339,2000112,11,1000,"16000,16000"
340,2000112,2,1000,"100,100"
341,2000113,1616101,1000,"1,1"
342,2000113,501012,1000,"10,10"
343,2000121,11,1000,"8000,8000"
344,2000121,2,1000,"50,50"
345,2000122,11,1000,"16000,16000"
346,2000122,2,1000,"100,100"
347,2000123,8001,1000,"1,1"
348,2000123,501012,1000,"10,10"
349,2000131,11,1000,"8000,8000"
350,2000131,2,1000,"50,50"
351,2000132,11,1000,"16000,16000"
352,2000132,2,1000,"100,100"
353,2000133,1616101,1000,"1,1"
354,2000133,501012,1000,"10,10"
355,2000141,11,1000,"8000,8000"
356,2000141,2,1000,"50,50"
357,2000142,11,1000,"16000,16000"
358,2000142,2,1000,"100,100"
359,2000143,8001,1000,"1,1"
360,2000143,501012,1000,"10,10"
361,2000151,11,1000,"8000,8000"
362,2000151,2,1000,"50,50"
363,2000152,11,1000,"16000,16000"
364,2000152,2,1000,"100,100"
365,2000153,1616101,1000,"1,1"
366,2000153,501012,1000,"10,10"
367,2000161,11,1000,"8000,8000"
368,2000161,2,1000,"50,50"
369,2000162,11,1000,"16000,16000"
370,2000162,2,1000,"100,100"
371,2000163,8001,1000,"1,1"
372,2000163,501012,1000,"10,10"
373,2000171,11,1000,"8000,8000"
374,2000171,2,1000,"50,50"
375,2000172,11,1000,"16000,16000"
376,2000172,2,1000,"100,100"
377,2000173,1616101,1000,"1,1"
378,2000173,501012,1000,"10,10"
379,2000181,11,1000,"8000,8000"
380,2000181,2,1000,"50,50"
381,2000182,11,1000,"16000,16000"
382,2000182,2,1000,"100,100"
383,2000183,8001,1000,"1,1"
384,2000183,501012,1000,"10,10"
385,3001001,11,1000,"1000,1000"
386,3001011,11,1000,"500,500"
387,3001011,121001,1000,"10,10"
388,3002001,11,1000,"1000,1000"
389,3002011,11,1000,"500,500"
390,3002011,121002,1000,"15,15"
391,3003001,11,1000,"1000,1000"
392,3003011,11,1000,"500,500"
393,3003011,1603002,1000,"5,5"
394,3004001,11,1000,"1000,1000"
395,3004011,11,1000,"500,500"
396,3004011,123201,1000,"4,4"
397,3005001,11,1000,"2000,2000"
398,3005001,8001,1000,"1,1"
399,3005011,11,1000,"1000,1000"
400,3005011,2,1000,"200,200"
401,3005011,1603002,1000,"5,5"
402,3005011,123201,1000,"4,4"
403,3006001,11,1000,"2000,2000"
404,3006011,11,1000,"1500,1500"
405,3006011,121001,1000,"10,10"
406,3007001,11,1000,"2000,2000"
407,3007011,11,1000,"1500,1500"
408,3007011,121002,1000,"15,15"
409,3008001,11,1000,"2000,2000"
410,3008011,11,1000,"1500,1500"
411,3008011,1604002,1000,"5,5"
412,3009001,11,1000,"2000,2000"
413,3009011,11,1000,"1500,1500"
414,3009011,123301,1000,"2,2"
