id,equipID,stage,hp_extra_ratio,phy_atk_extra_ratio,mag_atk_extra_ratio,phy_dfs_extra_ratio,mag_dfs_extra_ratio,hp_max_extra,phy_atk_extra,mag_atk_extra,phy_dfs_extra,mag_dfs_extra,hp_max_percent,phy_atk_percent,mag_atk_percent,phy_dfs_percent,mag_dfs_percent,crit_atk_ratio,crit_dfs_ratio,crit_atk_value,crit_dfs_value,hit_rate_value,evade_value,normal_atk_up,normal_dfs_up,skillAtkUp,skillDfsUp,ultraAtkUp,ultraDfsUp,phyDamAdd,phyDamReduce,magDamAdd,magDamReduce,cure_up,cure_down,heal_up,normal_leech_value,skill_phy_leech_value,skill_mag_leech_value,normal_atk_no_dfs,skill_phy_no_dfs,skill_mag_no_dfs,phyPen,magPen
int,int,int,float,float,float,float,float,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,1111001,0,8.92,1.3,0,0,0,246,36,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1111001,1,8.92,1.3,0,0,0,105,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1111002,0,11.62,0,0,1.34,0,320,0,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1111002,1,11.62,0,0,1.34,0,137,0,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1111003,0,0,0,0,1.61,1.92,0,0,0,44,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1111003,1,0,0,0,1.61,1.92,0,0,0,19,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1112001,0,12.44,1.84,0,0,0,345,51,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1112001,1,13.46,1.99,0,0,0,109,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1112001,2,14.63,2.17,0,0,0,230,34,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1112002,0,16.48,0,0,1.87,0,457,0,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1112002,1,17.83,0,0,2.02,0,145,0,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1112002,2,19.38,0,0,2.2,0,305,0,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1112003,0,0,0,0,2.27,2.68,0,0,0,63,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1112003,1,0,0,0,2.46,2.9,0,0,0,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1112003,2,0,0,0,2.67,3.15,0,0,0,42,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1112011,0,12.63,1.83,0,0,0,351,51,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1112011,1,13.67,1.98,0,0,0,111,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1112011,2,14.86,2.16,0,0,0,234,34,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1112012,0,16.35,0,0,1.89,0,454,0,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1112012,1,17.7,0,0,2.05,0,144,0,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1112012,2,19.24,0,0,2.23,0,303,0,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1112013,0,0,0,0,2.26,2.72,0,0,0,63,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1112013,1,0,0,0,2.44,2.95,0,0,0,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1112013,2,0,0,0,2.65,3.2,0,0,0,42,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1113001,0,19.82,3,0,0,0,541,82,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1113001,1,20.92,3.17,0,0,0,162,25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1113001,2,23.4,3.54,0,0,0,346,52,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1113001,3,27.53,4.17,0,0,0,541,82,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1113002,0,26.79,0,0,3.05,0,732,0,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1113002,1,28.28,0,0,3.22,0,220,0,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1113002,2,31.63,0,0,3.6,0,468,0,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1113002,3,37.21,0,0,4.24,0,732,0,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1113003,0,0,0,0,3.7,4.39,0,0,0,101,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1113003,1,0,0,0,3.91,4.63,0,0,0,30,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1113003,2,0,0,0,4.37,5.18,0,0,0,65,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1113003,3,0,0,0,5.15,6.09,0,0,0,101,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1113011,0,20.54,2.95,0,0,0,561,81,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1113011,1,21.68,3.11,0,0,0,168,24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1113011,2,24.25,3.48,0,0,0,359,52,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1113011,3,28.53,4.1,0,0,0,561,81,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1113012,0,26.36,0,0,3.08,0,720,0,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1113012,1,27.82,0,0,3.25,0,216,0,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1113012,2,31.12,0,0,3.64,0,461,0,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1113012,3,36.61,0,0,4.28,0,720,0,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1113013,0,0,0,0,3.65,4.43,0,0,0,100,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1113013,1,0,0,0,3.85,4.68,0,0,0,30,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1113013,2,0,0,0,4.3,5.23,0,0,0,64,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1113013,3,0,0,0,5.06,6.15,0,0,0,100,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1113021,0,20.3,2.97,0,0,0,554,81,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1113021,1,21.42,3.14,0,0,0,166,24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1113021,2,23.96,3.51,0,0,0,355,52,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1113021,3,28.19,4.13,0,0,0,554,81,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1113022,0,26.52,0,0,3.08,0,724,0,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1113022,1,27.99,0,0,3.25,0,217,0,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1113022,2,31.31,0,0,3.63,0,464,0,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1113022,3,36.83,0,0,4.27,0,724,0,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1113023,0,0,0,0,3.67,4.42,0,0,0,100,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1113023,1,0,0,0,3.87,4.66,0,0,0,30,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1113023,2,0,0,0,4.33,5.21,0,0,0,64,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1113023,3,0,0,0,5.09,6.13,0,0,0,100,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1114001,0,28.45,4.31,0,0,0,722,109,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1114001,1,30.28,4.58,0,0,0,217,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1114001,2,34.41,5.21,0,0,0,433,66,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1114001,3,39,5.9,0,0,0,650,98,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1114001,4,43.59,6.6,0,0,0,866,131,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1114001,5,45.88,6.95,0,0,0,1083,164,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1114002,0,38.45,0,0,4.38,0,976,0,0,111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1114002,1,40.93,0,0,4.66,0,293,0,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1114002,2,46.51,0,0,5.3,0,585,0,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1114002,3,52.71,0,0,6.01,0,878,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1114002,4,58.91,0,0,6.71,0,1171,0,0,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1114002,5,62.01,0,0,7.07,0,1464,0,0,167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1114003,0,0,0,0,5.32,6.29,0,0,0,135,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1114003,1,0,0,0,5.66,6.7,0,0,0,40,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1114003,2,0,0,0,6.43,7.61,0,0,0,81,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1114003,3,0,0,0,7.29,8.63,0,0,0,121,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1114003,4,0,0,0,8.14,9.64,0,0,0,162,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1114003,5,0,0,0,8.57,10.15,0,0,0,202,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1114011,0,29.12,4.31,0,0,0,739,109,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1114011,1,31,4.58,0,0,0,222,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1114011,2,35.23,5.21,0,0,0,443,66,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1114011,3,39.93,5.9,0,0,0,665,98,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1114011,4,44.62,6.6,0,0,0,887,131,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1114011,5,46.97,6.95,0,0,0,1109,164,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1114012,0,37.84,0,0,4.43,0,960,0,0,112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1114012,1,40.28,0,0,4.71,0,288,0,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1114012,2,45.77,0,0,5.35,0,576,0,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1114012,3,51.87,0,0,6.07,0,864,0,0,101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1114012,4,57.98,0,0,6.78,0,1152,0,0,135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1114012,5,61.03,0,0,7.14,0,1440,0,0,168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1114013,0,0,0,0,5.23,6.36,0,0,0,133,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1114013,1,0,0,0,5.56,6.77,0,0,0,40,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1114013,2,0,0,0,6.32,7.69,0,0,0,80,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1114013,3,0,0,0,7.17,8.71,0,0,0,119,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1114013,4,0,0,0,8.01,9.74,0,0,0,159,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1114013,5,0,0,0,8.43,10.25,0,0,0,199,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1114021,0,29.48,4.28,0,0,0,748,109,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1114021,1,31.38,4.56,0,0,0,224,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1114021,2,35.66,5.18,0,0,0,449,65,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1114021,3,40.41,5.87,0,0,0,673,98,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1114021,4,45.17,6.56,0,0,0,898,130,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1114021,5,47.54,6.91,0,0,0,1122,163,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1114022,0,38.45,0,0,4.41,0,976,0,0,112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1114022,1,40.93,0,0,4.69,0,293,0,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1114022,2,46.51,0,0,5.33,0,585,0,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1114022,3,52.71,0,0,6.04,0,878,0,0,101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1114022,4,58.91,0,0,6.75,0,1171,0,0,134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1114022,5,62.01,0,0,7.11,0,1464,0,0,168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1114023,0,0,0,0,5.32,6.33,0,0,0,135,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1114023,1,0,0,0,5.66,6.74,0,0,0,40,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1114023,2,0,0,0,6.43,7.66,0,0,0,81,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
