id,equipID,stage,breakItem,breakLv,costGoldCount,costEquipCount
int,int,int,ints,int,int,int
1,1172001,0,0,10,,
2,1172001,1,0,20,1200,1
3,1172001,2,0,30,1800,2
4,1172002,0,0,10,,
5,1172002,1,0,20,1200,1
6,1172002,2,0,30,1800,2
7,1173001,0,0,10,,
8,1173001,1,0,20,1600,1
9,1173001,2,0,30,2400,2
10,1173001,3,0,40,4000,3
11,1173001,4,0,50,6400,4
12,1173002,0,0,10,,
13,1173002,1,0,20,1600,1
14,1173002,2,0,30,2400,2
15,1173002,3,0,40,4000,3
16,1173002,4,0,50,6400,4
17,1173003,0,0,10,,
18,1173003,1,0,20,1600,1
19,1173003,2,0,30,2400,2
20,1173003,3,0,40,4000,3
21,1173003,4,0,50,6400,4
22,1174001,0,0,10,,
23,1174001,1,0,20,2000,1
24,1174001,2,0,30,3000,2
25,1174001,3,0,40,5000,3
26,1174001,4,0,50,8000,4
27,1174001,5,0,60,12000,4
28,1174002,0,0,10,,
29,1174002,1,0,20,2000,1
30,1174002,2,0,30,3000,2
31,1174002,3,0,40,5000,3
32,1174002,4,0,50,8000,4
33,1174002,5,0,60,12000,4
34,1174003,0,0,10,,
35,1174003,1,0,20,2000,1
36,1174003,2,0,30,3000,2
37,1174003,3,0,40,5000,3
38,1174003,4,0,50,8000,4
39,1174003,5,0,60,12000,4
40,1174004,0,0,10,,
41,1174004,1,0,20,2000,1
42,1174004,2,0,30,3000,2
43,1174004,3,0,40,5000,3
44,1174004,4,0,50,8000,4
45,1174004,5,0,60,12000,4
46,1174005,0,0,10,,
47,1174005,1,0,20,2000,1
48,1174005,2,0,30,3000,2
49,1174005,3,0,40,5000,3
50,1174005,4,0,50,8000,4
51,1174005,5,0,60,12000,4
52,1111001,0,0,10,,
53,1111001,1,0,20,800,1
54,1111002,0,0,10,,
55,1111002,1,0,20,800,1
56,1111003,0,0,10,,
57,1111003,1,0,20,800,1
58,1121001,0,0,10,,
59,1121001,1,0,20,800,1
60,1121002,0,0,10,,
61,1121002,1,0,20,800,1
62,1121003,0,0,10,,
63,1121003,1,0,20,800,1
64,1131001,0,0,10,,
65,1131001,1,0,20,800,1
66,1131002,0,0,10,,
67,1131002,1,0,20,800,1
68,1131003,0,0,10,,
69,1131003,1,0,20,800,1
70,1141001,0,0,10,,
71,1141001,1,0,20,800,1
72,1141002,0,0,10,,
73,1141002,1,0,20,800,1
74,1141003,0,0,10,,
75,1141003,1,0,20,800,1
76,1151001,0,0,10,,
77,1151001,1,0,20,800,1
78,1151002,0,0,10,,
79,1151002,1,0,20,800,1
80,1151003,0,0,10,,
81,1151003,1,0,20,800,1
82,1161001,0,0,10,,
83,1161001,1,0,20,800,1
84,1161002,0,0,10,,
85,1161002,1,0,20,800,1
86,1161003,0,0,10,,
87,1161003,1,0,20,800,1
88,1112001,0,0,10,,
89,1112001,1,0,20,1200,1
90,1112001,2,0,30,1800,2
91,1112002,0,0,10,,
92,1112002,1,0,20,1200,1
93,1112002,2,0,30,1800,2
94,1112003,0,0,10,,
95,1112003,1,0,20,1200,1
96,1112003,2,0,30,1800,2
97,1113001,0,0,10,,
98,1113001,1,0,20,1600,1
99,1113001,2,0,30,2400,2
100,1113001,3,0,40,4000,3
101,1113001,4,0,50,6400,4
102,1113002,0,0,10,,
103,1113002,1,0,20,1600,1
104,1113002,2,0,30,2400,2
105,1113002,3,0,40,4000,3
106,1113002,4,0,50,6400,4
107,1113003,0,0,10,,
108,1113003,1,0,20,1600,1
109,1113003,2,0,30,2400,2
110,1113003,3,0,40,4000,3
111,1113003,4,0,50,6400,4
112,1114001,0,0,10,,
113,1114001,1,0,20,2000,1
114,1114001,2,0,30,3000,2
115,1114001,3,0,40,5000,3
116,1114001,4,0,50,8000,4
117,1114001,5,0,60,12000,4
118,1114002,0,0,10,,
119,1114002,1,0,20,2000,1
120,1114002,2,0,30,3000,2
121,1114002,3,0,40,5000,3
122,1114002,4,0,50,8000,4
123,1114002,5,0,60,12000,4
124,1114003,0,0,10,,
125,1114003,1,0,20,2000,1
126,1114003,2,0,30,3000,2
127,1114003,3,0,40,5000,3
128,1114003,4,0,50,8000,4
129,1114003,5,0,60,12000,4
130,1114011,0,0,10,,
131,1114011,1,0,20,2000,1
132,1114011,2,0,30,3000,2
133,1114011,3,0,40,5000,3
134,1114011,4,0,50,8000,4
135,1114011,5,0,60,12000,4
136,1114012,0,0,10,,
137,1114012,1,0,20,2000,1
138,1114012,2,0,30,3000,2
139,1114012,3,0,40,5000,3
140,1114012,4,0,50,8000,4
141,1114012,5,0,60,12000,4
142,1114013,0,0,10,,
143,1114013,1,0,20,2000,1
144,1114013,2,0,30,3000,2
145,1114013,3,0,40,5000,3
146,1114013,4,0,50,8000,4
147,1114013,5,0,60,12000,4
148,1114021,0,0,10,,
149,1114021,1,0,20,2000,1
150,1114021,2,0,30,3000,2
151,1114021,3,0,40,5000,3
152,1114021,4,0,50,8000,4
153,1114021,5,0,60,12000,4
154,1114022,0,0,10,,
155,1114022,1,0,20,2000,1
156,1114022,2,0,30,3000,2
157,1114022,3,0,40,5000,3
158,1114022,4,0,50,8000,4
159,1114022,5,0,60,12000,4
160,1114023,0,0,10,,
161,1114023,1,0,20,2000,1
162,1114023,2,0,30,3000,2
163,1114023,3,0,40,5000,3
164,1114023,4,0,50,8000,4
165,1114023,5,0,60,12000,4
