id,chapterName,chapterType,unlockCondition,initPos,mapSize
Int,String,Int,Strings,Floats,Ints
1001,cfg_explore_chapter_chapterName_0,2,,"-1.74,-4.24",
1,cfg_explore_chapter_chapterName_1,1,,"5.7,-1.4",
2,cfg_explore_chapter_chapterName_2,1,2:10103,"1.04,-2.78",
3,cfg_explore_chapter_chapterName_3,1,2:10206,"-6.86,-5.1",
4,cfg_explore_chapter_chapterName_4,1,"2:10309,2:501006","5.68,6.13",
5,cfg_explore_chapter_chapterName_5,1,2:10412,"0.7,-11.5",
6,cfg_explore_chapter_chapterName_6,1,"1:19,2:10517","-18.24,-12.24",
7,cfg_explore_chapter_chapterName_7,1,2:10617,"-23.49,34.99",
8,cfg_explore_chapter_chapterName_8,1,2:10722,"-50.18,14.28",
9,cfg_explore_chapter_chapterName_9,1,2:10822,"-6.4,-16.34",
203031,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
204091,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
205091,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
206121,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
207101,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
207211,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
208191,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
209101,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
209181,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
210201,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
211101,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
211201,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
212111,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
212231,cfg_explore_chapter_chapterName_1001,2,,"-0.5,-3.1","1622,2688"
50001,cfg_explore_chapter_chapterName_50001,3,2:10102,"0.2,-4.8","0,0"
50002,cfg_explore_chapter_chapterName_50002,3,"2:10206,2:501006","0.2,-4.8","0,0"
50003,cfg_explore_chapter_chapterName_50003,3,"2:10309,2:502006","0.2,-4.8","0,0"
50004,cfg_explore_chapter_chapterName_50004,3,"2:10309,2:503006","0.2,-4.8","0,0"
50005,cfg_explore_chapter_chapterName_50005,3,"2:10412,2:504006","0.2,-4.8","0,0"
50006,cfg_explore_chapter_chapterName_50006,3,"2:10412,2:505006","0.2,-4.8","0,0"
50007,cfg_explore_chapter_chapterName_50007,3,"2:10517,2:506006","0.2,-4.8","0,0"
50008,cfg_explore_chapter_chapterName_50008,3,"2:10517,2:507006","0.2,-4.8","0,0"
50009,cfg_explore_chapter_chapterName_50009,3,"2:10617,2:508006","0.2,-4.8","0,0"
50010,cfg_explore_chapter_chapterName_50010,3,"2:10617,2:509006","0.2,-4.8","0,0"
50011,cfg_explore_chapter_chapterName_50011,3,"2:10722,2:510006","0.2,-4.8","0,0"
50012,cfg_explore_chapter_chapterName_50012,3,"2:10722,2:511006","0.2,-4.8","0,0"
50013,cfg_explore_chapter_chapterName_50013,3,"2:10822,2:512006","0.2,-4.8","0,0"
50014,cfg_explore_chapter_chapterName_50014,3,"2:10822,2:513006","0.2,-4.8","0,0"
50015,cfg_explore_chapter_chapterName_50015,3,"2:10922,2:514006","0.2,-4.8","0,0"
50016,cfg_explore_chapter_chapterName_50016,3,"2:10922,2:515006","0.2,-4.8","0,0"
50017,cfg_explore_chapter_chapterName_50017,3,"2:10922,2:516006","0.2,-4.8","0,0"
50018,cfg_explore_chapter_chapterName_50018,3,"2:10922,2:517006","0.2,-4.8","0,0"
30002,cfg_explore_chapter_chapterName_1001,2,,"0.2,-4.8","0,0"
90000,cfg_explore_chapter_chapterName_1,0,,"-1.74,-4.24","0,0"
