id,chapterId,type,unlockConditions,teamExp,characterExp,powerPay,battleID,showLevelBoss,achievement1ID,achievement1DropId,achievement2ID,achievement2DropId,target1ID,target2ID,target3ID,targetDrops,firstDrop,normalDrop,sweepDrop,yggdrasilDrop,nextLevel,chapterStory,battleStory,winStory,loseStory,exploreStory,formationLimitCharacter,formationLimitCamp,formationLimitCarrer,formationLimitRemote,formationLimitSex,challengeTimes,adaptionId,refreshType
Int,int,int,Strings,Int,Int,Int,int,Int,Int,Ints,Int,Ints,Int,Int,Int,Ints,Ints,Ints,Ints,ints,Int,int,int,int,int,int,int,ints,ints,int,ints,Int,Int,Int
203031,203031,1,,0,300,40,2030311,31001,,,,,,,,,,7030306,,,,,,,,,,,,,,1,1,1
204091,204091,1,,0,300,40,2040911,31006,,,,,,,,,,7040906,,,,,,,,,,,,,,1,1,1
205091,205091,1,,0,300,40,2050911,31009,,,,,,,,,,7050906,,,,,,,,,,,,,,1,1,1
206121,206121,1,,0,300,40,2061211,31001,,,,,,,,,,7061206,,,,,,,,,,,,,,1,1,1
207101,207101,1,,0,300,40,2071011,31006,,,,,,,,,,7071006,,,,,,,,,,,,,,1,1,1
207211,207211,1,,0,300,40,2072111,31009,,,,,,,,,,7072106,,,,,,,,,,,,,,1,1,1
208191,208191,1,,0,300,40,2081911,32001,,,,,,,,,,7081906,,,,,,,,,,,,,,1,1,1
209101,209101,1,,0,300,40,2091011,32006,,,,,,,,,,7091006,,,,,,,,,,,,,,1,1,1
209181,209181,1,,0,300,40,2091811,32009,,,,,,,,,,7091806,,,,,,,,,,,,,,1,1,1
210201,210201,1,,0,300,40,2102011,32001,,,,,,,,,,7091806,,,,,,,,,,,,,,1,1,1
211101,211101,1,,0,300,40,2111011,32006,,,,,,,,,,7091806,,,,,,,,,,,,,,1,1,1
211201,211201,1,,0,300,40,2112011,32009,,,,,,,,,,7091806,,,,,,,,,,,,,,1,1,1
212111,212111,1,,0,300,40,2121111,33001,,,,,,,,,,7091806,,,,,,,,,,,,,,1,1,1
212231,212231,1,,0,300,40,2122311,33006,,,,,,,,,,7091806,,,,,,,,,,,,,,1,1,1
10001,1,1,,0,0,0,100,10001,,,,,,,,,,1000101,,,10101,1,,2,,,,,,,,10,10,1
10101,1,1,,6,0,6,101,10001,,,,,,,,,,1010101,,,10102,3,,4,,,,,,,,10,10,1
10102,1,1,2:10101,6,0,6,102,10003,,,,,,,,,,1010201,,,10103,5,,6,,,,,,,,10,10,1
10103,1,1,2:10102,6,0,6,101022,31003,,,,,,,,,,1010301,,,10201,7,,8,,,,,,,,10,10,1
10104,1,2,2:10103,,60,6,,1004,,,,,,,,,,1010401,,,,9,,,,,,,,,,10,10,1
10201,2,1,2:10103,6,20,6,102011,10007,,,,,,,,,,1020101,,,10202,10,,11,,,,,,,,10,10,1
10202,2,1,2:10201,6,40,6,102021,10005,,,,,,,,,,1020201,,,10203,12,,,,,,,,,,10,10,1
10203,2,1,2:10202,6,60,6,102031,10011,,,,,,,,,,1020301,,,10204,13,,,,,,,,,,10,10,1
10204,2,1,2:10203,6,60,6,102041,10010,,,,,,,,,,1020401,,,10205,14,,,,,,,,,,10,10,1
10205,2,2,2:10204,,0,,,10011,,,,,,,,,,1020501,,,10206,15,,,,,,,,,,10,10,1
10206,2,1,2:10205,6,60,6,102061,30004,,,,,,,,,,1020601,,,10301,16,,17,,,,,,,,10,10,1
10207,2,1,2:10206,,60,6,102071,10016,,,,,,,,,,1020701,,,,18,,,,,,,,,,10,10,1
10301,3,1,2:10206,6,60,6,103011,10028,,,,,,,,,,1030101,,,10302,19,,20,,,,,,,,10,10,1
10302,3,2,2:10301,,60,,,10012,,,,,,,,,,1030201,,,10303,21,,,,,,,,,,10,10,1
10303,3,1,2:10302,6,60,6,103031,10013,,,,,,,,,,1030301,,,10304,22,,,,,,,,,,10,10,1
10304,3,1,2:10303,6,60,6,103041,10013,,,,,,,,,,1030401,,,10305,,,,,,,,,,,10,10,1
10305,3,1,2:10304,6,60,6,103051,10013,,,,,,,,,,1030501,,,10306,,,,,,,,,,,10,10,1
10306,3,1,2:10305,6,60,6,103061,30005,,,,,,,,,,1030601,,,10307,23,,,,,,,,,,10,10,1
10307,3,1,2:10306,6,60,6,103071,10013,,,,,,,,,,1030701,,,10308,,,,,,,,,,,10,10,1
10308,3,1,2:10307,6,60,6,103081,30007,,,,,,,,,,1030801,,,10309,24,,25,,,,,,,,10,10,1
10309,3,1,2:10308,6,60,6,103091,30006,,,,,,,,,,1030901,,,10401,26,,27,,,,,,,,10,10,1
10310,3,2,2:10309,,60,,,2001,,,,,,,,,,1031001,,,,28,,,,,,,,,,10,10,1
10311,3,1,,,150,12,103111,10015,,,,,,,,,,1031101,,,,,,,,,,,,,,10,10,1
10312,3,1,,,150,12,103121,10013,,,,,,,,,,1031201,,,,,,,,,,,,,,10,10,1
10401,4,1,"2:10309,2:501006",6,60,6,104011,10005,,,,,,,,,,1040101,,,10402,29,,,,,,,,,,10,10,1
10402,4,1,2:10401,6,60,6,104021,10007,,,,,,,,,,1040201,,,10403,,,,,,,,,,,10,10,1
10403,4,1,2:10402,6,60,6,104031,10009,,,,,,,,,,1040301,,,10404,30,,,,,,,,,,10,10,1
10404,4,1,2:10403,6,60,6,104041,10017,,,,,,,,,,1040401,,,10405,,,,,,,,,,,10,10,1
10405,4,1,2:10404,6,60,6,104051,10007,,,,,,,,,,1040501,,,10406,,,,,,,,,,,10,10,1
10406,4,1,2:10405,6,60,6,104061,30008,,,,,,,,,,1040601,,,10407,31,,32,,,,,,,,10,10,1
10407,4,1,2:10406,6,60,6,104071,10017,,,,,,,,,,1040701,,,10408,33,,,,,,,,,,10,10,1
10408,4,1,2:10407,6,60,6,104081,10007,,,,,,,,,,1040801,,,10409,,,,,,,,,,,10,10,1
10409,4,1,2:10408,6,60,6,104091,30010,,,,,,,,,,1040901,,,10410,34,,,,,,,,,,10,10,1
10410,4,1,2:10409,6,60,6,104101,10006,,,,,,,,,,1041001,,,10411,,,,,,,,,,,10,10,1
10411,4,1,2:10410,6,60,6,104111,10006,,,,,,,,,,1041101,,,10412,,,,,,,,,,,10,10,1
10412,4,1,2:10411,6,60,6,104121,30009,,,,,,,,,,1041201,,,10501,35,,36,,,,,,,,10,10,1
10413,4,1,2:10412,,60,6,104131,10003,,,,,,,,,,1041301,,,,37,,,,,,,,,,10,10,1
10414,4,1,,,150,12,104141,10006,,,,,,,,,,1041401,,,,,,,,,,,,,,10,10,1
10415,4,1,,,150,12,104151,10007,,,,,,,,,,1041501,,,,,,,,,,,,,,10,10,1
10416,4,1,,,150,12,104161,10005,,,,,,,,,,1041601,,,,,,,,,,,,,,10,10,1
10501,5,1,2:10412,6,60,6,105011,10016,,,,,,,,,,1050101,,,10502,38,,,,,,,,,,10,10,1
10502,5,1,2:10501,6,60,6,105021,10017,,,,,,,,,,1050201,,,10503,,,,,,,,,,,10,10,1
10503,5,1,2:10502,6,60,6,105031,10011,,,,,,,,,,1050301,,,10504,,,,,,,,,,,10,10,1
10504,5,1,2:10503,6,60,6,105041,30011,,,,,,,,,,1050401,,,10505,39,,40,,,,,,,,10,10,1
10505,5,1,2:10504,6,60,6,105051,10007,,,,,,,,,,1050501,,,10506,,,,,,,,,,,10,10,1
10506,5,1,2:10505,6,60,6,105061,10016,,,,,,,,,,1050601,,,10507,,,,,,,,,,,10,10,1
10507,5,2,2:10506,,60,,,10010,,,,,,,,,,1050701,,,10508,41,,,,,,,,,,10,10,1
10508,5,1,2:10507,6,60,6,105081,10016,,,,,,,,,,1050801,,,10509,,,,,,,,,,,10,10,1
10509,5,1,"1:19,2:10508",6,60,6,105091,10011,,,,,,,,,,1050901,,,10510,,,,,,,,,,,10,10,1
10510,5,1,2:10509,6,60,6,105101,30012,,,,,,,,,,1051001,,,10511,42,,,,,,,,,,10,10,1
10511,5,1,2:10510,6,60,6,105111,10067,,,,,,,,,,1051101,,,10512,,,,,,,,,,,10,10,1
10512,5,1,2:10511,6,60,6,105121,300121,,,,,,,,,,1051201,,,10513,43,,,,,,,,,,10,10,1
10513,5,1,2:10512,6,60,6,105131,10067,,,,,,,,,,1051301,,,10514,,,,,,,,,,,10,10,1
10514,5,1,2:10513,6,60,6,105141,10068,,,,,,,,,,1051401,,,10515,44,,,,,,,,,,10,10,1
10515,5,1,2:10514,6,60,6,105151,10067,,,,,,,,,,1051501,,,10516,,,,,,,,,,,10,10,1
10516,5,1,2:10515,6,60,6,105161,30012,,,,,,,,,,1051601,,,10517,45,,46,,,,,,,,10,10,1
