id,adaptionId,adaptionLevel,monsterLevel,combatPower,hpMax,phyAtk,magAtk,phyDfs,magDfs
Int,int,int,int,float,float,float,float,float,float
1,1001,6,6,1,1,1,1,1,1
2,1001,15,15,2.11,2.2,1.95,1.95,2.07,2.07
3,1001,20,20,3.46,4.14,3.09,3.09,3,3
4,1001,25,25,5.62,6.82,4.95,4.95,4.54,4.54
5,1001,30,30,7.65,8.33,6.64,6.64,5.29,5.29
6,1001,35,35,10.81,13.1,9.09,9.09,7.4,7.4
7,1001,40,40,14.66,17.2,10.89,10.89,8.82,8.82
8,1001,45,45,19.66,24.1,14.24,14.24,11.39,11.39
9,1001,50,50,23.4,25.41,15.87,15.87,12.05,12.05
10,1001,55,55,28.67,27.67,16.73,16.73,12.47,12.47
11,1001,60,60,33,33.79,19.26,19.26,14.62,14.62
