id,gatherTime,gatherName,gatherDrop
Int,Int,String,int
1,1,石头,5000001
2,1,石头,5000001
3,1,石头,5000001
4,1,石头,5000001
5,1,石头,5000001
6,1,鬼火,5000001
7,1,鬼火,5000001
8,1,鬼火,5000001
9,1,鬼火,5000001
10,1,鬼火,5000001
11,1,鬼火,5000001
12,1,鬼火,5000001
13,1,鬼火,5000001
14,1,鬼火,5000001
15,1,石头,5000001
16,1,鬼火,5000001
17,1,石头,5000001
18,1,石头,5000001
19,1,石头,5000001
20,1,石头,5000001
21,1,石头,5000001
22,1,怪物宝箱,5000001
23,1,怪物宝箱,5000001
24,1,怪物宝箱,5000001
25,1,怪物宝箱,5000001
26,1,怪物宝箱,5000001
27,1,怪物宝箱,5000001
10201,1,石头,1020011
10202,1,石头,1020207
10204,1,石头,1020407
10206,1,怪物宝箱,1020051
10303,1,石头,1030307
10306,1,石头,1030607
10307,1,石头,1030707
10309,1,怪物宝箱,1030905
10401,1,石头,1040107
10404,1,石头,1040407
10405,1,石头,1040507
10406,1,怪物宝箱,1040061
10409,1,石头,1040907
10411,1,怪物宝箱,1040062
10412,1,怪物宝箱,1041205
10503,1,石头,1050307
10506,1,石头,1050607
10507,1,BOSS宝箱,1051605
10510,1,怪物宝箱,1050062
10511,1,石头,1051107
10513,1,石头,1051307
10514,1,石头,1051407
10515,1,怪物宝箱,1050061
10602,1,石头,1060407
10603,1,石头,1060707
10604,1,石头,1061007
10605,1,石头,1061307
10606,1,石头,1061507
10607,1,石头,1061607
10608,1,怪物宝箱,1061705
10609,1,怪物宝箱,1060061
10610,1,怪物宝箱,1060062
10611,1,怪物宝箱,1060063
10705,1,石头,1070407
10706,1,石头,1070607
10707,1,石头,1070907
10708,1,石头,1071107
10709,1,石头,1071207
10710,1,石头,1071607
10711,1,石头,1072007
10712,1,怪物宝箱,1072205
10713,1,怪物宝箱,1070061
10714,1,怪物宝箱,1070062
10715,1,怪物宝箱,1070063
10716,1,怪物宝箱,1070064
10717,1,怪物宝箱,1070065
10806,1,石头,1080407
10807,1,石头,1080607
10808,1,石头,1081007
10809,1,石头,1081207
10810,1,石头,1081407
10811,1,石头,1081707
10812,1,石头,1082107
10813,1,怪物宝箱,1082205
10906,1,石头,1090307
10907,1,石头,1090507
10908,1,石头,1090807
10909,1,石头,1091007
10910,1,石头,1091207
10911,1,石头,1091507
10912,1,石头,1091907
10913,1,怪物宝箱,1092205
1020202,1,1020202-任务宝箱,5000001
20201061,1,2020106-任务宝箱掉落,5000001
20202022,1,2020202-任务宝箱掉落,5000001
20204031,1,2020403-任务宝箱掉落,5000001
4011101,1,银宝箱-纳萨力克,4000001
4011401,1,金宝箱-纳萨力克【隐藏】,4000003
4011402,1,金宝箱-纳萨力克【隐藏】,4000003
4011403,1,金宝箱-纳萨力克【隐藏】,4000003
4011404,1,金宝箱-纳萨力克【隐藏】,4000003
4011405,1,金宝箱-纳萨力克【隐藏】,4000003
4021101,1,银宝箱-耶兰提尔,4000001
4021301,1,金宝箱-耶兰提尔,4000002
4021401,1,金宝箱-耶兰提尔【隐藏】,4000003
4021402,1,金宝箱-耶兰提尔【隐藏】,4000003
4021403,1,金宝箱-耶兰提尔【隐藏】,4000003
4021404,1,金宝箱-耶兰提尔【隐藏】,4000003
4021405,1,金宝箱-耶兰提尔【隐藏】,4000003
4021501,1,钻石宝箱-耶兰提尔,4000004
4021601,1,钻石宝箱-耶兰提尔【隐藏】,4000005
4021602,1,钻石宝箱-耶兰提尔【隐藏】,4000005
4031101,1,银宝箱-卡恩村,4000001
4031301,1,金宝箱-卡恩村,4000002
4031401,1,金宝箱-卡恩村【隐藏】,4000003
4031402,1,金宝箱-卡恩村【隐藏】,4000003
4031403,1,金宝箱-卡恩村【隐藏】,4000003
4031404,1,金宝箱-卡恩村【隐藏】,4000003
4031405,1,金宝箱-卡恩村【隐藏】,4000003
4031501,1,钻石宝箱-卡恩村,4000004
4031601,1,钻石宝箱-卡恩村【隐藏】,4000005
4031602,1,钻石宝箱-卡恩村【隐藏】,4000005
4031603,1,钻石宝箱-卡恩村【隐藏】,4000005
4031604,1,钻石宝箱-卡恩村【隐藏】,4000005
4031605,1,钻石宝箱-卡恩村【隐藏】,4000005
4031801,1,怪物宝箱-卡恩村【隐藏】,4000005
4041101,1,银宝箱-武都森林,4000001
4041301,1,金宝箱-武都森林,4000002
4041401,1,金宝箱-武都森林【隐藏】,4000003
4041402,1,金宝箱-武都森林【隐藏】,4000003
4041403,1,金宝箱-武都森林【隐藏】,4000003
4041404,1,金宝箱-武都森林【隐藏】,4000003
4041405,1,金宝箱-武都森林【隐藏】,4000003
4041501,1,钻石宝箱-武都森林,4000004
4041601,1,钻石宝箱-武都森林【隐藏】,4000005
4041602,1,钻石宝箱-武都森林【隐藏】,4000005
4041603,1,钻石宝箱-武都森林【隐藏】,4000005
4041604,1,钻石宝箱-武都森林【隐藏】,4000005
4041605,1,钻石宝箱-武都森林【隐藏】,4000005
4041701,1,怪物宝箱-武都森林,4000006
4041801,1,怪物宝箱-武都森林【隐藏】,4000007
4051101,1,银宝箱-蜥蜴人部落,4000001
4051301,1,金宝箱-蜥蜴人部落,4000002
4051501,1,钻石宝箱-蜥蜴人部落,4000004
4051601,1,钻石宝箱-蜥蜴人部落【隐藏】,4000005
4051602,1,钻石宝箱-蜥蜴人部落【隐藏】,4000005
4051603,1,钻石宝箱-蜥蜴人部落【隐藏】,4000005
4051604,1,钻石宝箱-蜥蜴人部落【隐藏】,4000005
4051605,1,钻石宝箱-蜥蜴人部落【隐藏】,4000005
4051606,1,钻石宝箱-蜥蜴人部落【隐藏】,4000005
4051607,1,钻石宝箱-蜥蜴人部落【隐藏】,4000005
4051608,1,钻石宝箱-蜥蜴人部落【隐藏】,4000005
4051701,1,怪物宝箱-蜥蜴人部落,4000006
4051801,1,怪物宝箱-蜥蜴人部落【隐藏】,4000007
4051802,1,怪物宝箱-蜥蜴人部落【隐藏】,4000007
4051803,1,怪物宝箱-蜥蜴人部落【隐藏】,4000007
4999997,1,世界探索-桃子树,4999997
4999998,1,世界探索-芒果树,4999998
4999999,1,世界探索-苹果树,4999999
