id,buildId,level,mainTowerLevelLimit,levelUpConsume,levelUpTime,levelUpDropId,storeLimit,produceLimit,consumeResource,produceTime,unitCount
int,int,int,int,strings,int,int,int,int,strings,int,ints
601001,1,1,6,,0,,,2,1616101:1,9284,"1,1"
601002,1,2,8,11:7000,628,6010102,,2,1616101:1,8728,"1,2"
601003,1,3,11,11:10500,1620,6010103,,2,1616101:1,8172,"1,3"
601004,1,4,16,11:20900,5017,6010104,,3,1616101:1,7616,"1,3"
601005,1,5,21,11:41700,11508,6010105,,4,1616101:1,7060,"1,4"
602001,2,1,1,,0,,10180,,,56,"2,3"
602002,2,2,2,11:750,120,6020102,10560,,,54,"2,3"
602003,2,3,3,11:1500,300,6020103,10960,,,52,"2,3"
602004,2,4,4,11:2250,480,6020104,11340,,,52,"2,4"
602005,2,5,5,11:2950,640,6020105,11800,,,50,"2,4"
602006,2,6,6,11:3700,900,6020106,12280,,,48,"2,4"
602007,2,7,7,11:5150,1497,6020107,15260,,,48,"2,5"
602008,2,8,9,11:7350,3024,6020108,15920,,,46,"2,5"
602009,2,9,11,11:11050,4536,6020109,19420,,,44,"2,5"
602010,2,10,13,11:11750,6048,6020110,21560,,,44,"2,6"
602011,2,11,15,11:15450,7560,6020111,25600,,,42,"2,6"
602012,2,12,17,11:19100,10584,6020112,28460,,,40,"2,6"
602013,2,13,19,11:20600,13608,6020113,31180,,,40,"2,7"
602014,2,14,21,11:27900,16632,6020114,34540,,,38,"2,7"
602015,2,15,23,11:31600,19656,6020115,37700,,,38,"2,8"
602016,2,16,25,11:42600,24192,6020116,41700,,,36,"2,8"
602017,2,17,27,11:49950,29106,6020117,45380,,,36,"2,9"
602018,2,18,29,11:57250,34020,6020118,54320,,,34,"2,9"
602019,2,19,31,11:62400,39690,6020119,56640,,,34,"2,10"
602020,2,20,33,11:66100,60480,6020120,63420,,,32,"2,10"
603001,3,1,2,,0,,120,,,600,"2,2"
603002,3,2,3,11:3150,180,6030102,140,,,514,"2,2"
603003,3,3,4,11:4200,480,6030103,140,,,514,"2,3"
603004,3,4,6,11:5250,720,6030104,140,,,514,"2,3"
603005,3,5,8,11:6300,2462,6030105,180,,,450,"2,3"
603006,3,6,10,11:9400,4104,6030106,180,,,450,"2,4"
603007,3,7,12,11:13600,5746,6030107,200,,,400,"2,4"
603008,3,8,15,11:18800,8208,6030108,200,,,400,"2,4"
603009,3,9,18,11:26100,13133,6030109,220,,,400,"2,5"
603010,3,10,21,11:34450,18058,6030110,250,,,360,"2,5"
603011,3,11,24,11:36550,22982,6030111,250,,,360,"2,6"
603012,3,12,26,11:57450,28728,6030112,250,,,360,"2,6"
603013,3,13,29,11:67850,36936,6030113,320,,,328,"2,6"
603014,3,14,32,11:88750,52531,6030114,320,,,328,"2,7"
603015,3,15,34,11:93950,85363,6030115,350,,,300,"2,7"
604001,4,1,4,,0,,120,,,600,"2,2"
604002,4,2,5,11:3150,360,6040102,140,,,514,"2,2"
604003,4,3,6,11:4200,960,6040103,140,,,514,"2,3"
604004,4,4,8,11:5200,2527,6040104,140,,,514,"2,3"
604005,4,5,11,11:6250,5054,6040105,180,,,450,"2,3"
604006,4,6,13,11:9400,6739,6040106,180,,,450,"2,4"
604007,4,7,15,11:15600,8424,6040107,200,,,400,"2,4"
604008,4,8,17,11:18750,11794,6040108,200,,,400,"2,4"
604009,4,9,20,11:26000,16848,6040109,220,,,400,"2,5"
604010,4,10,23,11:34300,21902,6040110,240,,,360,"2,5"
604011,4,11,26,11:36400,29484,6040111,240,,,360,"2,6"
604012,4,12,29,11:57150,37908,6040112,240,,,360,"2,6"
604013,4,13,31,11:67550,44226,6040113,320,,,328,"2,6"
604014,4,14,33,11:88350,67392,6040114,320,,,328,"2,7"
604015,4,15,35,11:93550,101088,6040115,350,,,300,"2,7"
605001,5,1,6,,0,,120,,,600,"2,2"
605002,5,2,7,11:4700,1754,6050102,140,,,514,"2,2"
605003,5,3,8,11:6250,2657,6050103,140,,,514,"2,3"
