id,buildId,stage,mainTowerLevelLimit,otherBuildingLvLimit,stageUpConsume,stageUpTime,produceCountLimit,dropId,special_type,SpecialdropId,stageUpDropId
int,int,int,int,strings,strings,int,int,int,bool,int,int
601000,1,0,0,,,0,,6010000,,,0
602000,2,0,0,,,0,,6020000,,,0
603000,3,0,0,,,0,,6030000,,,
603001,3,1,0,1:3:4,11:5000,200,,6030001,,,6030201
603002,3,2,0,3:3:8,11:20000,300,,6030002,,,6030202
603003,3,3,0,3:3:12,11:50000,400,,6030003,,,6030203
604000,4,0,0,,,0,,6040000,,,
604001,4,1,0,2:4:4,11:5000,200,,6040001,,,6040201
604002,4,2,0,3:4:8,11:20000,300,,6040002,,,6040202
604003,4,3,0,3:4:12,11:50000,400,,6040003,,,6040203
605000,5,0,0,,,0,,6050000,,,
605001,5,1,0,1:5:4,11:5000,200,,6050001,,,6050201
605002,5,2,0,1:5:8,11:20000,300,,6050002,,,6050202
605003,5,3,0,2:5:12,11:50000,400,,6050003,,,6050203
606000,6,0,0,,,0,0,6060000,,,
606001,6,1,0,1:6:3,11:24650,60,24,6060001,,,6060201
606002,6,2,0,1:6:4,11:61600,300,85,6060002,,,6060202
606003,6,3,0,1:6:6,11:98600,600,135,6060003,,,6060203
606004,6,4,0,1:6:8,11:184800,1200,330,6060004,,,6060204
606005,6,5,0,1:6:11,11:197150,2400,740,6060005,,,6060205
606006,6,6,0,1:6:13,11:209450,3600,1085,6060006,,,6060206
606007,6,7,0,1:6:15,11:221800,7200,1540,6060007,,,6060207
607000,7,0,0,,,0,0,6070000,,,
607001,7,1,0,1:7:3,11:24650,60,36,6070001,,,6070201
607002,7,2,0,1:7:4,11:61600,300,65,6070002,,,6070202
607003,7,3,0,1:7:6,11:98600,600,145,6070003,,,6070203
607004,7,4,0,1:7:8,11:184800,1200,315,6070004,,,6070204
607005,7,5,0,1:7:11,11:197150,2400,730,6070005,,,6070205
607006,7,6,0,1:7:13,11:209450,3600,1070,6070006,,,6070206
607007,7,7,0,1:7:15,11:221800,7200,1845,6070007,,,6070207
608000,8,0,0,,,0,0,6080000,,,
608001,8,1,0,1:8:3,11:24650,60,36,6080001,,,6080201
608002,8,2,0,1:8:4,11:61600,300,65,6080002,,,6080202
608003,8,3,0,1:8:6,11:98600,600,205,6080003,,,6080203
608004,8,4,0,1:8:8,11:184800,1200,370,6080004,,,6080204
608005,8,5,0,1:8:11,11:197150,2400,810,6080005,,,6080205
608006,8,6,0,1:8:13,11:209450,3600,1155,6080006,,,6080206
608007,8,7,0,1:8:15,11:221800,7200,1810,6080007,,,6080207
609000,9,0,0,,,0,0,6090000,,,
609001,9,1,0,1:9:3,11:35500,60,12,6090001,,,6090201
609002,9,2,0,1:9:4,11:88750,300,25,6090002,,,6090202
609003,9,3,0,1:9:6,11:141950,600,95,6090003,,,6090203
609004,9,4,0,1:9:8,11:266150,1200,200,6090004,,,6090204
609005,9,5,0,1:9:11,11:283900,2400,450,6090005,,,6090205
609006,9,6,0,1:9:13,11:301600,3600,625,6090006,,,6090206
609007,9,7,0,1:9:15,11:319350,7200,1075,6090007,,,6090207
610000,10,0,0,,,0,0,6100000,,,0
612000,12,0,0,,,0,0,6120000,,,0
