id,desc,unlockCondition,unlockConditionOr,completeCondition,completeConditionOr,guide_order,drop_id
int,string,strings,strings,strings,strings,int,int
10,序章战斗,,,,,1,
20,主线探索-主界面强引导进入,,,,,2,
21,主线探索-1-1 关卡窗口引导,,,,,3,
30,1-1布阵引导,,,,,4,
31,1-1战斗中,,,,,5,
32,1-1 战斗结束,,,,,6,
40,主线探索-主界面强引导进入,2:10101,,2:10102,,7,
41,主线探索UI-引导玩家进入1-2,2:10101,,2:10102,,8,
42,主线探索-1-2 关卡窗口引导,2:10101,,2:10102,,9,
43,1-2布阵引导,2:10101,,2:10102,,10,
44,1-2 战中引导,2:10101,,2:10102,,11,
45,1-2 引导完成,2:10101,,2:10102,,12,
50,主线探索-主界面强引导进入,2:10102,,,,13,
51,1-3 布阵引导,2:10102,,,,14,
52,1-3 战中引导,2:10102,,,,15,
53,1-3 战斗结束,2:10102,,,,16,
60,至尊能量共享,2:10103,,,,17,
61,至尊升级,2:10103,,,,18,
63,至尊技能引导-从主界面引导到至尊,2:10103,,,,19,
64,至尊技能点获取-随61引导结束触发,2:10103,,,,20,
66,至尊技能引导-从主界面引导到至尊,2:10103,,,,21,
67,至尊技能加点-随64 or 65引导结束触发,2:10103,,,,22,
69,【弱引导】1-3 后主界面-主线探索,2:10103,,2:10206,,23,
70,2-1 布阵至尊技能引导,2:10103,,,,24,
71,2-1 上阵飞飞-战斗开始,2:10103,,,,25,
72,2-1 战中引导,2:10103,,,,26,
81,2-2 战斗结束，回主界面,2:10201,,,,27,
82,引导新手卡池,2:10202,,,,28,
83,抽卡界面引导玩家去角色升级,2:10202,,,,29,
84,2-2 角色升级引导,2:10202,,,,30,
90,2-4 战斗结束，回到主界面,2:10203,,,,31,
92,卡斯特拉揭幕,2:10204,,,,32,
93,主界面->模拟经营->建造金币厂,2:10204,,,,33,
94,金币厂-调配工人,2:10204,,,,34,
100,模拟经营教学完毕，引导获得技能点,2:10204,,,,35,
101,至尊技能引导-从主界面引导到至尊,2:10204,,,,36,
102,激活护盾技能,2:10204,,,,37,
103,2-6 上阵至尊护盾技能,2:10204,,,,38,
104,2-6 教学护盾技能,2:10204,,,,39,
110,2-6 战斗结束，回到主界面,2:10205,,,,40,
130,角色进阶,2:10206,,,,41,
131,角色引导完成后引导至尊,13:130,,13:133,,42,
133,至尊缔结位,2:10206,,,,43,
140,混沌之门-引导,1:99,,,,44,
141,混沌之门UI-触发引导,2:10303,,,,45,
145,混沌之门-boss-break介绍,2:10303,,,,46,
149,引导加速,2:10304,,,,47,
150,3-6 战斗结束，回主界面,2:10305,,,,48,
176,每日任务解锁,2:10306,,,,49,
