id,heroID,heroLv,heroName,hpMax,phyAtk,magAtk,phyDfs,magDfs,critAtkRatio,critAtkValue
int,int,int,string,int,int,int,int,int,int,int
1,1,1,骨王,810,81,81,49,49,,
2,1,2,骨王,1350,135,135,81,81,,
3,1,3,骨王,1890,189,189,113,113,,
4,1,4,骨王,2430,243,243,146,146,,
5,1,5,骨王,2970,297,297,178,178,,
6,1,6,骨王,3510,351,351,211,211,,
7,1,7,骨王,4050,405,405,243,243,,
8,1,8,骨王,4590,459,459,275,275,,
9,1,9,骨王,5130,513,513,308,308,,
10,1,10,骨王,5670,567,567,340,340,,
11,1,11,骨王,6210,621,621,373,373,,
12,1,12,骨王,6750,675,675,405,405,,
13,1,13,骨王,7290,729,729,437,437,,
14,1,14,骨王,7830,783,783,470,470,,
15,1,15,骨王,8370,837,837,502,502,,
16,1,16,骨王,8910,891,891,535,535,,
17,1,17,骨王,9450,945,945,567,567,,
18,1,18,骨王,9990,999,999,599,599,,
19,1,19,骨王,10530,1053,1053,632,632,,
20,1,20,骨王,11070,1107,1107,664,664,,
21,1,21,骨王,11703,1170,1170,702,702,,
22,1,22,骨王,12344,1234,1234,741,741,,
23,1,23,骨王,12995,1299,1299,780,780,,
24,1,24,骨王,13653,1365,1365,819,819,,
25,1,25,骨王,14321,1432,1432,859,859,,
26,1,26,骨王,14997,1500,1500,900,900,,
27,1,27,骨王,15682,1568,1568,941,941,,
28,1,28,骨王,16375,1637,1637,982,982,,
29,1,29,骨王,17077,1708,1708,1025,1025,,
30,1,30,骨王,17788,1779,1779,1067,1067,,
31,1,31,骨王,18507,1851,1851,1110,1110,,
32,1,32,骨王,19235,1923,1923,1154,1154,,
33,1,33,骨王,19971,1997,1997,1198,1198,,
34,1,34,骨王,20717,2072,2072,1243,1243,,
35,1,35,骨王,21470,2147,2147,1288,1288,,
36,1,36,骨王,22233,2223,2223,1334,1334,,
37,1,37,骨王,23004,2300,2300,1380,1380,,
38,1,38,骨王,23784,2378,2378,1427,1427,,
39,1,39,骨王,24572,2457,2457,1474,1474,,
40,1,40,骨王,25369,2537,2537,1522,1522,,
41,1,41,骨王,26175,2617,2617,1570,1570,,
42,1,42,骨王,26989,2699,2699,1619,1619,,
43,1,43,骨王,27812,2781,2781,1669,1669,,
44,1,44,骨王,28644,2864,2864,1719,1719,,
45,1,45,骨王,29484,2948,2948,1769,1769,,
46,1,46,骨王,30333,3033,3033,1820,1820,,
47,1,47,骨王,31190,3119,3119,1871,1871,,
48,1,48,骨王,32057,3206,3206,1923,1923,,
49,1,49,骨王,32931,3293,3293,1976,1976,,
50,1,50,骨王,33815,3381,3381,2029,2029,,
51,1,51,骨王,34707,3471,3471,2082,2082,,
52,1,52,骨王,35608,3561,3561,2136,2136,,
53,1,53,骨王,36517,3652,3652,2191,2191,,
54,1,54,骨王,37435,3743,3743,2246,2246,,
55,1,55,骨王,38362,3836,3836,2302,2302,,
56,1,56,骨王,39297,3930,3930,2358,2358,,
57,1,57,骨王,40241,4024,4024,2414,2414,,
58,1,58,骨王,41193,4119,4119,2472,2472,,
59,1,59,骨王,42155,4215,4215,2529,2529,,
60,1,60,骨王,43124,4312,4312,2587,2587,,
61,2,1,泡泡茶壶,810,81,81,49,49,,
62,2,2,泡泡茶壶,1350,135,135,81,81,,
63,2,3,泡泡茶壶,1890,189,189,113,113,,
64,2,4,泡泡茶壶,2430,243,243,146,146,,
65,2,5,泡泡茶壶,2970,297,297,178,178,,
66,2,6,泡泡茶壶,3510,351,351,211,211,,
67,2,7,泡泡茶壶,4050,405,405,243,243,,
68,2,8,泡泡茶壶,4590,459,459,275,275,,
69,2,9,泡泡茶壶,5130,513,513,308,308,,
70,2,10,泡泡茶壶,5670,567,567,340,340,,
71,2,11,泡泡茶壶,6210,621,621,373,373,,
72,2,12,泡泡茶壶,6750,675,675,405,405,,
73,2,13,泡泡茶壶,7290,729,729,437,437,,
74,2,14,泡泡茶壶,7830,783,783,470,470,,
75,2,15,泡泡茶壶,8370,837,837,502,502,,
76,2,16,泡泡茶壶,8910,891,891,535,535,,
77,2,17,泡泡茶壶,9450,945,945,567,567,,
78,2,18,泡泡茶壶,9990,999,999,599,599,,
79,2,19,泡泡茶壶,10530,1053,1053,632,632,,
80,2,20,泡泡茶壶,11070,1107,1107,664,664,,
81,2,21,泡泡茶壶,11703,1170,1170,702,702,,
82,2,22,泡泡茶壶,12344,1234,1234,741,741,,
83,2,23,泡泡茶壶,12995,1299,1299,780,780,,
84,2,24,泡泡茶壶,13653,1365,1365,819,819,,
85,2,25,泡泡茶壶,14321,1432,1432,859,859,,
86,2,26,泡泡茶壶,14997,1500,1500,900,900,,
87,2,27,泡泡茶壶,15682,1568,1568,941,941,,
88,2,28,泡泡茶壶,16375,1637,1637,982,982,,
89,2,29,泡泡茶壶,17077,1708,1708,1025,1025,,
90,2,30,泡泡茶壶,17788,1779,1779,1067,1067,,
91,2,31,泡泡茶壶,18507,1851,1851,1110,1110,,
92,2,32,泡泡茶壶,19235,1923,1923,1154,1154,,
93,2,33,泡泡茶壶,19971,1997,1997,1198,1198,,
94,2,34,泡泡茶壶,20717,2072,2072,1243,1243,,
95,2,35,泡泡茶壶,21470,2147,2147,1288,1288,,
96,2,36,泡泡茶壶,22233,2223,2223,1334,1334,,
97,2,37,泡泡茶壶,23004,2300,2300,1380,1380,,
98,2,38,泡泡茶壶,23784,2378,2378,1427,1427,,
99,2,39,泡泡茶壶,24572,2457,2457,1474,1474,,
100,2,40,泡泡茶壶,25369,2537,2537,1522,1522,,
101,2,41,泡泡茶壶,26175,2617,2617,1570,1570,,
102,2,42,泡泡茶壶,26989,2699,2699,1619,1619,,
103,2,43,泡泡茶壶,27812,2781,2781,1669,1669,,
104,2,44,泡泡茶壶,28644,2864,2864,1719,1719,,
105,2,45,泡泡茶壶,29484,2948,2948,1769,1769,,
106,2,46,泡泡茶壶,30333,3033,3033,1820,1820,,
107,2,47,泡泡茶壶,31190,3119,3119,1871,1871,,
108,2,48,泡泡茶壶,32057,3206,3206,1923,1923,,
109,2,49,泡泡茶壶,32931,3293,3293,1976,1976,,
110,2,50,泡泡茶壶,33815,3381,3381,2029,2029,,
111,2,51,泡泡茶壶,34707,3471,3471,2082,2082,,
112,2,52,泡泡茶壶,35608,3561,3561,2136,2136,,
113,2,53,泡泡茶壶,36517,3652,3652,2191,2191,,
114,2,54,泡泡茶壶,37435,3743,3743,2246,2246,,
115,2,55,泡泡茶壶,38362,3836,3836,2302,2302,,
116,2,56,泡泡茶壶,39297,3930,3930,2358,2358,,
117,2,57,泡泡茶壶,40241,4024,4024,2414,2414,,
118,2,58,泡泡茶壶,41193,4119,4119,2472,2472,,
119,2,59,泡泡茶壶,42155,4215,4215,2529,2529,,
120,2,60,泡泡茶壶,43124,4312,4312,2587,2587,,
121,4,1,塔其米,810,81,81,49,49,,
122,4,2,塔其米,1350,135,135,81,81,,
123,4,3,塔其米,1890,189,189,113,113,,
124,4,4,塔其米,2430,243,243,146,146,,
125,4,5,塔其米,2970,297,297,178,178,,
126,4,6,塔其米,3510,351,351,211,211,,
127,4,7,塔其米,4050,405,405,243,243,,
128,4,8,塔其米,4590,459,459,275,275,,
129,4,9,塔其米,5130,513,513,308,308,,
130,4,10,塔其米,5670,567,567,340,340,,
131,4,11,塔其米,6210,621,621,373,373,,
132,4,12,塔其米,6750,675,675,405,405,,
133,4,13,塔其米,7290,729,729,437,437,,
134,4,14,塔其米,7830,783,783,470,470,,
135,4,15,塔其米,8370,837,837,502,502,,
136,4,16,塔其米,8910,891,891,535,535,,
137,4,17,塔其米,9450,945,945,567,567,,
138,4,18,塔其米,9990,999,999,599,599,,
139,4,19,塔其米,10530,1053,1053,632,632,,
140,4,20,塔其米,11070,1107,1107,664,664,,
141,4,21,塔其米,11703,1170,1170,702,702,,
142,4,22,塔其米,12344,1234,1234,741,741,,
143,4,23,塔其米,12995,1299,1299,780,780,,
144,4,24,塔其米,13653,1365,1365,819,819,,
145,4,25,塔其米,14321,1432,1432,859,859,,
146,4,26,塔其米,14997,1500,1500,900,900,,
147,4,27,塔其米,15682,1568,1568,941,941,,
148,4,28,塔其米,16375,1637,1637,982,982,,
149,4,29,塔其米,17077,1708,1708,1025,1025,,
150,4,30,塔其米,17788,1779,1779,1067,1067,,
151,4,31,塔其米,18507,1851,1851,1110,1110,,
152,4,32,塔其米,19235,1923,1923,1154,1154,,
153,4,33,塔其米,19971,1997,1997,1198,1198,,
154,4,34,塔其米,20717,2072,2072,1243,1243,,
155,4,35,塔其米,21470,2147,2147,1288,1288,,
156,4,36,塔其米,22233,2223,2223,1334,1334,,
157,4,37,塔其米,23004,2300,2300,1380,1380,,
158,4,38,塔其米,23784,2378,2378,1427,1427,,
159,4,39,塔其米,24572,2457,2457,1474,1474,,
160,4,40,塔其米,25369,2537,2537,1522,1522,,
161,4,41,塔其米,26175,2617,2617,1570,1570,,
162,4,42,塔其米,26989,2699,2699,1619,1619,,
163,4,43,塔其米,27812,2781,2781,1669,1669,,
164,4,44,塔其米,28644,2864,2864,1719,1719,,
165,4,45,塔其米,29484,2948,2948,1769,1769,,
166,4,46,塔其米,30333,3033,3033,1820,1820,,
167,4,47,塔其米,31190,3119,3119,1871,1871,,
168,4,48,塔其米,32057,3206,3206,1923,1923,,
169,4,49,塔其米,32931,3293,3293,1976,1976,,
170,4,50,塔其米,33815,3381,3381,2029,2029,,
171,4,51,塔其米,34707,3471,3471,2082,2082,,
172,4,52,塔其米,35608,3561,3561,2136,2136,,
173,4,53,塔其米,36517,3652,3652,2191,2191,,
174,4,54,塔其米,37435,3743,3743,2246,2246,,
175,4,55,塔其米,38362,3836,3836,2302,2302,,
176,4,56,塔其米,39297,3930,3930,2358,2358,,
177,4,57,塔其米,40241,4024,4024,2414,2414,,
178,4,58,塔其米,41193,4119,4119,2472,2472,,
179,4,59,塔其米,42155,4215,4215,2529,2529,,
180,4,60,塔其米,43124,4312,4312,2587,2587,,
181,5,1,黑洛黑洛,810,81,81,49,49,,
182,5,2,黑洛黑洛,1350,135,135,81,81,,
183,5,3,黑洛黑洛,1890,189,189,113,113,,
184,5,4,黑洛黑洛,2430,243,243,146,146,,
185,5,5,黑洛黑洛,2970,297,297,178,178,,
186,5,6,黑洛黑洛,3510,351,351,211,211,,
