id,skillID,skillLevel,costItems,unlock,invokeType,campFilterId,combatPower,attrRates,autoTarget,crossHairObj,crossHairEnd,soundName,soundSheet
int,int,int,strings,strings,int,int,ints,ints,int,string,string,string,string
3,1,5,"11:2000,100010:100",,2,,,,3,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill04_cast_fx_1.prefab,,
2,2,5,11:2000,,1,,,,3,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill02_cast_fx.prefab,,
4,4,5,"11:2000,100010:8",3001:27,2,,"511,293",,106,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
5,105,5,"11:2000,100010:30","3001:58,3002:1:199:5,3003:1:310",2,,"1022,585",,29,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill08_cast_fx.prefab,,
1101,110,1,"11:2000,100010:2",3001:1,2,,"51,29",,106,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
1102,110,2,"11:5000,100010:2",3001:10,2,,"128,73",,106,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
1103,110,3,"11:8000,100010:4",3001:15,2,,"204,117",,106,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
1104,110,4,"11:12000,100010:6",3001:21,2,,"332,190",,106,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
1105,110,5,"11:20000,100010:8",3001:27,2,,"511,293",,106,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
1011,101,1,"11:2000,100010:3","3001:5,3002:1:110:2",1,,"64,37",,22,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill02_cast_fx.prefab,,
1012,101,2,"11:5000,100010:4",3001:14,1,,"160,91",,22,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill02_cast_fx.prefab,,
1013,101,3,"11:8000,100010:6","3001:22,3002:1:110:4",1,,"256,146",,22,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill02_cast_fx.prefab,,
1014,101,4,"11:12000,100010:7",3001:30,1,,"415,238",,22,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill02_cast_fx.prefab,,
1015,101,5,"11:20000,100010:8","3001:38,3002:1:110:5",1,,"639,366",,22,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill02_cast_fx.prefab,,
1031,103,1,"11:2000,100010:4","3001:23,3002:1:101:2",3,101,"64,37",,1,,,,
1032,103,2,"11:5000,100010:5",3001:30,3,102,"160,91",,1,,,,
1033,103,3,"11:8000,100010:6","3001:37,3002:1:101:4",3,103,"256,146",,1,,,,
1034,103,4,"11:12000,100010:8",3001:44,3,104,"415,238",,1,,,,
1035,103,5,"11:20000,100010:10","3001:51,3002:1:101:5",3,105,"639,366",,1,,,,
1041,104,1,"11:4000,100010:10","3001:33,3002:1:199:2,3003:1:100",2,,"102,59",,3,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill04_cast_fx_1.prefab,,
1042,104,2,"11:10000,100010:15","3001:39,3003:1:140",2,,"256,146",,3,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill04_cast_fx_1.prefab,,
1043,104,3,"11:16000,100010:20","3001:45,3002:1:199:4,3003:1:180",2,,"409,234",,3,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill04_cast_fx_1.prefab,,
1044,104,4,"11:24000,100010:25","3001:51,3003:1:230",2,,"664,380",,3,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill04_cast_fx_1.prefab,,
1045,104,5,"11:40000,100010:30","3001:57,3002:1:199:5,3003:1:310",2,,"1022,585",,3,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill04_cast_fx_1.prefab,,
1111,111,1,"11:2000,100010:2",3001:1,1,,"51,29",,24,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
1112,111,2,"11:5000,100010:2",3001:10,1,,"128,73",,24,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
1113,111,3,"11:8000,100010:4",3001:16,1,,"204,117",,24,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
1114,111,4,"11:12000,100010:6",3001:22,1,,"332,190",,24,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
1115,111,5,"11:20000,100010:8",3001:28,1,,"511,293",,24,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
1121,112,1,"11:2000,100010:3","3001:10,3002:1:111:2",1,,"64,37",,22,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill06_cast_fx.prefab,,
1122,112,2,"11:5000,100010:4",3001:15,1,,"160,91",,22,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill06_cast_fx.prefab,,
1123,112,3,"11:8000,100010:6","3001:23,3002:1:111:4",1,,"256,146",,22,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill06_cast_fx.prefab,,
1124,112,4,"11:12000,100010:7",3001:31,1,,"415,238",,22,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill06_cast_fx.prefab,,
1125,112,5,"11:20000,100010:8","3001:39,3002:1:111:5",1,,"639,366",,22,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill06_cast_fx.prefab,,
1071,107,1,"11:2000,100010:4","3001:24,3002:1:112:2",3,201,"64,37",,29,,,,
1072,107,2,"11:5000,100010:5",3001:31,3,202,"160,91",,29,,,,
1073,107,3,"11:8000,100010:6","3001:38,3002:1:112:4",3,203,"256,146",,29,,,,
1074,107,4,"11:12000,100010:8",3001:45,3,204,"415,238",,29,,,,
1075,107,5,"11:20000,100010:10","3001:52,3002:1:112:5",3,205,"639,366",,29,,,,
1081,108,1,"11:4000,100010:10","3001:34,3002:1:199:2,3003:1:100",2,,"102,59",,29,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill08_cast_fx.prefab,,
1082,108,2,"11:10000,100010:15","3001:40,3003:1:140",2,,"256,146",,29,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill08_cast_fx.prefab,,
1083,108,3,"11:16000,100010:20","3001:46,3002:1:199:4,3003:1:180",2,,"409,234",,29,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill08_cast_fx.prefab,,
1084,108,4,"11:24000,100010:25","3001:52,3003:1:230",2,,"664,380",,29,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill08_cast_fx.prefab,,
1085,108,5,"11:40000,100010:30","3001:58,3002:1:199:5,3003:1:310",2,,"1022,585",,29,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill08_cast_fx.prefab,,
1036,199,1,"11:2000,100010:3","3001:24,3002:1:103:1,3002:1:107:1",4,,,"100,100,100,100",,,,,
1037,199,2,"11:5000,100010:4",3001:31,4,,,"150,150,150,150",,,,,
