id,name,cname,itemType,rarity,useType,useParam,expireType,expireTime,limitNumber,sellPrice,showInBag
int,string,string,int,int,int,ints,int,string,int,int,bool
1,cfg_character_charaName_1,账号经验,1,3,4,,0,,999999999,,false
2,cfg_character_charaName_2,免费钻石,1,3,4,,0,,999999999,,false
3,cfg_character_charaName_3,付费钻石,1,3,4,,0,,999999999,,false
4,cfg_character_charaName_4,体力,1,3,4,,0,,999999999,,false
5,cfg_character_charaName_5,精力,1,2,4,,0,,999999999,,false
6,cfg_character_charaName_6,至尊经验,1,2,4,,0,,999999999,,false
11,cfg_character_charaName_11,金币,1,1,4,,0,,999999999,,false
12,cfg_character_charaName_12,竞技场代币,1,2,4,,0,,999999999,,false
13,cfg_character_charaName_13,公会代币,1,2,4,,0,,999999999,,false
51,cfg_item_data_name_51,世界探索-纳萨力克-声望,106,2,4,,0,,999999999,,false
52,cfg_item_data_name_52,世界探索-耶兰提尔-声望,106,2,4,,0,,999999999,,false
53,cfg_item_data_name_53,世界探索-卡恩村-声望,106,2,4,,0,,999999999,,false
54,cfg_item_data_name_54,世界探索-武都森林-声望,106,2,4,,0,,999999999,,false
55,cfg_item_data_name_55,世界探索-蜥蜴人村落-声望,106,2,4,,0,,999999999,,false
1001,cfg_character_charaName_1001,安兹·乌尔·恭,201,4,4,,0,,1,,false
1002,cfg_character_charaName_1002,希姿·德尔塔,201,4,4,,0,,1,,false
1003,cfg_character_charaName_1003,露普斯蕾琪娜·贝塔,201,4,4,,0,,1,,false
1004,cfg_character_charaName_1004,雅儿贝德,201,4,4,,0,,1,,false
1005,cfg_character_charaName_1005,科塞特斯,201,4,4,,0,,1,,false
1006,cfg_character_charaName_1006,塞巴斯·蒂安,201,4,4,,0,,1,,false
1007,cfg_character_charaName_1007,亚乌拉·贝拉·菲欧娜,201,4,4,,0,,1,,false
1008,cfg_character_charaName_1008,马雷·贝罗·菲欧雷,201,4,4,,0,,1,,false
1009,cfg_character_charaName_1009,迪米乌哥斯,201,4,4,,0,,1,,false
1010,cfg_character_charaName_1010,潘朵拉,201,4,4,,0,,1,,false
1011,cfg_character_charaName_1011,索留香,201,4,4,,0,,1,,false
1012,cfg_character_charaName_1012,莫莫,201,3,4,,0,,1,,false
1013,cfg_character_charaName_1013,夏提雅·布拉德弗伦,201,4,4,,0,,1,,false
1014,cfg_character_charaName_1014,夏提雅·女武神,201,4,4,,0,,1,,false
1015,cfg_character_charaName_1015,亚达巴奥,201,4,4,,0,,1,,false
1016,cfg_character_charaName_1016,恐怖公,201,4,4,,0,,1,,false
