id,type,relatedId,campId,dropId,version
int,int,int,int,int,int
101002,1,1002,101,9200004,1
101003,1,1003,101,9200004,1
101004,1,1004,101,9200004,1
101005,1,1005,101,9200004,1
101006,1,1006,101,9200004,1
101007,1,1007,101,9200004,1
101009,1,1009,101,9200004,1
101012,1,1012,102,9200004,1
101013,1,1013,101,9200004,1
101018,1,1018,101,9200004,1
101021,1,1021,101,9200004,1
101022,1,1022,101,9200004,1
101024,1,1024,103,9200004,1
101031,1,1031,103,9200004,1
102001,1,2001,102,9200003,1
102003,1,2003,101,9200003,1
102004,1,2004,101,9200003,1
102005,1,2005,103,9200003,1
102006,1,2006,103,9200003,1
102007,1,2007,103,9200003,1
102009,1,2009,103,9200003,1
102011,1,2011,103,9200003,1
102014,1,2014,103,9200003,1
102015,1,2015,103,9200003,1
102016,1,2016,103,9200003,1
102017,1,2017,103,9200003,1
102019,1,2019,101,9200003,1
102020,1,2020,103,9200003,1
102021,1,2021,103,9200003,1
102041,1,2041,101,9200003,1
103001,1,3001,102,9200002,1
103002,1,3002,101,9200002,1
103003,1,3003,102,9200002,1
103004,1,3004,102,9200002,1
103005,1,3005,102,9200002,1
103006,1,3006,102,9200002,1
103007,1,3007,102,9200002,1
103008,1,3008,102,9200002,1
103009,1,3009,103,9200002,1
103010,1,3010,103,9200002,1
103011,1,3011,103,9200002,1
103013,1,3013,103,9200002,1
104001,1,4001,102,9200001,1
104002,1,4002,102,9200001,1
104003,1,4003,102,9200001,1
104004,1,4004,102,9200001,1
104005,1,4005,102,9200001,1
210001,2,10001,201,9200004,1
210002,2,10002,201,9200004,1
210003,2,10003,201,9200004,1
210004,2,10004,201,9200004,1
210005,2,10005,201,9200004,1
210006,2,10006,201,9200004,1
210007,2,10007,201,9200004,1
210008,2,10008,201,9200004,1
210009,2,10009,201,9200004,1
210010,2,10010,201,9200004,1
210011,2,10011,201,9200004,1
210012,2,10012,201,9200004,1
210014,2,10014,201,9200004,1
210015,2,10015,201,9200004,1
210016,2,10016,201,9200004,1
210019,2,10019,201,9200004,1
210022,2,10022,201,9200004,1
220001,2,20001,201,9200003,1
220002,2,20002,201,9200003,1
220004,2,20004,201,9200003,1
220005,2,20005,201,9200003,1
220006,2,20006,201,9200003,1
220007,2,20007,201,9200003,1
220008,2,20008,201,9200003,1
220009,2,20009,201,9200003,1
220010,2,20010,201,9200003,1
220011,2,20011,201,9200003,1
220012,2,20012,201,9200003,1
220013,2,20013,201,9200003,1
220014,2,20014,201,9200003,1
230001,2,30001,201,9200002,1
230002,2,30002,201,9200002,1
230003,2,30003,201,9200002,1
230004,2,30004,201,9200002,1
230005,2,30005,201,9200002,1
230006,2,30006,201,9200002,1
101011,1,1011,101,9200004,1
101014,1,1014,101,9200004,1
101017,1,1017,101,9200004,1
101019,1,1019,101,9200004,1
