id,charaName,aiName,attackinterval,normalAtkID,normalMeleeAtkID,moveAtkID,enterSkillID,warningSkill,uiSkillIDs,skillID,ultraSkillID,acitvePassiveSkills,collideRect,meleeHitRange,remoteHitRange,knockBackDuration,getUpDuration,damagedDuration,enterDuration,bkStartDuration,bkEndDuration,enterDelay,translateData
int,string,string,int,int,int,int,int,int,ints,ints,int,ints,floats,float,float,float,float,float,float,float,float,float,string
1998,亞烏拉蜥蜴,ai1998,600,1998011,,,,,,"1998021,1998022,1998023",,,"1.4,0.8",3,14,0.667,0.767,0.567,1.83,,,,
1999,亞烏拉狗子,ai1999,1000,1999011,,,,,,1999021,,,"1.4,0.8",2.5,2.5,0.667,0.5,0.6,0.67,,,,
2998,死亡騎士,ai2998,800,2998011,,,,,,2998021,2998031,"2998041,2998042","0.7,0.4",2.5,3,0.833,1,0.5,,,,,
2999,葛傑夫召喚物-弓箭手,ai2999,600,299901,299902,,,,,"299901,299902",,,"0.7,0.4",3,14,0.967,1.5,0.5,,,,,
99999,工具人騎士1號,ai99999,800,9999901,,,,,,,,,"0.7,0.4",10,10,0.867,1.067,0.733,,,,,
99998,工具人騎士2號,ai99999,800,9999901,,,,,,,,,"0.7,0.4",10,10,0.867,1.067,0.733,,,,,
30101,沙丘隆特的幻象1級,ai3999,800,3010101,,,,,,3010101,,,"0.7,0.4",2.5,3,0.633,0.9,0.5,,,,,
10001,帝國騎士,ai10001,800,600101,,,,,,,600102,,"0.7,0.4",3,3,0.867,1.067,0.733,,,,,
10002,帝國弓騎士,ai10002,600,600201,600202,,,,,600204,600207,,"0.7,0.4",3,14,0.867,1.067,0.733,,,,,
10003,陽光聖典,ai10003,800,600301,600302,,,,,,600303,,"0.7,0.4",3,12,0.767,0.733,0.667,,,,,
10004,火焰天使,ai10004,800,600401,,,,,,,600402,,"0.7,0.4",3,3,0.7,0.667,0.6,,,,,
11004,火焰天使-限时刷怪专用-ai放技能一,ai11004,800,600401,,,,,,600402,,,"0.7,0.4",3,3,0.7,0.667,0.6,,,,,
10005,冒險者坦克-出場帶盾,ai10005,1000,600501,,,,,,,600502,"600503,600504","0.7,0.4",3,3,0.867,1.067,0.733,,,,,
11005,冒險者坦克,ai10005,1000,600501,,,,,,,600502,600503,"0.7,0.4",3,3,0.867,1.067,0.733,,,,,
12005,冒險者坦克-全技能,ai12005,1000,600501,,,,,,600505,600502,"600503,600504","0.7,0.4",3,3,0.867,1.067,0.733,,,,,
13005,冒险者坦克-限时刷怪专用-ai放护盾,ai13005,1000,600501,,,,,,"600502,600505",,"600503,600504","0.7,0.4",3,3,0.867,1.067,0.733,,,,,
10006,冒險者戰士-全技能,ai10006,800,600601,,,,,,600602,600603,,"0.7,0.4",3,3,0.867,1.067,0.733,,,,,
11006,冒險者戰士-包圍戰增援專用-普攻帶擊退,ai11006,800,600601,,,,,,"600602,600604",600603,,"0.7,0.4",3,3,0.867,1.067,0.733,,,,,
10007,冒險者法師,ai10007,800,600701,600702,,,,,,600703,,"0.7,0.4",3,12,0.767,0.633,0.667,,,,,
11007,冒險者法師-全技能,ai11007,800,600701,600702,,,,,600704,600703,,"0.7,0.4",3,12,0.767,0.633,0.667,,,,,
10008,冒險者刺客-全技能,ai10008,700,600801,,,,,,600804,600802,,"0.7,0.4",3,3,0.867,0.9,0.533,,,,,
11008,冒險者刺客-百分百閃避一次,ai11008,700,600801,,,,,,600803,,,"0.7,0.4",3,3,0.867,0.9,0.533,,,,,
10009,冒險者輔助-全技能,ai10009,800,600901,600902,,,,,600903,600904,,"0.7,0.4",3,12,0.767,0.633,0.667,,,,,
10010,野生哥布林戰士,ai10010,800,601001,,,,,,,601002,,"0.7,0.4",3,3,1,1.2,0.633,,,,,
11010,魔化野生哥布林戰士,ai13010,800,601001,,,,,,601006,601002,,"0.7,0.4",3,3,1,1.2,0.633,,,,,
100101,野生哥布林戰士,ai10010,800,601001,,,,,,,601002,,"0.7,0.4",3,3,1,1.2,0.633,,,,,
12010,野生哥布林戰士-包圍戰增援專用-普攻帶擊退,ai12010,800,601001,,,,,,601005,601002,,"0.7,0.4",3,3,1,1.2,0.633,,,,,
13010,野生哥布林戰士-全技能,ai13010,800,601001,,,,,,601006,601002,,"0.7,0.4",3,3,1,1.2,0.633,,,,,
10011,野生哥布林射手-全技能,ai10011,600,601101,601102,,,,,601104,601103,,"0.7,0.4",3,14,1,1.2,0.633,,,,,
19011,野生哥布林射手-主線【高飛修改版】,ai19011,600,601101,601102,,,,,601104,601103,,"0.7,0.4",3,14,1,1.2,0.633,,,,,
11011,魔化野生哥布林射手,ai10011,600,601101,601102,,,,,601104,601103,,"0.7,0.4",3,14,1,1.2,0.633,,,,,
100111,野生哥布林射手,ai10011,600,601101,601102,,,,,,601103,,"0.7,0.4",3,14,1,1.2,0.633,,,,,
10012,冒險者僵屍戰士,ai10012,800,601201,,,,,,,,"601205,601206","0.7,0.4",3,3,1.067,1.8,1.133,,,,,
10013,骷髏戰士,ai10013,1000,601301,,,,,,,601302,"601304,601305","0.7,0.4",3,3,0.867,1.067,0.733,,,,,
11013,骷髏戰士-包圍戰增援專用-普攻帶擊退,ai11013,1000,601301,,,,,,601306,601302,"601304,601305","0.7,0.4",3,3,0.867,1.067,0.733,,,,,
12013,骷髏戰士-全技能,ai12013,1000,601301,,,,,,601303,601302,"601304,601305","0.7,0.4",3,3,0.867,1.067,0.733,,,,,
13013,骷髅战士-限时刷怪专用-ai放护盾,ai13013,1000,601301,,,,,,"601302,601303",,"601304,601305","0.7,0.4",3,3,0.867,1.067,0.733,,,,,
10014,骷髏弓箭手,ai10014,600,601401,601402,,,,,"601403,601406",601404,,"0.7,0.4",3,14,0.867,1.067,0.733,,,,,
11014,骷髏弓箭手-全技能,ai11014,600,601401,601402,,,,,"601403,601405,601406",601404,,"0.7,0.4",3,14,0.867,1.067,0.733,,,,,
10015,骷髏騎兵,ai10015,800,601501,,,,,,"601502,601504",601503,,"0.7,0.4",3,3,1.067,1.8,1.133,,,,,
10016,食人魔-全技能,ai10016,1000,601601,,,,,,601604,601602,601603,"0.7,0.4",3,3,1.067,2.267,0.9,,,,,
11016,魔化食人魔,ai10016,1000,601601,,,,,,601604,601602,601603,"0.7,0.4",3,3,1.067,2.267,0.9,,,,,
10017,冒險者射手,ai10017,600,601701,601702,,,,,"601703,601705",601704,,"0.7,0.4",3,14,0.867,1.067,0.733,,,,,
11017,冒險者射手-全技能,ai11017,600,601701,601702,,,,,"601703,601705,601708",601704,,"0.7,0.4",3,14,0.867,1.067,0.733,,,,,
10018,蜥蜴人坦克,ai10018,1000,601801,,,,,,601801,601803,,"0.7,0.4",3,3,1,1.167,0.667,,,,,
10019,蜥蜴人戰士,ai10019,800,601901,,,,,,601901,601903,,"0.7,0.4",3,3,1,1.067,0.667,,,,,
11019,蜥蜴人戰士-包圍戰增援專用,ai11019,800,601901,,,,,,"601901,601904",601903,,"0.7,0.4",3,3,1,1.067,0.667,,,,,
10020,蜥蜴人法師,ai10020,800,602001,602002,,,,,602001,602004,,"0.7,0.4",3,14,1,1.167,0.667,,,,,
