id,lv,monsterId,charaName,hpMax,phyAtk,magAtk,phyDfs,magDfs,critAtkRatio,critDfsValue,hitRateBasic,hitRateValue,evadeValue,energyMax,energyRecover,heroEnergyRecover,hpRecover,energy,energyDamagedRecover,moveSpd,breakMax,breakValue,breakTime,combatPower
int,int,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1000112,1,39001,火精灵-序章,90000,1500,1500,600,600,5000,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
1010111,1,10001,帝国骑士,4800,14,14,20,16,1500,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
1010112,1,10001,帝国骑士,4800,14,14,20,16,1500,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
1010113,1,10002,帝国弓箭手,700,14,14,20,16,1500,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
1010211,25,10004,火焰天使,32000,300,300,300,300,2000,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
1010212,25,10004,火焰天使,32000,300,300,300,300,2000,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
1010213,25,10004,火焰天使,32000,300,300,300,300,2000,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
1010214,25,10003,阳光圣典,16000,600,600,200,200,2000,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
1010215,25,10003,阳光圣典,16000,600,600,200,200,2000,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
1010216,25,10003,阳光圣典,16000,600,600,200,200,2000,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
1010312,25,31003,威光主天使,48000,735,735,402,402,2000,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
1010314,25,10003,阳光盛典,16000,735,735,402,402,2000,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
1,1,51001,骨王,40,13,13,10,10,0,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
2,1,51002,亚乌拉,40,13,13,10,10,0,0,10000,0,0,0,0,0,0,0,0,50000,,,,0
