id,comment,eventsID,objectEffectsID,triggerEffectsID,triggerObject,triggerType,triggerParam,triggerCD,triggerPR,duration,type
int,string,ints,ints,ints,ints,int,ints,float,int,float,int
3021,骨王技能-雷电强化1级,,,3021012,1,28,,0,100,6,
3022,骨王技能-雷电强化2级,,,3022012,1,28,,0,100,6,
3023,骨王技能-雷电强化3级,,,3023012,1,28,,0,100,6,
3024,骨王技能-雷电强化4级,,,3024012,1,28,,0,100,6,
3025,骨王技能-雷电强化5级,,,3025012,1,28,,0,100,6,
701213,,7012113,,,1,15,0,-1,100,999,
1002051,希资被动效果-火,,10020511,,1,1,100201,0,100,999,
1002052,希资被动效果-火加概率,,10020521,,1,1,100201,0,100,999,
1002053,希资被动效果-火-光,,10020531,,1,1,100201,0,100,999,
1002054,希资被动效果-光加概率,,10020541,,1,1,100201,0,100,999,
1002055,希资被动效果-范围扩大,,10020551,,1,1,100201,0,100,999,
1002021,希资技能二被动lv1,100202199,,,1,15,0,-1,100,999,
1002022,希资技能二被动lv2,100202299,,,1,15,0,-1,100,999,
1002023,希资技能二被动lv3,100202399,,,1,15,0,-1,100,999,
1002024,希资技能二被动lv4,100202499,,,1,15,0,-1,100,999,
1002025,希资技能二被动lv5,100202599,,,1,15,0,-1,100,999,
1003051,狼妹被动1级,100305101,,,1,15,0,-1,100,999,
1003052,狼妹被动2级,100305201,,,1,15,0,-1,100,999,
1003053,狼妹被动3级,100305301,,,1,15,0,-1,100,999,
1003054,狼妹被动4级,100305401,,,1,15,0,-1,100,999,
1003055,狼妹被动5级,100305501,,,1,15,0,-1,100,999,
1004051,雅儿贝德被动1级,100405100,,,1,15,0,-1,100,999,
1004052,雅儿贝德被动2级,100405200,,,1,15,0,-1,100,999,
1004053,雅儿贝德被动3级,100405300,,,1,15,0,-1,100,999,
1004054,雅儿贝德被动4级,100405400,,,1,15,0,-1,100,999,
1004055,雅儿贝德被动5级,100405500,,,1,15,0,-1,100,999,
1005031,科塞特斯技能2上盾1级,,10050310,,1,15,0,10,100,999,
1005032,科塞特斯技能2上盾2级,,10050320,,1,15,0,10,100,999,
1005033,科塞特斯技能2上盾3级,,10050330,,1,15,0,10,100,999,
1005034,科塞特斯技能2上盾4级,,10050340,,1,15,0,10,100,999,
1005035,科塞特斯技能2上盾5级,,10050350,,1,15,0,10,100,999,
1005051,科塞特斯天赋被动冰冻1级,,10050510,,1,1,100501,2,100,999,
1005052,科塞特斯天赋被动冰冻2级,,10050520,,1,1,100501,2,100,999,
1005053,科塞特斯天赋被动冰冻3级,,10050530,,1,1,100501,2,100,999,
1005054,科塞特斯天赋被动冰冻4级,,10050540,,1,1,100501,2,100,999,
1005055,科塞特斯天赋被动冰冻5级,,10050550,,1,1,100501,2,100,999,
1005061,科塞特斯奥义剑气被动,,10050432,,1,5,100501,0,100,999,
1005121,科塞特斯奥义天赋被动1级,,,10051060,1,5,"100507,100513",0,20,999,
1005122,科塞特斯奥义天赋被动2级,,,10051060,1,5,"100507,100513",0,25,999,
1005123,科塞特斯奥义天赋被动3级,,,10051060,1,5,"100507,100513",0,30,999,
1005124,科塞特斯奥义天赋被动4级,,,10051060,1,5,"100507,100513",0,35,999,
1005125,科塞特斯奥义天赋被动5级,,,10051060,1,5,"100507,100513",0,40,999,
1006051,赛巴斯被动1级,,10060511,,1,15,0,-1,100,999,
1006052,赛巴斯被动2级,,10060521,,1,15,0,-1,100,999,
1006053,赛巴斯被动3级,,10060531,,1,15,0,-1,100,999,
1006054,赛巴斯被动4级,,10060541,,1,15,0,-1,100,999,
1006055,赛巴斯被动5级,,10060551,,1,15,0,-1,100,999,
1006031,塞巴斯技能二1级,,10060311,,1,7,,0,100,999,
1006032,塞巴斯技能二2级,,10060321,,1,7,,0,100,999,
1006033,塞巴斯技能二3级,,10060331,,1,7,,0,100,999,
1006034,塞巴斯技能二4级,,10060341,,1,7,,0,100,999,
1006035,塞巴斯技能二5级,,10060351,,1,7,,0,100,999,
1009051,小迪被动1级,100905101,,,1,15,0,-1,100,999,
1009052,小迪被动2级,100905201,,,1,15,0,-1,100,999,
1009053,小迪被动3级,100905301,,,1,15,0,-1,100,999,
1009054,小迪被动4级,100905401,,,1,15,0,-1,100,999,
1009055,小迪被动5级,100905501,,,1,15,0,-1,100,999,
1011051,索留香被动1级,,101105101,,1,7,,0,100,999,
1011052,索留香被动2级,,101105201,,1,7,,0,100,999,
1011053,索留香被动3级,,101105301,,1,7,,0,100,999,
1011054,索留香被动4级,,101105401,,1,7,,0,100,999,
1011055,索留香被动5级,,101105501,,1,7,,0,100,999,
1012051,飞飞天赋被动1级,101205101,,,1,2,101201,0,100,999,
1012052,飞飞天赋被动2级,101205201,,,1,2,101201,0,100,999,
1012053,飞飞天赋被动3级,101205301,,,1,2,101201,0,100,999,
1012054,飞飞天赋被动4级,101205401,,,1,2,101201,0,100,999,
1012055,飞飞天赋被动5级,101205501,,,1,2,101201,0,100,999,
1013051,夏提雅被动1级,,10130501,,1,15,0,-1,100,999,
1013052,夏提雅被动2级,,10130502,,1,15,0,-1,100,999,
1013053,夏提雅被动3级,,10130503,,1,15,0,-1,100,999,
1013054,夏提雅被动4级,,10130504,,1,15,0,-1,100,999,
1013055,夏提雅被动5级,,10130505,,1,15,0,-1,100,999,
1017031,由莉技能二1级,,10170310,,1,22,,1,100,999,
1017032,由莉技能二2级,,10170320,,1,22,,1,100,999,
1017033,由莉技能二3级,,10170330,,1,22,,1,100,999,
1017034,由莉技能二4级,,10170340,,1,22,,1,100,999,
1017035,由莉技能二5级,,10170350,,1,22,,1,100,999,
1017051,由莉被动1级,,,101705103,1,29,,0,100,999,
1017052,由莉被动2级,,,101705203,1,29,,0,100,999,
1017053,由莉被动3级,,,101705303,1,29,,0,100,999,
1017054,由莉被动4级,,,101705403,1,29,,0,100,999,
1017055,由莉被动5级,,,101705503,1,29,,0,100,999,
1017091,由莉女仆团被动,,1017090,,1,15,0,-1,100,999,
1019051,虫妹被动1级,,,10190510,1,1,101901,0,100,999,
1019052,虫妹被动2级,,,10190520,1,1,101901,0,100,999,
1019053,虫妹被动3级,,,10190530,1,1,101901,0,100,999,
1019054,虫妹被动4级,,,10190540,1,1,101901,0,100,999,
1019055,虫妹被动5级,,,10190550,1,1,101901,0,100,999,
1022051,狗妈被动1级,,10220510,,1,15,0,-1,100,999,
1022052,狗妈被动2级,,10220520,,1,15,0,-1,100,999,
1022053,狗妈被动3级,,10220530,,1,15,0,-1,100,999,
1022054,狗妈被动4级,,10220540,,1,15,0,-1,100,999,
1022055,狗妈被动5级,,10220550,,1,15,0,-1,100,999,
1024051,漆黑圣典第一席被动1级,"102405101,102405102",,,1,3,"102401,102402,102403,102404",10,100,999,
1024052,漆黑圣典第一席被动2级,"102405201,102405202",,,1,3,"102401,102402,102403,102404",10,100,999,
1024053,漆黑圣典第一席被动3级,"102405301,102405302",,,1,3,"102401,102402,102403,102404",10,100,999,
1024054,漆黑圣典第一席被动4级,"102405401,102405402",,,1,3,"102401,102402,102403,102404",10,100,999,
1024055,漆黑圣典第一席被动5级,"102405501,102405502",,,1,3,"102401,102402,102403,102404",10,100,999,
1031051,漆黑圣典第八席被动1级,,10310501,,1,15,0,-1,100,999,
1031052,漆黑圣典第八席被动2级,,10310502,,1,15,0,-1,100,999,
1031053,漆黑圣典第八席被动3级,,10310503,,1,15,0,-1,100,999,
1031054,漆黑圣典第八席被动4级,,10310504,,1,15,0,-1,100,999,
1031055,漆黑圣典第八席被动5级,,10310505,,1,15,0,-1,100,999,
2001051,美姬娜贝被动1级,200105101,,,1,15,0,-1,100,999,
2001052,美姬娜贝被动2级,200105201,,,1,15,0,-1,100,999,
2001053,美姬娜贝被动3级,200105301,,,1,15,0,-1,100,999,
2001054,美姬娜贝被动4级,200105401,,,1,15,0,-1,100,999,
2001055,美姬娜贝被动5级,200105501,,,1,15,0,-1,100,999,
2005051,葛杰夫被动1级,200505101,,,1,15,0,-1,100,999,
2005052,葛杰夫被动2级,200505201,,,1,15,0,-1,100,999,
2005053,葛杰夫被动3级,200505301,,,1,15,0,-1,100,999,
2005054,葛杰夫被动4级,200505401,,,1,15,0,-1,100,999,
2005055,葛杰夫被动5级,200505501,,,1,15,0,-1,100,999,
2006051,布莱恩被动1级,,20060501,,1,3,,0,100,999,
2006052,布莱恩被动2级,,20060502,,1,3,,0,100,999,
2006053,布莱恩被动3级,,20060503,,1,3,,0,100,999,
2006054,布莱恩被动4级,,20060504,,1,3,,0,100,999,
2006055,布莱恩被动5级,,20060505,,1,3,,0,100,999,
2009051,格格兰被动加防御1级,,20090511,,1,7,,6,30,999,
2009052,格格兰被动加防御2级,,20090521,,1,7,,6,30,999,
2009053,格格兰被动加防御3级,,20090531,,1,7,,6,30,999,
2009054,格格兰被动加防御4级,,20090541,,1,7,,6,30,999,
2009055,格格兰被动加防御5级,,20090551,,1,7,,6,30,999,
2011051,狄瓦诺克被动加增伤1级,,,20110501,1,30,"2,3",0,100,999,
2011052,狄瓦诺克被动加增伤2级,,,20110502,1,30,"2,3",0,100,999,
2011053,狄瓦诺克被动加增伤3级,,,20110503,1,30,"2,3",0,100,999,
2011054,狄瓦诺克被动加增伤4级,,,20110504,1,30,"2,3",0,100,999,
2011055,狄瓦诺克被动加增伤5级,,,20110505,1,30,"2,3",0,100,999,
2019051,伊古瓦被动1级,,,20190501,1,26,0,0,100,999,
2019052,伊古瓦被动2级,,,20190502,1,26,0,0,100,999,
2019053,伊古瓦被动3级,,,20190503,1,26,0,0,100,999,
2019054,伊古瓦被动4级,,,20190504,1,26,0,0,100,999,
2019055,伊古瓦被动5级,,,20190505,1,26,0,0,100,999,
2020031,克莱门汀技能二监听,,20200301,,1,1,"202001,202002",0,100,999,
2020032,克莱门汀技能二监听,,20200302,,1,1,"202001,202002",0,100,999,
2020033,克莱门汀技能二监听,,20200303,,1,1,"202001,202002",0,100,999,
2020034,克莱门汀技能二监听,,20200304,,1,1,"202001,202002",0,100,999,
2020035,克莱门汀技能二监听,,20200305,,1,1,"202001,202002",0,100,999,
2020050,克莱门汀被动减吸血,,,20200500,1,29,"1,2,3",0,100,999,
2020051,克莱门汀被动加吸血1级,,,20200501,1,30,"1,2,3",0,100,999,
2020052,克莱门汀被动加吸血2级,,,20200502,1,30,"1,2,3",0,100,999,
2020053,克莱门汀被动加吸血3级,,,20200503,1,30,"1,2,3",0,100,999,
2020054,克莱门汀被动加吸血4级,,,20200504,1,30,"1,2,3",0,100,999,
2020055,克莱门汀被动加吸血5级,,,20200505,1,30,"1,2,3",0,100,999,
2021031,桀洛技能二监听,"20210301,20210300",,,1,17,"20210511,20210512,20210513,20210514,20210515,20210516,20210518",3,100,999,
2021032,桀洛技能二监听,"20210302,20210300",,,1,17,"20210511,20210512,20210513,20210514,20210515,20210516,20210518",3,100,999,
2021033,桀洛技能二监听,"20210303,20210300",,,1,17,"20210511,20210512,20210513,20210514,20210515,20210516,20210518",3,100,999,
2021034,桀洛技能二监听,"20210304,20210300",,,1,17,"20210511,20210512,20210513,20210514,20210515,20210516,20210518",3,100,999,
2021035,桀洛技能二监听,"20210305,20210300",,,1,17,"20210511,20210512,20210513,20210514,20210515,20210516,20210518",3,100,999,
2021051,桀洛被动1级,,20210510,,1,15,0,6,100,999,
