id,hpMax,hpMaxExtra,hpMaxPercent,globalHpMaxPercent,phyAtk,phyAtkExtra,phyAtkPercent,globalPhyAtkPercent,phyDfs,phyDfsExtra,phyDfsPercent,globalPhyDfsPercent,magAtk,magAtkExtra,magAtkPercent,globalMagAtkPercent,magDfs,magDfsExtra,magDfsPercent,globalMagDfsPercent,critAtkRatio,critDfsRatio,critAtkValue,critDfsValue,hitRateValue,evadeValue,normalAtkUp,normalDfsUp,skillAtkUp,skillDfsUp,ultraAtkUp,ultraDfsUp,skillPhyAtkUp,skillPhyDfsUp,skillMagAtkUp,skillMagDfsUp,cureUp,cureDown,healUp
int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
11130011,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130012,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130013,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130021,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130022,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130023,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
11130032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,
11130033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,
11130111,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130112,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130113,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130121,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
11130122,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
11130123,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
11130131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
11130132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,
11130133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,
11130211,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
