id,module,cname,unlockCondition,conditionType,conditionParams,targetCount,isAutoReceive,addPoint,dropId,group
int,int,string,strings,int,ints,int,int,int,int,int
10101,5,通关主线2-6,,4001,"10206,0",1,,,9901001,101
10102,5,拥有1个角色经验建筑,,6004,"3,1",1,,,9901002,101
10103,5,主城升到2级,,6004,"11,2",1,,,9901003,101
10104,5,拥有3个1阶的角色,,3004,"0,1",3,,,9901004,101
10105,5,拥有1个19级角色,,3002,"0,19",1,,,9901005,101
10106,5,通关主线第4章,,4001,"10412,0",1,,,9901006,101
10107,5,通关历练第2章,,4001,"502006,0",1,,,9901007,101
10108,5,通关历练第4章,,4001,"504006,0",1,,,9901008,101
10201,5,拥有2个装备经验建筑,,6004,"4,1",2,,,9902001,102
10202,5,拥有2个5级金币建筑,,6004,"2,5",2,,,9902002,102
10203,5,通关主线5-16,,4001,"10516,0",1,,,9902003,102
10204,5,通关历练第9章,,4001,"509006,0",1,,,9902004,102
10205,5,拥有1个1阶武器屋,,6007,"6,1",1,,,9902005,102
10206,5,加速生产1次衣服,,6002,8,1,,,9902006,102
10207,5,加速生产1次帽子,,6002,7,1,,,9902007,102
10208,5,消耗20个金币加速券1,,2001,1603001,20,,,9902008,102
10301,5,通关主线第7章,,4001,"10722,0",1,,,9903001,103
10302,5,历练累计获得145星,,10001,3,145,,,9903002,103
10303,5,激活3个礼装被动,,8002,"0,10",3,,,9903003,103
10304,5,主城升到9级,,6004,"11,9",1,,,9903004,103
10305,5,收获1个武器,,6009,1,1,,,9903005,103
10306,5,加速生产1次饰品,,6002,9,1,,,9903006,103
10307,5,拥有3个6级金币建筑,,6004,"2,6",3,,,9903007,103
10308,5,拥有1个27级角色,,3002,"0,27",1,,,9903008,103
10401,5,爬塔通关第10层,,9001,1,10,,,9904001,104
10402,5,至尊技能解锁6个,,5002,1,6,,,9904002,104
10403,5,通关历练13章,,4001,"513006,0",1,,,9904003,104
10404,5,武器建筑升到2阶,,6007,"6,2",1,,,9904004,104
10405,5,通关主线第8章,,4001,"10822,0",1,,,9904005,104
10406,5,通关历练第11章,,4001,"511006,0",1,,,9904006,104
10407,5,主城升到12级,,6004,"11,12",1,,,9904007,104
10408,5,装备累计进阶10次,,3107,0,10,,,9904008,104
