id,comment,eventsID,duration,cd,icd,anim,animType,animAngle,animCenter,ultraAnim,isAtkSpd,next,target,cost,preloadCharacter,preloadFx,preloadBullet
int,string,ints,float,float,float,string,int,ints,floats,int,bool,int,int,int,ints,ints,ints
1,序章骨刺,101,1,10,0,,,,,,FALSE,,10101,0,,,
2,"1-1,1-2骨刺",102,1,10,0,,,,,,FALSE,,10101,0,,,
3,天空坠落1级,"301,302,303,304,305,306,307,308",6,50,15,,,,,20,FALSE,,28,0,,,
4,序章强化,110501,2,15,7,,,,,,FALSE,,106,0,,,
5,序章公会荣耀,105,0.1,50,15,,,,,,FALSE,,1,0,,,
1011,骨刺1级(1号至尊1号技能第一级),101101,0.1,20,5,,,,,,FALSE,,10101,0,,,
1012,骨刺2级,101201,0.1,20,5,,,,,,FALSE,,10101,0,,,
1013,骨刺3级,101301,0.1,20,5,,,,,,FALSE,,10101,0,,,
1014,骨刺4级,101401,0.1,20,5,,,,,,FALSE,,10101,0,,,
1015,骨刺5级,101501,0.1,20,5,,,,,,FALSE,,10101,0,,,
1031,阵营被动-通用1级,103101,0,0,0,,,,,,FALSE,,1,0,,,
1032,阵营被动-通用2级,103201,0,0,0,,,,,,FALSE,,1,0,,,
1033,阵营被动-通用3级,103301,0,0,0,,,,,,FALSE,,1,0,,,
1034,阵营被动-通用4级,103401,0,0,0,,,,,,FALSE,,1,0,,,
1035,阵营被动-通用5级,103501,0,0,0,,,,,,FALSE,,1,0,,,
1041,天空坠落1级,"104101,104102,104103,104104,104105,104106,104107,104108",6,50,15,,,,,20,FALSE,,28,0,,,
1042,天空坠落2级,"104201,104202,104203,104204,104205,104206,104207,104208",6,50,15,,,,,20,FALSE,,28,0,,,
1043,天空坠落3级,"104301,104302,104303,104304,104305,104306,104307,104308",6,50,15,,,,,20,FALSE,,28,0,,,
1044,天空坠落4级,"104401,104402,104403,104404,104405,104406,104407,104408",6,50,15,,,,,20,FALSE,,28,0,,,
1045,天空坠落5级,"104501,104502,104503,104504,104505,104506,104507,104508",6,50,15,,,,,20,FALSE,,28,0,,,
1061,召唤火精灵1级,106101,0.1,20,0,,,,,,FALSE,,1,0,,,
1062,召唤火精灵2级,106201,0.1,20,0,,,,,,FALSE,,1,0,,,
1063,召唤火精灵3级,106301,0.1,20,0,,,,,,FALSE,,1,0,,,
1064,召唤火精灵4级,106401,0.1,20,0,,,,,,FALSE,,1,0,,,
1065,召唤火精灵5级,106501,0.1,20,0,,,,,,FALSE,,1,0,,,
1071,阵营被动-攻速1级,107101,0,0,0,,,,,,FALSE,,1,0,,,
1072,阵营被动-攻速2级,107201,0,0,0,,,,,,FALSE,,1,0,,,
1073,阵营被动-攻速3级,107301,0,0,0,,,,,,FALSE,,1,0,,,
1074,阵营被动-攻速4级,107401,0,0,0,,,,,,FALSE,,1,0,,,
1075,阵营被动-攻速5级,107501,0,0,0,,,,,,FALSE,,1,0,,,
1081,公会荣耀1级,108101,0.1,50,15,,,,,,FALSE,,1,0,,,
1082,公会荣耀2级,108201,0.1,50,15,,,,,,FALSE,,1,0,,,
1083,公会荣耀3级,108301,0.1,50,15,,,,,,FALSE,,1,0,,,
