id,bfPriority,bfGroup,bfOverlayMax,bfType,bfSubType,bfOverlayType,effectName,interval,duration,value1,value2,value3,value4
int,int,int,int,int,int,int,string,float,float,string,string,string,string
1,,,,,,,effect_empty,0.1,0.1,,,,
2,,,,,,,effect_lightning,0.5,0.5,,,,
3,,,,,,,effect_burning,0.5,0.5,,,,
301,,,,,,,effect_mag_dmg,0.1,0.1,0.53,,9,
10000,1,10000,1,0,,,effect_resist_all,1,0.1,1,,,
10101,,,,,,,effect_mag_dmg,1,1,28000,,9,
10102,1,1011,1,2,5,,effect_knockfly,1,1,1,,,
10201,,,,,,,effect_mag_dmg,1,1,10,,9,
10202,1,1011,1,2,5,,effect_knockfly,1,1,1,,,
1000111,1,10001,1,4,20,1,effect_buff,8,8,51,1500,,
1000121,2,10001,1,4,20,1,effect_buff,8,8,51,2000,,
1000131,3,10001,1,4,20,1,effect_buff,8,8,51,2000,,
1000141,4,10001,1,4,20,1,effect_buff,8,8,51,2500,,
1000151,5,10001,1,4,20,1,effect_buff,8,8,51,3000,,
1000211,1,10002,3,1,5,3,effect_buff,999,999,21,400,24,400
1000221,2,10002,3,1,5,3,effect_buff,999,999,21,400,24,400
1000231,3,10002,3,1,5,3,effect_buff,999,999,21,500,24,600
1000241,4,10002,3,1,5,3,effect_buff,999,999,21,500,24,600
1000251,5,10002,3,1,5,3,effect_buff,999,999,21,600,24,800
1000311,,,,,,,effect_wi_10003,0.5,999,1000316,0.5,,
1000312,,,,,,,effect_wi_10003,0.5,999,1000317,0.5,,
1000313,,,,,,,effect_wi_10003,0.5,999,1000318,0.5,,
1000314,,,,,,,effect_wi_10003,0.5,999,1000319,0.5,,
1000315,,,,,,,effect_wi_10003,0.5,999,1000320,0.5,,
1000316,,,,,,,effect_shield_hp,999,999,0.14,,,
1000317,,,,,,,effect_shield_hp,999,999,0.16,,,
1000318,,,,,,,effect_shield_hp,999,999,0.18,,,
1000319,,,,,,,effect_shield_hp,999,999,0.22,,,
1000320,,,,,,,effect_shield_hp,999,999,0.25,,,
1000411,,,,3,24,,effect_buff,999,999,56,1000,,
1000421,,,,3,24,,effect_buff,999,999,56,1200,,
1000431,,,,3,24,,effect_buff,999,999,56,1400,,
1000441,,,,3,24,,effect_buff,999,999,56,1600,,
1000451,,,,3,24,,effect_buff,999,999,56,1800,,
1000511,1,10005,1,0,10005,1,effect_wi_1000511,999,999,1,63,1000,
1000521,1,10005,1,0,10005,1,effect_wi_1000511,999,999,1,63,1200,
1000531,1,10005,1,0,10005,1,effect_wi_1000511,999,999,1,63,1400,
1000541,1,10005,1,0,10005,1,effect_wi_1000511,999,999,1,63,1600,
1000551,1,10005,1,0,10005,1,effect_wi_1000511,999,999,1,63,2000,
1000561,,,,,,,effect_wi_1000561,0.1,0.1,,,,
1000611,,,,,,,effect_phy_dmg,0.1,0.1,0.55,,11,
1000621,,,,,,,effect_phy_dmg,0.1,0.1,0.65,,11,
1000631,,,,,,,effect_phy_dmg,0.1,0.1,0.65,,11,
1000641,,,,,,,effect_phy_dmg,0.1,0.1,0.75,,11,
1000651,,,,,,,effect_phy_dmg,0.1,0.1,0.75,,11,
1000711,,,,,,,effect_wi_1000711,1,999,1000710,1000712,,
1000712,1,10007,3,0,10007,1,effect_buff,999,999,2,500,,
1000721,,,,,,,effect_wi_1000711,1,999,1000710,1000722,,
1000722,2,10007,3,0,10007,1,effect_buff,999,999,2,600,,
1000731,,,,,,,effect_wi_1000711,1,999,1000710,1000732,,
1000732,3,10007,3,0,10007,1,effect_buff,999,999,2,800,,
1000741,,,,,,,effect_wi_1000711,1,999,1000710,1000742,,
1000742,4,10007,3,0,10007,1,effect_buff,999,999,2,1000,,
1000751,,,,,,,effect_wi_1000711,1,999,1000711,1000752,,
1000752,5,10007,3,0,10007,1,effect_buff,999,999,2,1000,,
1000811,,,,,,,effect_wi_1000811,0.1,0.1,1000812,,,
