id,delay,target1,effects1,target2,effects2,target3,effects3
int,float,int,ints,int,ints,int,ints
101,0,10101,"10101,10102",,,,
102,0,10101,"10201,10202",,,,
105,0,29,1085011,,,,
301,0.6,28,301,,,,
302,0.9,28,301,,,,
303,1.2,28,301,,,,
304,1.5,28,301,,,,
305,1.7,28,301,,,,
306,1.9,28,301,,,,
307,2.1,28,301,,,,
308,2.2,28,301,,,,
100231,0,1002310,1002311,1,1002312,,
100232,0,1002310,1002321,1,1002322,,
100233,0,1002310,1002331,1,1002332,,
100234,0,1002310,1002341,1,1002342,,
100235,0,1002310,1002351,1,1002352,,
101101,0,10101,1011011,,,,
101201,0,10101,1012011,,,,
101301,0,10101,1013011,,,,
101401,0,10101,1014011,,,,
101501,0,10101,1015011,,,,
103101,0,1,"1031011,1031012",,,,
103201,0,1,"1032011,1032012",,,,
103301,0,1,"1033011,1033012",,,,
103401,0,1,"1034011,1034012",,,,
103501,0,1,"1035011,1035012",,,,
104101,0.6,28,1041011,,,,
104102,0.9,28,1041011,,,,
104103,1.2,28,1041011,,,,
104104,1.5,28,1041011,,,,
104105,1.7,28,1041011,,,,
104106,1.9,28,1041011,,,,
104107,2.1,28,1041011,,,,
104108,2.2,28,1041012,,,,
104201,0.6,28,1042011,,,,
104202,0.9,28,1042011,,,,
104203,1.2,28,1042011,,,,
104204,1.5,28,1042011,,,,
104205,1.7,28,1042011,,,,
104206,1.9,28,1042011,,,,
104207,2.1,28,1042011,,,,
104208,2.2,28,1042012,,,,
104301,0.6,28,1043011,,,,
104302,0.9,28,1043011,,,,
104303,1.2,28,1043011,,,,
104304,1.5,28,1043011,,,,
104305,1.7,28,1043011,,,,
104306,1.9,28,1043011,,,,
104307,2.1,28,1043011,,,,
104308,2.2,28,1043012,,,,
104401,0.6,28,1044011,,,,
104402,0.9,28,1044011,,,,
104403,1.2,28,1044011,,,,
104404,1.5,28,1044011,,,,
104405,1.7,28,1044011,,,,
104406,1.9,28,1044011,,,,
104407,2.1,28,1044011,,,,
104408,2.2,28,1044012,,,,
104501,0.6,28,1045011,,,,
104502,0.9,28,1045011,,,,
104503,1.2,28,1045011,,,,
104504,1.5,28,1045011,,,,
104505,1.7,28,1045011,,,,
104506,1.9,28,1045011,,,,
104507,2.1,28,1045011,,,,
104508,2.2,28,1045012,,,,
