id,rewardsIdAndCnt,unlockCondition,probability,times,currencies,realPrice
int,strings,strings,int,int,ints,ints
1,501002:10,1:1,1,1,11,1000
2,501003:10,1:5,5,2,2,100
3,501004:10,2:10207,10,3,3,50
4,501005:10,1:1,1,1,12,1000
5,501006:10,2:10207,1,1,12,1000
6,501007:10,1:1,1,2,11,1000
7,501008:10,2:10207,2,3,11,1000
8,1122001:1,1:1,1,10,11,1000
9,1174001:1,1:1,1,10,11,1000
10,10001:1,1:1,1,10,11,1000
11,3020101:1,1:1,1,10,11,1000
12,3010101:1,1:1,1,10,11,1000
13,1600211:1,1:1,1,10,11,1000
14,800001:1,1:1,1,10,11,1000
8001,8001:1,1:1,1,-1,2,180
8002,8002:1,1:1,1,-1,2,180
8003,7001:1,1:1,1,-1,2,180
8004,7002:1,1:1,1,-1,2,180
1601001,1601001:1,1:1,10000,-1,2,5
1601002,1601002:1,1:1,10000,-1,2,10
1601003,1601003:1,1:1,10000,-1,2,30
1601004,1601004:1,1:1,10000,-1,2,80
1601005,1601005:1,1:1,10000,-1,2,220
1601006,1601006:1,1:1,10000,-1,2,570
1616001,1616001:1,1:1,10000,-1,2,10
1616002,1616002:1,1:1,10000,-1,2,20
1616003,1616003:1,1:1,10000,-1,2,25
1616004,1616004:1,1:1,10000,-1,2,30
1616005,1616005:1,1:1,10000,-1,2,45
1616006,1616006:1,1:1,10000,-1,2,60
1611001,1611001:1,1:1,10000,-1,2,16
1611002,1611002:1,1:1,10000,-1,2,32
1611003,1611003:1,1:1,10000,-1,2,60
1611004,1611004:1,1:1,10000,-1,2,120
1611005,1611005:1,1:1,10000,-1,2,210
1611006,1611006:1,1:1,10000,-1,2,300
1612001,1612001:1,1:1,10000,-1,2,16
1612002,1612002:1,1:1,10000,-1,2,32
1612003,1612003:1,1:1,10000,-1,2,60
1612004,1612004:1,1:1,10000,-1,2,120
1612005,1612005:1,1:1,10000,-1,2,210
1612006,1612006:1,1:1,10000,-1,2,300
1613001,1613001:1,1:1,10000,-1,2,16
1613002,1613002:1,1:1,10000,-1,2,32
1613003,1613003:1,1:1,10000,-1,2,60
1613004,1613004:1,1:1,10000,-1,2,120
1613005,1613005:1,1:1,10000,-1,2,210
1613006,1613006:1,1:1,10000,-1,2,300
1614001,1614001:1,1:1,10000,-1,2,16
1614002,1614002:1,1:1,10000,-1,2,32
1614003,1614003:1,1:1,10000,-1,2,60
1614004,1614004:1,1:1,10000,-1,2,120
1614005,1614005:1,1:1,10000,-1,2,210
1614006,1614006:1,1:1,10000,-1,2,300
10011,121001:1,1:1,2,10,11,100
10012,121001:10,1:1,1,1,11,500
10013,121002:1,1:1,3,10,11,100
10014,121002:10,1:1,1,1,11,500
10015,121003:1,1:1,1,10,11,100
10016,121003:10,1:1,1,1,11,700
10017,121004:1,1:20,1,10,11,100
10018,121004:10,1:20,1,1,11,100
20011,3070409:1,1:1,1,10,3,100
20012,1600244:1,1:1,1,10,3,100
20013,3070409:10,1:1,1,10,3,100
20014,1600244:10,1:1,1,10,3,100
40011,504002:1,1:1,1,-1,2,100
40012,504003:1,1:1,1,-1,2,100
40013,504004:1,1:1,1,-1,2,100
50011,1174001:1,1:1,1,10,2,1000
50012,10001:1,1:1,1,10,2,1000
601001,1601002:1,1:1,1,3,2,15
601002,1601003:1,1:1,1,3,2,28
601003,1601004:1,1:1,1,3,2,55
601004,1603002:1,1:1,1,3,2,10
601005,1603003:1,1:1,1,3,2,20
601006,1603004:1,1:1,1,3,2,35
601007,1604002:1,1:1,1,3,2,10
601008,1604003:1,1:1,1,3,2,20
601009,1604004:1,1:1,1,3,2,35
601010,1605002:1,1:1,1,3,2,10
601011,1605003:1,1:1,1,3,2,20
601012,1605004:1,1:1,1,3,2,35
601013,1606002:1,1:1,1,3,2,10
601014,1606003:1,1:1,1,3,2,20
601015,1606004:1,1:1,1,3,2,35
601016,1615002:1,1:1,1,3,2,45
601017,1615003:1,1:1,1,3,2,90
601018,1615004:1,1:1,1,3,2,160
70101,1616101:1,1:1,1,1,171999,2
70102,1600101:200,1:1,1,1,171999,2
70103,123101:2,1:1,1,5,171101,1
70104,123102:2,1:1,1,5,171101,1
70105,123103:2,1:1,1,5,171101,1
70106,123104:2,1:1,1,5,171103,1
70107,123105:2,1:1,1,5,171103,1
70108,123106:2,1:1,1,5,171103,1
70109,1615001:1,1:1,1,4,11,10000
70110,1605004:1,1:1,1,1,11,20000
70111,1633001:1,1:1,1,1,171101,10
70112,8002:1,1:1,1,2,171999,10
70201,1616101:1,1:1,1,2,171999,2
70202,1600101:200,1:1,1,2,171999,4
70203,1632001:1,1:1,1,1,171103,4
70204,20002:1,1:1,1,1,171107,4
70205,1601003:2,1:1,1,5,171998,1
70206,151003:5,1:1,1,1,171998,4
70207,123201:5,1:1,1,1,171107,4
70208,123301:3,1:1,1,2,171012,1
70209,123201:4,1:1,1,2,171109,2
70210,123301:4,1:1,1,2,171012,2
70211,123202:4,1:1,1,2,171105,3
70212,123302:3,1:1,1,2,171012,3
1603001,1603001:1,1:1,1,-1,2,6
1603002,1603002:1,1:1,1,-1,2,18
1603003,1603003:1,1:1,1,-1,2,60
1603004,1603004:1,1:1,1,-1,2,110
1603005,1603005:1,1:1,1,-1,2,170
1603006,1603006:1,1:1,1,-1,2,320
1604001,1604001:1,1:1,1,-1,2,6
1604002,1604002:1,1:1,1,-1,2,12
1604003,1604003:1,1:1,1,-1,2,32
1604004,1604004:1,1:1,1,-1,2,60
1604005,1604005:1,1:1,1,-1,2,100
1604006,1604006:1,1:1,1,-1,2,188
1605001,1605001:1,1:1,1,-1,2,6
1605002,1605002:1,1:1,1,-1,2,12
1605003,1605003:1,1:1,1,-1,2,32
1605004,1605004:1,1:1,1,-1,2,60
1605005,1605005:1,1:1,1,-1,2,100
1605006,1605006:1,1:1,1,-1,2,188
1606001,1606001:1,1:1,1,-1,2,6
1606002,1606002:1,1:1,1,-1,2,12
1606003,1606003:1,1:1,1,-1,2,45
1606004,1606004:1,1:1,1,-1,2,85
1606005,1606005:1,1:1,1,-1,2,145
1606006,1606006:1,1:1,1,-1,2,250
1615001,1615001:1,1:1,1,-1,2,8
