id,unlockCondition,cell0,unlockCondition0,cell1,unlockCondition1,cell2,unlockCondition2,cell3,unlockCondition3,cell4,unlockCondition4,cell5,unlockCondition5,cell6,unlockCondition6,cell7,unlockCondition7,cell8,unlockCondition8,cell9,unlockCondition9,cell10,unlockCondition10,cell11,unlockCondition11,cell12,unlockCondition12,cell13,unlockCondition13,cell14,unlockCondition14,cell15,unlockCondition15,cell16,unlockCondition16,cell17,unlockCondition17,cell18,unlockCondition18,cell19,unlockCondition19
int,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings,ints,strings
1001,1:1,"10011,10012",,"10011,10012",,"10011,10012",,"10013,10014",1:5,"10013,10014",1:5,"10013,10014",1:5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,1:10,"10013,10014",,"10013,10014",,"10013,10014",,"10015,10016",,"10015,10016",,"10015,10016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,1:15,"10015,10016,10017,10018",,"10015,10016,10017,10018",,"10015,10016,10017,10018",,"10015,10016,10017,10018",,"10015,10016,10017,10018",,"10015,10016,10017,10018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1:1,20011,,20011,,20012,,20012,,20013,,20014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,1:1,1611001,,1611002,,1611003,,1611004,,1611005,,1611006,,1611001,,1611002,,1611003,,1611004,,1611005,,1611006,,1611001,,1611002,,1611003,,1611004,,1611005,,1611006,,1611005,,1611006,
3002,2:10207,10015,,10015,,10015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,2:10309,10017,,10017,,10017,,10011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,1:1,40011,,40012,,40013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,1:1,50011,,50012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7010,1:1,70101,,70102,,70103,4001:51:40,70104,4001:51:40,70105,4001:51:40,70106,4001:51:40,70107,4001:51:40,70108,4001:51:40,70109,4001:51:60,70110,4001:51:60,70111,4001:51:60,70112,4001:51:150,,,,,,,,,,,,,,,,
7020,1:1,70201,,70202,,70203,4001:52:60,70204,4001:52:60,70205,4001:52:80,70206,4001:52:80,70207,4001:52:100,70208,4001:52:100,70209,4001:52:140,70210,4001:52:140,70211,4001:52:200,70212,4001:52:200,,,,,,,,,,,,,,,,
7030,1:1,70201,,70202,,70203,,70204,,70205,,70206,,70207,14:2:100,70208,14:2:200,70209,14:2:300,70210,14:2:400,70211,14:2:500,70212,14:2:600,,,,,,,,,,,,,,,,
7040,1:1,70201,,70202,,70203,,70204,,70205,,70206,,70207,14:2:100,70208,14:2:200,70209,14:2:300,70210,14:2:400,70211,14:2:500,70212,14:2:600,,,,,,,,,,,,,,,,
7050,1:1,70201,,70202,,70203,,70204,,70205,,70206,,70207,14:2:100,70208,14:2:200,70209,14:2:300,70210,14:2:400,70211,14:2:500,70212,14:2:600,,,,,,,,,,,,,,,,
8000,,8001,2:10202,8002,2:10202,8003,2:10516,8004,2:10516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,1:1,601001,,601002,,601003,,601004,,601005,,601006,,601007,,601008,,601009,,601010,,601011,,601012,,601013,,601014,,601015,,601016,,601017,,601018,,,,,
16001,1:1,1603001,,1603002,,1603003,15:11:5,1603004,15:11:10,1603005,15:11:15,1603006,15:11:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16002,1:1,1604001,,1604002,,1604003,15:11:5,1604004,15:11:10,1604005,15:11:15,1604006,15:11:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16003,2:10204,1615001,,1615002,,1615003,15:11:5,1615004,15:11:10,1615005,15:11:15,1615006,15:11:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16004,2:10412,1605001,,1605002,,1605003,15:11:5,1605004,15:11:10,1605005,15:11:15,1605006,15:11:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16005,2:10412,1610001,,1610002,,1610003,15:11:5,1610004,15:11:10,1610005,15:11:15,1610006,15:11:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16006,2:10516,1606001,,1606002,,1606003,15:11:5,1606004,15:11:10,1606005,15:11:15,1606006,15:11:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,1:1,600101,1:20,600102,1:30,600103,1:20,600104,1:1,600105,1:1,600106,1:1,600107,1:1,600108,1:1,600109,1:1,600110,1:1,600111,1:1,600112,1:20,600113,1:1,600114,1:20,,,,,,,,,,,,
