id,module,cname,unlockCondition,conditionType,conditionParams,targetCount,isAutoReceive,addPoint,dropId,group
int,int,string,strings,int,ints,int,int,int,int,int
100001,1,cfg_task_data_pop_100001,,2001,4,100,,20,9100001,
100002,1,cfg_task_data_pop_100002,2:10309,4011,4,3,,15,9100002,
100003,1,cfg_task_data_pop_100003,,6001,,1,,10,9100003,
100004,1,cfg_task_data_pop_100004,2:10309,6002,0,1,,15,9100004,
100005,1,cfg_task_data_pop_100005,,7001,0,1,,15,9100005,
100006,1,cfg_task_data_pop_100006,,3009,0,1,,10,9100006,
100007,1,cfg_task_data_pop_100007,2:10412,3105,0,1,,10,9100007,
100008,1,cfg_task_data_pop_100008,2:10516,8001,0,1,,10,9100008,
100009,1,cfg_task_data_pop_100009,2:10617,4012,5,1,,10,9100009,
100010,1,cfg_task_data_pop_100010,,1002,,1,,15,9100010,
200001,2,cfg_task_data_pop_100001,,2001,4,300,,30,10086,
200002,2,cfg_task_data_pop_100002,,4011,4,10,,30,10086,
200003,2,cfg_task_data_pop_100003,,6001,,3,,30,10086,
200004,2,cfg_task_data_pop_100004,,6003,0,200,,30,10086,
200005,2,cfg_task_data_pop_100005,,7001,0,10,,30,10086,
31001001,3,升到10级,1:1,1001,,10,,10,,
31001002,3,升到30级,1:10,1001,,30,,10,,
31001003,3,升到60级,1:30,1001,,60,,10,,
31002001,3,累计登录7天,,,,7,,10,,
31002002,3,累计登录15天,,,,15,,10,,
31002003,3,累计登录30天,,,,30,,10,,
31002004,3,累计登录100天,,,,100,,10,,
31002005,3,累计登录200天,,,,200,,,,
31002006,3,累计登录365天,,,,365,,,,
31002007,3,累计登录500天,,,,500,,,,
31003001,3,成就点数突破500,,,,500,,,,
31003002,3,成就点数突破1000,,,,1000,,,,
31003003,3,成就点数突破2000,,,,2000,,,,
31004001,3,实名认证,,,,1,,,,
32001001,3,完成主线章节普通关卡序章,,,,1,,,,
32001002,3,完成主线章节普通关卡第1章,,,,1,,,,
32001003,3,完成主线章节普通关卡第2章,,,,1,,,,
32001004,3,完成主线章节普通关卡第3章,,,,1,,,,
32001005,3,完成主线章节普通关卡第4章,,,,1,,,,
32001006,3,完成主线章节普通关卡第5章,,,,1,,,,
32001007,3,完成主线章节普通关卡第6章,,,,1,,,,
32001008,3,完成主线章节普通关卡第7章,,,,1,,,,
32002001,3,完成主线章节精英关卡第1章,,,,1,,,,
32002002,3,完成主线章节精英关卡第2章,,,,1,,,,
32002003,3,完成主线章节精英关卡第3章,,,,1,,,,
32002004,3,完成主线章节精英关卡第4章,,,,1,,,,
32002005,3,完成主线章节精英关卡第5章,,,,1,,,,
32002006,3,完成主线章节精英关卡第6章,,,,1,,,,
32002007,3,完成主线章节精英关卡第7章,,,,1,,,,
32003001,3,爬塔通过第10层,,,10,1,,,,
32003002,3,爬塔通过第20层,,,20,1,,,,
32003003,3,爬塔通过第30层,,,30,1,,,,
32003004,3,爬塔通过第40层,,,40,1,,,,
32003005,3,爬塔通过第50层,,,50,1,,,,
32004001,3,在主线探索中遭遇5次野怪,,,,5,,,,
32004002,3,在主线探索中遭遇10次野怪,,,,10,,,,
32005001,3,通过混沌之门5次,,,,5,,,,
32005002,3,通过混沌之门10次,,,,10,,,,
32006001,3,在主线探索中采集物品10次,,,,10,,,,
32006002,3,在主线探索中采集物品20次,,,,20,,,,
32006003,3,在主线探索中采集物品30次,,,,30,,,,
32006004,3,在主线探索中采集物品50次,,,,50,,,,
32007001,3,在主线探索中跟NPC互动5次,,,,5,,,,
32007002,3,在主线探索中跟NPC互动10次,,,,10,,,,
32007003,3,在主线探索中跟NPC互动20次,,,,20,,,,
32008001,3,战斗胜利10场,,,,10,,,,
32008002,3,战斗胜利50场,,,,50,,,,
32008003,3,战斗胜利200场,,,,200,,,,
32008004,3,战斗胜利500场,,,,500,,,,
32008005,3,战斗胜利1000场,,,,1000,,,,
32009001,3,战斗失败10场,,,,10,,,,
32009002,3,战斗失败50场,,,,50,,,,
32009003,3,战斗失败200场,,,,200,,,,
32009004,3,战斗失败500场,,,,500,,,,
32009005,3,战斗失败1000场,,,,1000,,,,
32010001,3,骨王至尊出场5次,,,2,5,,,,
32010002,3,骨王至尊出场50次,,,2,50,,,,
32010003,3,骨王至尊出场100次,,,2,100,,,,
33001001,3,拥有1个邪恶阵营的SSR角色,,,1,1,,,,
33001002,3,拥有5个邪恶阵营的SSR角色,,,1,5,,,,
33001003,3,拥有10个邪恶阵营的SSR角色,,,1,10,,,,
33001004,3,拥有15个邪恶阵营的SSR角色,,,1,15,,,,
33001005,3,拥有1个中立阵营的SSR角色,,,1,1,,,,
33001006,3,拥有5个中立阵营的SSR角色,,,1,5,,,,
33001007,3,拥有10个中立阵营的SSR角色,,,1,10,,,,
33001008,3,拥有15个中立阵营的SSR角色,,,1,15,,,,
33001009,3,拥有1个极恶阵营的SSR角色,,,1,1,,,,
33001010,3,拥有5个极恶阵营的SSR角色,,,1,5,,,,
33001011,3,拥有10个极恶阵营的SSR角色,,,1,10,,,,
33001012,3,拥有15个极恶阵营的SSR角色,,,1,15,,,,
