id,lv_exp,char_lv,max_stamina,stamina_recover,max_ap,explore_ap,hero_max_level,equip_max_level,world_item_level_up,battle_adaption_level
int,int,int,int,int,int,int,int,int,int,int
1,0,2,120,0,180,60,5,10,10,6
2,12,3,120,6,180,60,5,10,10,6
3,36,4,120,6,180,60,5,10,10,6
4,60,5,120,6,180,60,5,10,10,6
5,84,6,120,12,180,60,5,10,10,6
6,108,7,120,12,180,60,5,10,10,6
7,150,8,120,12,180,60,5,10,10,6
8,198,9,120,24,180,60,10,10,10,6
9,264,10,120,24,180,60,10,10,10,6
10,330,11,120,24,180,60,10,10,15,6
11,414,12,120,30,180,60,10,10,15,6
12,546,13,120,30,180,60,10,15,15,6
13,696,14,120,48,180,60,15,15,15,6
14,876,15,120,48,180,60,15,15,15,6
15,1086,16,120,48,180,60,15,15,15,6
16,1326,17,120,48,180,60,15,15,15,6
17,1596,18,120,60,180,60,15,20,15,15
18,1896,19,120,60,180,60,20,20,15,15
19,2226,20,120,60,180,60,20,20,15,20
20,2586,21,120,60,210,70,20,20,20,20
21,3006,22,120,60,210,70,20,20,20,20
22,3486,23,120,60,210,70,20,25,20,20
23,4026,24,120,60,210,70,25,25,20,20
24,4596,25,120,60,210,70,25,25,20,25
25,5256,26,120,60,210,70,25,25,20,25
26,6006,27,120,60,210,70,25,25,25,25
27,6816,28,120,60,210,70,25,30,25,25
28,7686,29,120,60,210,70,30,30,25,25
29,8646,30,120,60,210,70,30,30,25,30
30,9726,31,120,60,240,80,30,30,25,30
31,10926,32,120,60,240,80,30,30,30,30
32,12276,33,120,60,240,80,30,35,30,30
33,13776,34,120,60,240,80,35,35,30,30
34,15756,35,120,90,240,80,35,35,30,35
35,17856,36,120,90,240,80,35,35,30,35
36,20256,37,120,90,240,80,35,35,35,35
37,22818,38,120,90,240,80,35,40,35,35
38,25518,39,120,90,240,80,40,40,35,35
39,28368,40,120,90,240,80,40,40,35,40
40,31368,41,150,90,240,80,40,40,35,40
41,34668,42,150,120,240,80,40,40,35,40
42,38268,43,150,120,240,80,40,45,35,40
43,42168,44,150,120,240,80,45,45,35,40
44,46368,45,150,120,240,80,45,45,35,45
45,50718,46,150,120,240,80,45,45,35,45
46,55218,47,150,120,240,80,45,45,35,45
47,60018,48,150,120,240,80,45,50,35,45
48,65118,49,150,120,240,80,50,50,35,45
49,70818,50,150,120,240,80,50,50,35,50
50,76818,51,150,120,240,80,50,50,35,50
51,83028,52,150,120,240,80,50,50,35,50
52,89430,53,150,120,240,80,50,55,35,50
53,96234,54,150,120,240,80,55,55,35,50
54,103434,55,150,120,240,80,55,55,35,55
55,111534,56,150,120,240,80,55,55,35,55
56,120834,57,150,120,240,80,55,55,35,55
57,131334,58,150,120,240,80,55,60,35,55
58,143034,59,150,120,240,80,60,60,35,55
59,155634,60,150,120,240,80,60,60,35,60
60,168834,60,150,120,240,80,60,60,35,60
