id,startMapType,startMapId,unlockConditions,unlockUseConditions,destroy,passLevelId,destroyShow,completeLimit
int,int,int,strings,strings,int,int,bool,int
1,2,1,2:10103,,1,0,0,1
2,2,2,2:10206,,1,0,0,1
3,2,3,2:10309,2:501006,1,0,0,1
4,2,4,2:10412,,1,0,0,1
5,2,5,2:10517,1:19,1,0,0,1
6,2,6,2:10617,,1,0,0,1
7,2,7,2:10722,,1,0,0,1
8,2,8,2:10822,,1,0,0,1
203031,2,3,2:10303,,2,203031,1,0
203032,2,203031,,,1,1,0,0
204091,2,4,2:10409,2:10409,2,204091,1,0
204092,2,204091,,,1,1,0,0
205091,2,5,2:10509,2:10509,2,205091,1,0
205092,2,205091,,,1,1,0,0
206121,2,6,2:10612,2:10612,2,206121,1,0
206122,2,206121,,,1,1,0,0
207101,2,7,2:10710,2:10710,2,207101,1,0
207102,2,207101,,,1,1,0,0
207211,2,7,2:10721,2:10721,2,207211,1,0
207212,2,207211,,,1,1,0,0
208191,2,8,2:10819,2:10819,2,208191,1,0
208192,2,208191,,,1,1,0,0
209101,2,9,2:10910,2:10910,2,209101,1,0
209102,2,209101,,,1,1,0,0
209041,2,9,,,1,0,0,0
209042,2,9,,,1,0,0,0
209121,2,9,,,1,0,0,0
209122,2,9,,,1,0,0,0
209181,2,9,2:10918,2:10918,2,209181,1,0
209182,2,209181,,,1,1,0,0
