id,startTime,playTime,endTime,pauseTime,resumeTime
int,float,float,float,float,float
20,0,4.9,0,,1.5
1002,0.8,3.5,0,,0
1003,0,0,2,,0
1004,0,0,2,,0
1005,0.7,3.125,1.5,0.6,2
1006,3.1,3.5,1.3,0.2,0.4
1007,0,3.8,3.2,0.9,0
1008,0,0,1,,0
1009,0.4,2.458,1.8,,1.2
1011,0,0,4.8,,0
1012,0.2,3.1,2,0.5,0
1013,0.7,3.6,1.4,1.2,0
1014,0,0,2.8,,0
1017,0,0,2.5,,0
1018,0,0,3.9,,0
1019,0,0,5.3,,0
1021,0,0,4.2,,0
1022,0,0,4,,0
1024,0,0,1.5,,0
1031,0,0,3.1,,0
2001,0,0,2.1,,0
2005,0,0,2.4,,0
2006,0.8,2.9,1,0.2,0
2007,0,0,3,,0
2009,0,0,2.4,,0
2011,0,0,1.9,,0
2014,0,0,2.8,,0
2015,0,0,3.6,,0
2019,0,0,1,,0
2020,1.8,3,1.1,0.3,0
2021,0,0,3.5,,0
2041,0,0,1.2,,0
2997,0,0,2.6,,0
2998,0,0,1.8,,0
3002,0,0,1.35,,0
3003,0,0,1.14,,0
3004,0,0,2.6,,0
3005,0,0,1.5,,0
3006,0,0,1.3,,0
3007,0,0,2,,0
3008,0,0,2.2,,0
3010,0,0,0.8,,0
3011,0,0,2.8,,0
3013,0,0,1.9,,0
4001,0,0,1.6,,0
4002,0,0,0.9,,0
4003,0,0,1.4,,0
4004,0,0,1.05,,0
4005,0,0,1.4,,0
30001,0.9,4.5,1,,0
30002,0,3,1.8,,0
30003,3,4.4,1,,0
30004,0,3.6,1,,0
30005,1.2,4,0,,1
30006,0,3,3,,0
30007,1.3,5,1.5,,0
30008,0.3,0,2.1,,0
30009,0.7,4.2,1,,0.5
30010,0,0,1.4,,0
30011,0,0,3,,0
30012,0,6.8,1,,0
30013,1.5,5,0.6,,0
30014,0,0,1,,0
30015,0,0,2.6,,0
30018,0,0,2.4,,0
30021,0,0,1.6,,0
30028,0,0,2.17,,0
30029,0,0,2.4,,0
30046,0,4,5.8,,0
40001,0,3,3,,0
9999,0.7,4.9,0.7,,0.2
