id,commit,address,reward1
int,string,string,strings
1,序章开场,Assets/Config/ScenarioDatas/Chapter0/VN0_1_2.asset,
2,序章结束,Assets/Config/ScenarioDatas/Chapter0/VN0_1_3.asset,
3,1-1开场,Assets/Config/ScenarioDatas/Chapter1/VN1_1_1.asset,
4,1-1结束,Assets/Config/ScenarioDatas/Chapter1/VN1_1_3.asset,
5,1-2开场,Assets/Config/ScenarioDatas/Chapter1/VN1_2_1.asset,
6,1-2结束,Assets/Config/ScenarioDatas/Chapter1/VN1_2_2.asset,
7,1-3开场,Assets/Config/ScenarioDatas/Chapter1/VN1_3_1.asset,
8,1-3结束,Assets/Config/ScenarioDatas/Chapter1/VN1_3_2.asset,
9,1章彩蛋,Assets/Config/ScenarioDatas/Chapter1/VN1_3_3.asset,
10,2-1开场,Assets/Config/ScenarioDatas/Chapter2/VN2_1_1.asset,
11,2-1结束,Assets/Config/ScenarioDatas/Chapter2/VN2_1_2.asset,
12,2-2,Assets/Config/ScenarioDatas/Chapter2/VN2_2_1.asset,
13,2-3,Assets/Config/ScenarioDatas/Chapter2/VN2_3_1.asset,
14,2-4,Assets/Config/ScenarioDatas/Chapter2/VN2_4_1.asset,
15,2-5,Assets/Config/ScenarioDatas/Chapter2/VN2_5_1.asset,
16,2-6开场,Assets/Config/ScenarioDatas/Chapter2/VN2_6_1.asset,
17,2-6结束,Assets/Config/ScenarioDatas/Chapter2/VN2_6_2.asset,
18,2章彩蛋,Assets/Config/ScenarioDatas/Chapter2/VN2_6_3.asset,
19,3-1开场,Assets/Config/ScenarioDatas/Chapter3/VN3_1_1.asset,
20,3-1结束,Assets/Config/ScenarioDatas/Chapter3/VN3_1_2.asset,
21,3-2,Assets/Config/ScenarioDatas/Chapter3/VN3_2_1.asset,
22,3-3,Assets/Config/ScenarioDatas/Chapter3/VN3_3_1.asset,
23,3-6,Assets/Config/ScenarioDatas/Chapter3/VN3_6_1.asset,
24,3-9开场,Assets/Config/ScenarioDatas/Chapter3/VN3_9_1.asset,
25,3-9结束,Assets/Config/ScenarioDatas/Chapter3/VN3_9_2.asset,
26,3-8开场,Assets/Config/ScenarioDatas/Chapter3/VN3_8_1.asset,
27,3-8结束,Assets/Config/ScenarioDatas/Chapter3/VN3_8_2.asset,
28,3章彩蛋,Assets/Config/ScenarioDatas/Chapter3/VN3_9_3.asset,
29,4-1,Assets/Config/ScenarioDatas/Chapter4/VN4_1_1.asset,
30,4-3,Assets/Config/ScenarioDatas/Chapter4/VN4_3_1.asset,
31,4-6开场,Assets/Config/ScenarioDatas/Chapter4/VN4_6_1.asset,
32,4-6结束,Assets/Config/ScenarioDatas/Chapter4/VN4_6_2.asset,
33,4-7,Assets/Config/ScenarioDatas/Chapter4/VN4_7_1.asset,
34,4-9,Assets/Config/ScenarioDatas/Chapter4/VN4_9_1.asset,
35,4-12开场,Assets/Config/ScenarioDatas/Chapter4/VN4_12_1.asset,
36,4-12结束,Assets/Config/ScenarioDatas/Chapter4/VN4_12_2.asset,
37,4章彩蛋,Assets/Config/ScenarioDatas/Chapter4/VN4_12_3.asset,
38,5-1,Assets/Config/ScenarioDatas/Chapter5/VN5_1_1.asset,
39,5-4开场,Assets/Config/ScenarioDatas/Chapter5/VN5_4_1.asset,
40,5-4结束,Assets/Config/ScenarioDatas/Chapter5/VN5_4_2.asset,
41,5-7,Assets/Config/ScenarioDatas/Chapter5/VN5_7_1.asset,
42,5-10,Assets/Config/ScenarioDatas/Chapter5/VN5_10_1.asset,
43,5-12,Assets/Config/ScenarioDatas/Chapter5/VN5_12_1.asset,
44,5-14,Assets/Config/ScenarioDatas/Chapter5/VN5_14_1.asset,
45,5-16开场,Assets/Config/ScenarioDatas/Chapter5/VN5_16_1.asset,
46,5-16结束,Assets/Config/ScenarioDatas/Chapter5/VN5_16_2.asset,
47,5章彩蛋,Assets/Config/ScenarioDatas/Chapter5/VN5_17_1.asset,
48,6-1,Assets/Config/ScenarioDatas/Chapter6/VN6_1_1.asset,
49,6-3,Assets/Config/ScenarioDatas/Chapter6/VN6_3_1.asset,
50,6-6,Assets/Config/ScenarioDatas/Chapter6/VN6_6_1.asset,
51,6-9,Assets/Config/ScenarioDatas/Chapter6/VN6_9_1.asset,
52,6-12开场,Assets/Config/ScenarioDatas/Chapter6/VN6_12_1.asset,
53,6-12结束,Assets/Config/ScenarioDatas/Chapter6/VN6_12_2.asset,
54,6-13,Assets/Config/ScenarioDatas/Chapter6/VN6_13_1.asset,
55,6-17开场,Assets/Config/ScenarioDatas/Chapter6/VN6_17_1.asset,
56,6-17结束,Assets/Config/ScenarioDatas/Chapter6/VN6_17_2.asset,
57,6章彩蛋开场,Assets/Config/ScenarioDatas/Chapter6/VN6_17_3.asset,
58,6章彩蛋结束,Assets/Config/ScenarioDatas/Chapter6/VN6_17_4.asset,
59,7-1,Assets/Config/ScenarioDatas/Chapter7/VN7_1_1.asset,
60,7-2,Assets/Config/ScenarioDatas/Chapter7/VN7_2_1.asset,
61,7-6,Assets/Config/ScenarioDatas/Chapter7/VN7_6_1.asset,
62,7-10,Assets/Config/ScenarioDatas/Chapter7/VN7_10_1.asset,
