id,level,rarity,exp
int,int,int,int
61,1,2,0
62,2,2,30
63,3,2,90
64,4,2,180
65,5,2,300
66,6,2,450
67,7,2,630
68,8,2,830
69,9,2,1060
70,10,2,1320
71,11,2,2340
72,12,2,4120
73,13,2,6650
74,14,2,9940
75,15,2,13990
76,16,2,19550
77,17,2,26630
78,18,2,35220
79,19,2,45330
80,20,2,56950
81,21,2,70840
82,22,2,87010
83,23,2,105450
84,24,2,126160
85,25,2,149140
86,26,2,175150
87,27,2,204190
88,28,2,236260
89,29,2,271360
90,30,2,309490
91,31,2,351410
92,32,2,397110
93,33,2,446600
94,34,2,499880
95,35,2,556940
96,36,2,617790
97,37,2,682430
98,38,2,750850
99,39,2,823060
100,40,2,899060
101,41,2,979790
102,42,2,1065260
103,43,2,1155460
104,44,2,1250390
105,45,2,1350060
106,46,2,1454460
107,47,2,1563590
108,48,2,1677460
109,49,2,1796060
110,50,2,1919390
111,51,2,2050300
112,52,2,2188780
113,53,2,2334840
114,54,2,2488470
115,55,2,2649670
116,56,2,2818450
117,57,2,2994800
118,58,2,3178720
119,59,2,3370220
120,60,2,3569290
121,1,3,0
122,2,3,30
123,3,3,90
124,4,3,180
125,5,3,300
126,6,3,450
127,7,3,630
128,8,3,830
129,9,3,1060
130,10,3,1320
131,11,3,2340
132,12,3,4120
133,13,3,6650
134,14,3,9940
135,15,3,13990
136,16,3,19550
137,17,3,26630
138,18,3,35220
139,19,3,45330
140,20,3,56950
141,21,3,70840
142,22,3,87010
143,23,3,105450
144,24,3,126160
145,25,3,149140
146,26,3,175150
147,27,3,204190
148,28,3,236260
149,29,3,271360
150,30,3,309490
151,31,3,351410
152,32,3,397110
153,33,3,446600
154,34,3,499880
155,35,3,556940
156,36,3,617790
157,37,3,682430
158,38,3,750850
159,39,3,823060
160,40,3,899060
161,41,3,979790
162,42,3,1065260
163,43,3,1155460
164,44,3,1250390
165,45,3,1350060
166,46,3,1454460
167,47,3,1563590
168,48,3,1677460
169,49,3,1796060
170,50,3,1919390
171,51,3,2050300
172,52,3,2188780
173,53,3,2334840
174,54,3,2488470
175,55,3,2649670
176,56,3,2818450
177,57,3,2994800
178,58,3,3178720
179,59,3,3370220
180,60,3,3569290
181,1,4,0
182,2,4,30
183,3,4,90
184,4,4,180
185,5,4,300
186,6,4,450
187,7,4,630
188,8,4,830
189,9,4,1060
190,10,4,1320
191,11,4,2340
192,12,4,4120
193,13,4,6650
194,14,4,9940
195,15,4,13990
196,16,4,19550
197,17,4,26630
198,18,4,35220
199,19,4,45330
200,20,4,56950
201,21,4,70840
202,22,4,87010
203,23,4,105450
204,24,4,126160
205,25,4,149140
206,26,4,175150
207,27,4,204190
208,28,4,236260
209,29,4,271360
210,30,4,309490
211,31,4,351410
212,32,4,397110
213,33,4,446600
214,34,4,499880
215,35,4,556940
216,36,4,617790
217,37,4,682430
218,38,4,750850
219,39,4,823060
220,40,4,899060
221,41,4,979790
222,42,4,1065260
223,43,4,1155460
224,44,4,1250390
225,45,4,1350060
226,46,4,1454460
227,47,4,1563590
228,48,4,1677460
229,49,4,1796060
230,50,4,1919390
231,51,4,2050300
232,52,4,2188780
233,53,4,2334840
234,54,4,2488470
235,55,4,2649670
236,56,4,2818450
237,57,4,2994800
238,58,4,3178720
239,59,4,3370220
240,60,4,3569290
