id,areaId,type,timeCost,taskStarsCount,teamSize,guildCharacterNum,guildCharacterId,necessaryConditions,extraConditions,baseDropId,extraDropId,closeTime
int,int,int,int,int,int,int,int,strings,strings,int,ints,int
1,1,1,480,3,2,0,,1:2:15,4:1:3,1011,2011,0
2,1,1,120,2,2,0,,"1:1:10,2:1:1","1:1:15,3:1:1",1012,"2012,3012",0
3,1,1,120,2,2,0,,"1:1:10,2:1:2","6:3000,8:2",1013,"2013,3013",0
4,1,1,120,2,2,0,,"1:1:10,2:1:3","1:1:15,3:1:2",1014,"2014,3014",0
5,1,1,120,2,2,0,,"1:1:10,2:1:4","6:2500,8:4",1015,"2015,3015",0
6,2,1,480,4,2,0,,1:2:25,6:8000,1021,2021,0
7,2,1,120,3,2,0,,"1:1:20,2:1:1","1:1:25,3:1:3",1022,"2022,3022",0
8,2,1,120,3,2,0,,"1:1:20,2:1:2","6:7000,8:2",1023,"2023,3023",0
9,2,1,120,3,2,0,,"1:1:20,2:1:3","1:1:25,3:1:4",1024,"2024,3024",0
10,2,1,120,3,2,0,,"1:1:20,2:1:4","6:6500,4:1:3",1025,"2025,3025",0
11,3,1,1,4,2,0,,1:1:10,4:2:3,1031,2031,0
12,3,1,1,4,2,0,,"2:1:1,6:1000","2:1:1,2:2:1",1032,"2032,3032",0
13,3,1,2,4,3,0,,3:1:1,"2:1:2,2:2:2",1033,"2033,3033",0
14,3,1,2,5,3,0,,"4:1:3,8:1","2:1:3,2:2:3",1034,"2034,3034",0
15,3,1,2,5,3,0,,"5:1:1,9:1","2:1:4,2:2:4",1035,"2035,3035",0
16,4,1,1,5,2,0,,1:1:10,4:2:3,1041,2041,0
17,4,1,1,5,2,0,,"2:1:1,6:1000","2:1:1,2:2:1",1042,"2042,3042",0
18,4,1,2,5,3,0,,3:1:1,"2:1:2,2:2:2",1043,"2043,3043",0
19,4,1,2,5,3,0,,"4:1:3,8:1","2:1:3,2:2:3",1044,"2044,3044",0
20,4,1,2,5,3,0,,"5:1:1,9:1","2:1:4,2:2:4",1045,"2045,3045",0
21,5,1,1,5,2,0,,1:1:10,4:2:3,1051,2051,0
22,5,1,1,5,2,0,,"2:1:1,6:1000",,1052,,0
23,5,1,2,5,3,0,,3:1:1,"2:1:1,2:2:1",1053,"2053,3053",0
24,5,1,2,5,3,0,,"4:1:3,8:1","2:1:2,2:2:2",1054,"2054,3054",0
25,5,1,2,5,3,0,,"5:1:1,9:1","2:1:3,2:2:3",1055,"2055,3055",0
26,5,1,2,5,3,0,,"5:1:1,9:1","2:1:4,2:2:4",1055,"2056,3056",0
27,0,2,2,2,3,1,1002,7:1002:10:2:1,1:1:10,1030601,200001,3
28,0,2,2,2,3,1,1003,7:1003:10:2:1,"2:1:1,6:1000",1030601,"200000,1020701",3
29,0,2,2,3,3,1,1004,"5:1:1,7:1004:10:2:1",3:1:1,1000101,200001,3
30,0,2,1,3,2,1,1002,"1:1:10,7:1002:10:2:1","4:1:3,8:1",1030601,"200001,1020201",5
31,0,2,1,4,2,1,1004,"2:1:1,7:1004:10:2:1","5:1:1,9:1",1000101,"200001,1020201",5
32,0,2,2,4,3,1,1002,"3:1:1,7:1002:10:2:1",1:1:10,1030601,200001,5
33,0,2,2,5,3,1,1002,"4:1:3,8:1,7:1002:10:2:1","2:1:1,6:1000",1000101,"200001,1020201",5
34,0,2,2,5,3,1,1003,"5:1:1,9:1,7:1003:10:2:1",3:1:1,1030601,200001,8
35,0,2,1,4,2,1,1002,"1:1:10,7:1002:10:2:1","4:1:3,8:1",1000101,"200000,1020201",8
36,0,2,1,5,2,1,1002,"2:1:1,6:1000,7:1002:10:2:1","5:1:1,9:1",1030601,"200001,1020201",8
