id,objectState
int,int
1,1
2,2
4,4
6,6
8,8
10,10
12,12
14,14
16,16
18,18
20,20
22,22
1003,1003
1004,1004
1005,1005
1006,1006
1007,1007
1008,1008
1009,1009
1013,1013
1014,1014
1024,1024
1031,1031
2001,2001
2005,2005
2006,2006
2007,2007
2019,2019
2020,2020
2021,2021
2040,2040
2041,2041
2042,2042
2050,2050
2051,2051
2052,2052
3002,3002
3003,3003
3004,3004
3005,3005
3006,3006
3007,3007
3008,3008
3010,3010
4001,4001
4002,4002
4003,4003
4004,4004
4005,4005
5101,5101
5102,5102
5103,5103
5104,5104
5105,5105
5106,5106
5107,5107
5108,5108
5109,5109
5110,5110
5113,5113
5114,5114
5115,5115
5116,5116
5117,5117
5118,5118
5119,5119
5120,5120
5121,5121
5122,5122
5123,5123
5124,5124
5125,5125
5126,5126
5141,5141
5143,5143
5145,5145
5147,5147
5149,5149
5151,5151
5241,5241
5242,5242
5243,5243
5244,5244
5245,5245
5246,5246
5247,5247
5248,5248
5249,5249
5250,5250
5251,5251
5252,5252
9961,9961
9963,9963
9971,9971
9973,9973
9984,9984
9985,9985
9987,9987
9988,9988
9989,9989
9995,9995
9997,9997
9999,9999
10101,101011
10102,101021
10103,101031
10104,101041
10105,101051
10106,101061
10107,101071
302011,302011
1020702,1020702
1020703,1020703
1020704,1020704
1020705,1020705
3020101,3020101
3020102,3020102
3020103,3020103
3020104,3020104
3020105,3020105
3020106,3020106
3020107,3020107
10101021,10101021
10102021,10102021
10102022,10102022
10102031,10102031
10102032,10102032
10102041,10102041
10103031,10103031
10104010,10104010
10104011,10104011
10104030,10104030
10201021,10201021
10201022,10201022
10201023,10201023
10203010,10203010
10203011,10203011
10203012,10203012
10203013,10203013
10204011,10204011
10204012,10204012
10204013,10204013
10205011,10205011
10205012,10205012
10205013,10205013
10205014,10205014
10206021,10206021
10206022,10206022
10206023,10206023
10206031,10206031
10207011,10207011
10207012,10207012
10207013,10207013
10207014,10207014
10207041,10207041
10207042,10207042
10207043,10207043
10208011,10208011
10208021,10208021
10208022,10208022
10208023,10208023
10208024,10208024
10208025,10208025
10208026,10208026
10208027,10208027
10208031,10208031
10209012,10209012
10209013,10209013
10209014,10209014
10209021,10209021
10209022,10209022
10209023,10209023
10209031,10209031
10209041,10209041
10209051,10209051
20101010,20101010
20101040,20101040
20101060,20101060
20102011,20102011
20102012,20102012
20102013,20102013
20102021,20102021
20102022,20102022
20102031,20102031
20104011,20104011
20105011,20105011
20105021,20105021
20106011,20106011
20106021,20106021
20106031,20106031
20107021,20107021
20107031,20107031
20107041,20107041
20107042,20107042
20111010,20111010
20111020,20111020
20111021,20111021
20111022,20111022
20112010,20112010
20112020,20112020
20112021,20112021
20112022,20112022
20112031,20112031
20113010,20113010
20113020,20113020
20113021,20113021
20113022,20113022
20113031,20113031
20201011,20201011
20201031,20201031
20201032,20201032
20201041,20201041
20201051,20201051
20202011,20202011
20202021,20202021
20202022,20202022
20202031,20202031
20202032,20202032
20202033,20202033
20202041,20202041
20202051,20202051
20203011,20203011
20203021,20203021
20204011,20204011
20204021,20204021
20204031,20204031
20205011,20205011
20205021,20205021
20205022,20205022
20205031,20205031
20206011,20206011
20207021,20207021
20207041,20207041
20208011,20208011
20208031,20208031
20208041,20208041
