id,objectType,posType,nextState,serverSubTaskId,objectParam
int,int,int,int,int,string
1,1,2,,,4000001
2,9,1,3,,
3,1,2,,,4000003
4,9,1,5,,
5,1,2,,,4000003
6,9,1,7,,
7,1,2,,,4000003
8,9,1,9,,
9,1,2,,,4000003
10,9,1,11,,
11,1,2,,,4000003
12,1,2,,,4000004
13,1,2,,,4000004
14,9,1,15,,
15,1,2,,,4000005
16,9,1,17,,
17,1,2,,,4000003
18,9,1,19,,
19,1,2,,,4000003
20,9,1,21,,
21,1,2,,,4000003
22,1,2,,,4000002
1003,4,2,,,41
1004,4,2,,,10041
1005,4,2,,,41
1006,4,2,,,41
1007,4,2,,,10071
1008,4,2,,,41
1009,4,2,,,41
1013,4,2,,,41
1014,4,2,,,41
1024,4,2,,,41
1031,4,2,,,41
2001,4,2,,,41
2005,4,2,,,41
2006,4,2,,,41
2007,4,2,,,41
2019,4,2,,,41
2020,4,2,,,41
2021,4,2,,,41
2040,4,2,,,20401
2041,4,2,,,20411
2042,4,2,,,20421
2050,4,2,,,20501
2051,4,2,,,20511
2052,4,2,,,20521
3002,4,2,,,41
3003,4,2,,,30031
3004,4,2,,,30041
3005,4,2,,,30051
3006,4,2,,,30061
3007,4,2,,,30071
3008,4,2,,,30081
3010,4,2,,,41
4001,4,2,,,41
4002,4,2,,,41
4003,4,2,,,41
4004,4,2,,,41
4005,4,2,,,41
5101,2,2,,,401104
5102,2,2,,,401109
5103,2,2,,,401114
5104,2,2,,,401119
5105,2,2,,,401124
5106,2,2,,,401204
5107,2,2,,,401209
5108,2,2,,,401214
5109,2,2,,,401219
5110,2,2,,,401224
5113,3,2,,,401214
5114,3,2,,,401219
5115,3,2,,,401209
5116,3,2,,,401209
5117,3,2,,,401204
5118,3,2,,,401204
5119,3,2,,,401219
5120,3,2,,,401214
5121,3,2,,,401209
5122,3,2,,,401214
5123,3,2,,,401209
5124,3,2,,,401204
5125,3,2,,,401209
5126,3,2,,,401219
5140,12,2,,,
5141,14,2,5140,,401505
5143,14,2,5140,,401501
5145,14,2,5140,,401506
5147,14,2,5140,,401502
5149,14,2,5140,,401503
5151,14,2,5140,,401504
5240,12,2,,,
5241,14,2,5240,,402501
5242,14,2,5240,,402502
5243,14,2,5240,,402503
5244,14,2,5240,,402504
5245,14,2,5240,,402505
5246,14,2,5240,,402506
5247,14,2,5240,,402507
5248,14,2,5240,,402508
5249,14,2,5240,,402509
5250,14,2,5240,,402510
5251,14,2,5240,,402511
5252,14,2,5240,,402512
9961,1,2,9962,,4023197
9962,12,2,,,
9963,1,2,9964,,4023196
9964,12,2,,,
9971,1,2,9972,,4023198
9972,12,2,,,
9973,1,2,9974,,4023199
9974,12,2,,,
9984,12,2,,,
9985,12,2,,,
9986,12,2,,,
9987,6,2,9986,,
9988,12,2,,,
9989,12,2,,,
9994,12,2,,,
9995,1,2,9994,,4999997
9996,12,2,,,
9997,1,2,9996,,4999998
9998,12,2,,,
9999,1,2,9998,,4999999
101011,6,2,101012,1010202,
101012,6,2,101013,2011103,
101013,12,2,,,
101021,6,2,101022,2011203,
101022,12,2,,,
101031,6,2,101032,2011303,
101032,12,2,,,
101041,7,0,,,
101051,12,0,101052,,
101052,6,0,101053,2010204,
101053,12,0,,,
101061,12,1,,,
101071,12,2,,,
302011,12,2,,,
1020702,3,2,,,402201
1020703,3,2,,,402206
1020704,3,2,,,402211
1020705,3,2,,,402216
3020101,3,2,,,402221
3020102,3,2,,,402226
3020103,3,2,,,402231
3020104,3,2,,,402236
3020105,3,2,,,402241
3020106,3,2,,,402246
3020107,2,2,,,402251
10101021,2,2,,,401307
10102021,3,2,,,401308
10102022,3,2,,,401309
10102031,2,2,,,401310
10102032,2,2,,,401311
10102041,9,1,10102042,,
10102042,1,2,,,4013199
10103031,2,2,,,401405
10104010,4,2,,,
10104011,2,2,,,401318
10104030,11,0,,,
10201021,2,2,,,402301
10201022,2,2,,,402302
10201023,2,2,,,402303
10203010,4,2,,,
10203011,2,2,,,402304
10203012,2,2,,,402305
10203013,2,2,,,402306
10204011,11,2,,,
10204012,6,2,102040121,1020402,
10204013,6,2,102040131,1020402,
10205011,4,2,,,
10205012,12,1,,1020502,
10205013,12,1,,1020502,
10205014,12,1,,1020502,
10206021,2,2,,,402307
10206022,2,2,,,402308
10206023,2,2,,,402309
10206031,2,2,,,402401
10207011,4,2,,,
10207012,12,1,,1020702,
10207013,12,1,,1020702,
10207014,12,1,,1020702,
10207041,12,2,102070411,1020704,
10207042,12,2,102070421,1020704,
10207043,12,2,102070431,1020704,
10208011,7,0,,,
10208021,2,2,,,402310
10208022,2,2,,,402311
10208023,2,2,,,402312
10208024,2,2,,,402313
10208025,2,2,,,402314
10208026,2,2,,,402315
10208027,2,2,,,402316
10208031,2,2,,,402402
10209012,12,1,,1020901,
10209013,12,1,,1020901,
10209014,12,1,,1020901,
10209021,6,2,102090211,1020902,
10209022,6,2,102090221,1020902,
10209023,6,2,102090231,1020902,
10209031,4,2,,,
10209041,2,2,,,402403
10209051,4,2,,,
20101010,4,2,,,
20101040,4,2,,,
20101060,9,1,20101061,,
20101061,1,2,,,4013303
20102011,2,2,,,401320
20102012,2,2,,,401321
20102013,2,2,,,401322
20102021,3,2,,,401323
20102022,3,2,,,401324
20102031,2,2,,,401406
20104011,2,2,,,401402
20105011,4,2,,,
20105021,4,2,,,
20106011,4,2,,,
20106021,2,2,,,401403
20106031,2,2,,,401404
20107021,9,2,20107022,,
20107022,7,0,,,
20107031,9,2,20107032,,
20107032,7,0,,,
20107041,2,2,,,401401
20107042,4,2,,,
