id,subTaskId,subTaskType,target,positions,npc,addTaskItem,deleteTaskItem,clearPosGroup,createGroupObject,changeObjectState,changeTerrainState,terrainStateDeleteAt,createDeleteAtGroupObj,deleteAt
int,int,int,strings,strings,ints,strings,strings,strings,strings,ints,string,int,strings,int
1,1010001,12,1,0:0,,,,,,,,,,
2,1010101,9,-9:-27,-9:-27,,,,"-15:-35:-23,-14:-35:-23,-13:-35:-23,-12:-35:-23,-11:-35:-23,-10:-35:-23,-9:-35:-23,-8:-35:-23,-7:-35:-23,-6:-35:-23,-5:-35:-23,-4:-35:-23,-3:-35:-23",,,,,,
3,1010102,3,10101021:3,-9:-29,,,,"-15:-35:-23,-14:-35:-23,-13:-35:-23,-12:-35:-23,-11:-35:-23,-10:-35:-23,-9:-35:-23,-8:-35:-23,-7:-35:-23,-6:-35:-23,-5:-35:-23,-4:-35:-23,-3:-35:-23","-7:-26:10101021,-12:-29:10101021,-7:-32:10101021",,,,,
4,1010201,9,-1:22,-1:22,,,,"-3:19:30,-2:19:30,-1:19:30,0:19:30,1:19:30,2:19:30,3:19:30,4:19:30,5:19:30,6:19:30,7:19:30",,,,,,
5,1010202,11,10101:101012,,10101,,,"-3:19:30,-2:19:30,-1:19:30,0:19:30,1:19:30,2:19:30,3:19:30,4:19:30,5:19:30,6:19:30,7:19:30","1:25:10102021,1:29:10102022",,,,,
6,1010203,3,"10102031:1,10102032:2",,10101,,,"-3:19:30,-2:19:30,-1:19:30,0:19:30,1:19:30,2:19:30,3:19:30,4:19:30,5:19:30,6:19:30,7:19:30","1:24:10102031,4:27:10102032,2:29:10102032",,,,,
7,1010204,13,171801:1,,10101,,,"-3:19:30,-2:19:30,-1:19:30,0:19:30,1:19:30,2:19:30,3:19:30,4:19:30,5:19:30,6:19:30,7:19:30",1:25:10102041,,,,,
8,1010205,12,1,0:0,,,,,,,,,,
9,1010301,10,"20111,20112,20113",0:0,,,,,,,,,,
10,1010302,9,10:18,10:18,,,,,,,,,,
11,1010303,3,10103031:1,10:19,,171010:1,"171801:1,171802:1,171803:1",11:19:19,10:19:10103031,,,,,
12,1010304,9,3:5,3:5,,,,11:19:19,,,,,,
13,1010305,12,1,0:0,,,171010:1,,,,,,0:0:10104,-1
