id,taskType,finishTaskCity,unlockCondition,taskGroup,nextSubTaskId,dropId,enableMatchAreaId,abandonTask
int,int,int,strings,int,int,int,int,bool
10100,1,1,17:5,,1010001,,,0
10101,1,1,,,1010101,4013101,,0
10102,1,1,16:10101,,1010201,4013102,1,0
10103,1,1,16:10102,,1010301,4013103,,0
10104,1,2,16:10103,,1010401,4013104,,0
20101,2,1,16:10103,,2010101,4013304,,0
20102,2,1,16:10103,,2010201,4013305,,0
20103,2,1,1:99,,2010301,4013306,,0
20104,2,1,16:20102,,2010401,4013307,,0
20105,2,1,16:20102,,2010501,4013308,,0
20106,2,1,16:20102,,2010601,4013309,,0
20107,2,1,16:10103,,2010701,4013310,,
20111,2,1,16:10102,,2011101,4013301,,0
20112,2,1,16:10102,,2011201,4013302,,0
20113,2,1,16:10102,,2011301,4013303,,0
10201,1,2,,,1020101,4023101,,0
10202,1,2,"16:10201,2:10609",,1020201,4023102,,0
10203,1,2,16:10202,,1020301,4023103,,0
10204,1,2,16:10203,,1020401,4023104,,0
10205,1,2,"16:10204,2:10701",,1020501,4023105,,0
10206,1,2,16:10205,,1020601,4023106,,0
10207,1,2,16:10206,,1020701,4023107,,0
10208,1,2,16:10207,,1020801,4023108,,0
10209,1,2,16:10208,,1020901,4023109,,0
20201,2,2,16:10204,,2020101,4023301,,0
20202,2,2,16:10204,,2020201,4023302,,0
20203,2,2,16:10204,,2020301,4023303,,0
20207,2,2,16:10204,,2020702,4023307,,0
20204,2,2,16:10208,,2020401,4023304,,0
20205,2,2,16:10208,,2020501,4023305,,0
20206,2,2,16:10208,,2020601,4023306,,0
20208,2,2,16:10208,,2020801,4023308,,0
