id,function,explain,type
int,string,string,int
1,Test,测试协议,0
23,Error,错误返回,1
101,HeartBeatReq,客户端心跳,0
103,HeartBeatResp,服务端心跳回调,0
1001,Login,登录请求,0
1003,Logout,退出请求,0
1005,SuitUser,获取玩家批量游戏数据,0
1007,SystemVersion,获取系统版本信息,0
1015,UserGuide,新手引导-通过某一引导,0
1017,UserReconnect,玩家断线重连,0
1019,UserNickname,玩家设置昵称,0
1021,UserSignature,玩家设置签名,0
1023,UserAvatar,玩家设置头像,0
1025,UserGuideGetAll,新手引导-获取所有已通过引导,0
1027,UserQuerySimpleInfo,玩家-查询部分玩家基础信息,0
1029,GM,玩家gm,0
1031,DailyRefreshNotify,每日刷新提示,1
1033,ExchangeCDKey,兑换兑换码,0
1035,RefreshRedPoint,刷新红点,0
1037,DestinyChild,玩家-获得新手池子本命角色(引导用),0
1039,VisitingCardSetCharacter,设置名片展示角色,0
1041,VisitingCardSetWorldItem,设置名片展示世界级道具,0
1043,VisitingCard,查看名片信息,0
1045,DailyGiftInfo,整点奖励领取情况,0
1047,GetDailyGiftReward,领取整点奖励,0
1049,UserFrame,设置头像框,0
1051,FetchAnnouncement,获取公告,0
1053,FetchIsFirstRename,查询是否是第一次改名,0
1101,GetItemList,获取道具列表,0
1103,ItemSell,道具出售,0
1105,ItemUse,道具使用,0
1201,GetGachaList,抽卡-获取卡池信息列表,0
1203,UserGachaDrop,抽卡-玩家抽卡,0
1205,UserGachaRecords,抽卡-抽卡记录,0
1401,GraveyardGetInfo,大墓地-获取信息,0
1403,GraveyardBuildCreate,大墓地-建筑建造,0
1405,GraveyardBuildLvUp,大墓地-建筑升级,0
1407,GraveyardBuildStageUp,大墓地-建筑进阶,0
1409,GraveyardProduceStart,大墓地-建筑开始生产,0
1411,GraveyardProductionGet,大墓地-建筑产品获取,0
1413,GraveyardOpenCurtain,大墓地-建筑揭幕布,0
1415,GraveyardRefreshBuildInfo,大墓地-获取某一个建筑的信息,0
1417,GraveyardPopulationSet,大墓地-建筑人口调配,0
1419,GraveyardRelocation,大墓地-建筑重置位置,0
1421,GraveyardCharacterDispatch,大墓地-建筑角色入驻,0
1423,GraveyardAccelerate,大墓地-建筑加速,0
1425,GraveyardHelp,大墓地-帮助他人,0
1427,GraveyardSendHelpRequest,大墓地-请求帮助,0
1429,GraveyardGetHelpRequests,大墓地-请求帮助列表,0
1431,GraveyardReceiveHelp,大墓地-建筑被帮助推送,1
1435,GraveyardReceivePlotReward,大墓地-领取小人对话奖励,0
1437,GraveyardGetRewardHours,大墓地-获得小人对话领奖区间,0
1439,GraveyardUseBuff,大墓地-使用产出buff道具,0
1501,GetCharacterList,角色列表,0
1503,CharacterLvUp,角色升级操作,0
1505,CharacterStarUp,角色升星操作,0
1507,CharacterStageUp,角色进阶操作,0
1509,CharacterSkillLvUp,角色-技能升级,0
1511,CharacterWear,批量穿戴装备,0
1513,CharacterUndress,批量卸下装备,0
1601,EquipmentStrengthen,装备强化,0
1603,EquipmentAdvance,装备突破,0
1605,EquipmentLock,装备锁定切换,0
1607,EquipmentRecastCamp,装备重铸-阵营随机,0
1609,EquipmentConfirmRecastCamp,装备重铸-二次确认,0
1611,EquipmentList,获取装备列表,0
1801,VnGetInfo,视觉小说-获取信息,0
1803,VnGetReward,视觉小说-领取剧情奖励,0
1805,VnRead,视觉小说-阅读,0
2001,GetQuestInfo,任务信息,0
2003,RecieveQuest,领取任务奖励,0
2005,RecieveQuestActivityReward,任务活跃度领奖,0
2007,QuestUpdateNotify,任务更新推送,1
2601,TpGateList,传送门-获取列表,0
2603,TpGateUse,传送门-使用,0
2605,TpGateDestory,传送门-销毁,0
2701,WorldItemStrengthen,世界级道具-强化世界级道具,0
2703,WorldItemAdvance,世界级道具-突破世界级道具,0
2705,WorldItemLock,世界级道具-世界级道具加锁和解锁,0
2707,WorldItemList,世界级道具-获取世界级道具列表,0
2801,YggdrasilGetMain,世界探索-进入玩法主界面,0
2803,YggdrasilGetBlockInfo,世界探索-获得块信息,0
2805,YggdrasilExploreStart,世界探索-开始探索,0
2807,YggdrasilExploreReturnCity,世界探索-回城,0
2809,YggdrasilExploreMove,世界探索-移动,0
2813,YggdrasilAcceptTask,世界探索-领任务,0
2815,YggdrasilCompleteTask,世界探索-完成任务,0
2817,YggdrasilAbandonTask,世界探索-放弃任务,0
2819,YggdrasilDeliverTaskGoods,世界探索-交付任务物品,0
2821,YggdrasilObjectHandle,操作object (宝箱 魔台等),0
2825,YggdrasilObjectMove,世界探索-object移动（npc和主动怪物）,0
2827,YggdrasilGoodsPickUp,世界探索-物品捡起,0
2829,YggdrasilGoodsDiscard,世界探索-物品丢弃,0
2831,YggdrasilBuildCreate,世界探索-建筑建造,0
2833,YggdrasilBuildDestroy,世界探索-建筑拆除,0
2837,YggdrasilBuildAddAp,世界探索-建筑使用精力泉水,0
2839,YggdrasilBuildAddHp,世界探索-建筑使用血量泉水,0
2841,YggdrasilBuildUsePeeing,世界探索-建筑使用魔法窥视站,0
2843,YggdrasilBuildUseTransPort,世界探索-建筑使用魔法传送阵,0
2845,YggdrasilBuildUseGetBuff,世界探索-建筑使用魔法灵息,0
2847,YggdrasilMarkCreate,世界探索-标注创建,0
2849,YggdrasilMarkDestroy,世界探索-标注销毁,0
2855,YggdrasilQueryPosition,世界探索-查询object位置,0
2857,YggdrasilSetTrackTask,世界探索-设置追踪任务,0
2861,YggdrasilExploreQuit,世界探索-体力耗完休息,0
2863,YggdrasilExploreLeaveCity,世界探索-从城市出发,0
2865,YggdrasilChooseNext,世界探索-选择下一个子任务,0
2867,YggdrasilMessageCreate,世界探索-创建留言,0
2869,YggdrasilMessageUpdate,世界探索-更新留言,0
2871,YggdrasilMessageDestroy,世界探索-删除留言,0
2873,YggdrasilAreaProgressReward,世界探索-领取探索进度奖励,0
2875,YggdrasilMailGetByPage,世界探索-异界邮箱获取邮件,0
2877,YggdrasilMailReceiveOne,世界探索-领取附件,0
2879,YggdrasilMailReceiveAll,世界探索-一键领取,0
2881,YggdrasilTrackMark,世界探索-设置追踪标注,0
2883,YggdrasilGetAllArea,世界探索-获得所有区域信息,0
2885,YggSpecialStatics,世界探索-ygg特殊的统计（用于新手引导）,0
2887,YggBattleGiveUp,世界探索-放弃进入战斗,0
2889,YggMonsterInitPos,世界探索-获得主动怪物初始坐标,0
2891,YggMonsterBackInitPos,世界探索-主动怪物回到初始坐标,0
2901,ManualGetReward,图鉴-领取奖励,0
2903,ManualGetAll,图鉴-图鉴信息,0
30001,YggdrasilTaskInfoChange,世界探索-任务信息改变推送,1
30002,YggdrasilTaskFail,世界探索-任务失败推送,1
30003,YggdrasilIntimacyChange,世界探索-伙伴的亲密度变化推送,1
3001,YggdrasilCoBuildGetInfo,世界探索-联合建筑获取建筑信息,0
3003,YggTransferPortalActivate,世界探索-激活传送门,0
