id,value
int,string
801013,帳號等級達到30
801014,帳號等級達到45
801021,莫莫等級達到10
801022,莫莫等級達到25
801023,莫莫等級達到50
801031,娜貝等級達到10
801032,娜貝等級達到25
801033,娜貝等級達到50
801041,至尊等級達到10
801042,至尊等級達到30
801043,至尊等級達到45
801051,莫莫進階至3階
801052,莫莫進階至5階
801053,莫莫進階至7階
801054,莫莫進階至9階
801061,娜貝進階至3階
801062,娜貝進階至5階
801063,娜貝進階至7階
801064,娜貝進階至9階
801071,莫莫提升至2星
801072,莫莫提升至3星
801073,莫莫提升至4星
801074,莫莫提升至5星
801081,娜貝提升至2星
801082,娜貝提升至3星
801083,娜貝提升至4星
801084,娜貝提升至5星
801091,希姿等級達到10
801092,希姿等級達到25
801093,希姿等級達到40
801094,希姿等級達到55
801101,希姿進階至3階
801102,希姿進階至5階
801103,希姿進階至7階
801104,希姿進階至9階
801111,希姿提升至2星
801112,希姿提升至3星
801113,希姿提升至4星
801114,希姿提升至5星
801121,莫莫奧義升至2級
801122,莫莫奧義升至3級
801123,莫莫奧義升至4級
801124,莫莫奧義升至5級
801131,希姿奧義升至2級
801132,希姿奧義升至3級
801133,希姿奧義升至4級
801134,希姿奧義升至5級
801141,莫莫累計造成10萬傷害
801142,莫莫累計造成50萬傷害
801143,莫莫累計造成120萬傷害
801144,莫莫累計造成200萬傷害
801151,希姿累計造成10萬傷害
801152,希姿累計造成50萬傷害
801153,希姿累計造成120萬傷害
801154,希姿累計造成200萬傷害
801161,使用天空墜落20次
801162,使用天空墜落50次
801163,使用天空墜落80次
801164,使用天空墜落120次
801171,使用公會榮耀20次
801172,使用公會榮耀50次
801173,使用公會榮耀80次
801174,使用公會榮耀120次
801181,安茲累計造成10萬傷害
801182,安茲累計造成30萬傷害
801183,安茲累計造成80萬傷害
801184,安茲累計造成200萬傷害
804011,帳號等級達到2
804012,帳號等級達到5
804013,帳號等級達到30
804014,帳號等級達到45
804021,葛傑夫等級達到10
804022,葛傑夫等級達到25
804023,葛傑夫等級達到50
804031,布萊恩等級達到10
804032,布萊恩等級達到25
804033,布萊恩等級達到50
804041,至尊等級達到10
804042,至尊等級達到30
804043,至尊等級達到45
804051,葛傑夫進階至3階
804052,葛傑夫進階至5階
804053,葛傑夫進階至7階
804054,葛傑夫進階至9階
804061,布萊恩進階至3階
804062,布萊恩進階至5階
804063,布萊恩進階至7階
804064,布萊恩進階至9階
804071,葛傑夫提升至2星
804072,葛傑夫提升至3星
804073,葛傑夫提升至4星
804074,葛傑夫提升至5星
804081,布萊恩提升至2星
804082,布萊恩提升至3星
804083,布萊恩提升至4星
804084,布萊恩提升至5星
804091,塞巴斯等級達到10
804092,塞巴斯等級達到25
804093,塞巴斯等級達到40
804094,塞巴斯等級達到55
804101,塞巴斯進階至3階
804102,塞巴斯進階至5階
804103,塞巴斯進階至7階
804104,塞巴斯進階至9階
804111,塞巴斯提升至2星
804112,塞巴斯提升至3星
804113,塞巴斯提升至4星
804114,塞巴斯提升至5星
804121,葛傑夫奧義升至2級
804122,葛傑夫奧義升至3級
804123,葛傑夫奧義升至4級
804124,葛傑夫奧義升至5級
804131,塞巴斯奧義升至2級
804132,塞巴斯奧義升至3級
804133,塞巴斯奧義升至4級
804134,塞巴斯奧義升至5級
804141,葛傑夫累計造成10傷害
804142,葛傑夫累計造成50萬傷害
804143,葛傑夫累計造成120萬傷害
804144,葛傑夫累計造成200萬傷害
804151,塞巴斯累計造成10萬傷害
804152,塞巴斯累計造成50萬傷害
804153,塞巴斯累計造成120萬傷害
804154,塞巴斯累計造成200萬傷害
804161,使用次元斬20次
804162,使用次元斬50次
804163,使用次元斬80次
804164,使用次元斬120次
804171,使用塵世庇護20次
804172,使用塵世庇護50次
804173,使用塵世庇護80次
804174,使用塵世庇護120次
804181,塔其米累計造成10萬傷害
804182,塔其米累計造成30萬傷害
804183,塔其米累計造成80萬傷害
804184,塔其米累計造成200萬傷害
