id,value
int,string
3,付費鑽石
4,體力
5,精力
6,至尊經驗
11,金幣
12,競技場代幣
13,公會代幣
51,納薩力克地區的聲望
52,耶蘭提爾地區的聲望
53,卡恩村地區的聲望
54,武都森林地區的聲望
55,蜥蜴人部落地區的聲望
1001,安茲·烏爾·恭
1002,希姿
1003,露普斯蕾琪娜
1004,雅兒貝德
1005,科塞特斯
1006,塞巴斯
1007,亞烏菈
1008,馬雷
1009,迪米烏哥斯
1010,潘朵拉
1011,索留香
1012,莫莫
1013,夏提雅
1014,夏提雅·女武神
1015,亞達巴奧
1016,恐怖公
1017,由莉
1018,娜貝拉爾
1019,艾多瑪
1020,雅兒貝德·黑騎
1021,威克提姆
1022,佩斯托婭
1023,絕死絕命
1024,第一席
1025,時間亂流
1026,四大精靈
1027,神聖咒歌
1028,一人師團
1029,聖擊一掃
1030,占星千里
1031,巨盾萬壁
1032,神領縛鎖
1033,人類最強
1034,無限魔力
1035,天上天下
1036,艾多瑪·蜘蛛
1037,裡格利特
1038,馬雷&亞烏菈
1039,福魯達
1040,巴傑德
1041,蕾娜斯
1042,寧布林
1043,艾庫賴爾
1044,雅兒貝德·純白
1045,塞巴斯·武士道
1046,琪諾
2001,娜貝
2002,嫉妒魔將
2003,貪婪魔將
2004,暴怒魔將
2005,葛傑夫
2006,布萊恩
2007,依比魯艾
2008,菈萩絲
2009,格格蘭
2010,緹婭&緹娜
2011,狄瓦諾克
2012,帕爾帕朵拉
2013,科克托爾
2014,愛雪
2015,伊米娜
2016,羅巴提庫
2017,赫克蘭
2018,艾爾亞
2019,伊古瓦
2020,克萊門汀
2021,桀洛
2022,琪雅蕾
2041,恩菲雷亞
3001,納劄米
3002,倉助
3003,紮裡尤斯
3004,沙斯林
3005,庫魯雪
3006,斯修
3007,休古
3008,澤伯魯
3009,馬姆維斯特
3010,薩丘隆特
3011,克萊姆
3012,布魯姆拉修侯
3013,尼根
4001,布麗塔
4002,彼得
4003,盧克洛特
4004,尼亞
4005,戴因
4006,伯里斯
4007,格林迦姆
7001,喚世之鑰
7002,遺世之鑰
8001,聖者遺券
8002,賢者遺券
9001,體力藥水
100010,安茲技能點
100020,黑洛黑洛技能點
100030,泡泡茶壺技能點
100040,塔其米技能點
100110,翠玉錄技能點
100021,黑洛黑洛碎片
100031,泡泡茶壺碎片
100041,塔其米碎片
100111,翠玉錄碎片
1111001,戰錘
1111002,戰盔
1111003,板甲
1112001,碎顱錘
1112002,騎士頭盔
1112003,騎士鎧甲
1112011,狂戰短斧
1112012,實用頭盔
1112013,珍貴肩甲
1113001,粉碎者
1113002,磐石
1113003,精鐵甲胄
1113011,利刃之盾
1113012,傲慢之盔
1113013,肌肉力量
1113021,拒絕之盾
1113022,勇氣之冠
1113023,磐石之力
1114001,暴烈權柄
1114002,否決冠蓋
1114003,斷絕避障
1114011,清算
1114012,堅毅之顱
1114013,裁定意志
1114021,彗星之力
1114022,星石顱盔
1114023,星塵的守護
1121001,鐵劍
1121002,頭盔
1121003,鎖子甲
1122001,八方劍
1122002,將軍冠
1122003,鑲鱗甲胄
1122011,碎顱者
1122012,勇氣頭巾
1122013,鬥爭意志
1123001,百夫長之榮
1123002,勇士的桂冠
1123003,征服者
1123011,好運長槍
1123012,固執頭盔
1123013,綠葉之鎧
1123021,厄運波紋
1123022,守護之盔
1123023,炙熱鎧甲
1124001,不止的霜風
1124002,白狼頭
1124003,熄滅的雄心
1124011,天爐之芯
1124012,紅龍之顱
1124013,荊棘之誓
1124021,至高傑作
1124022,獅王的咆哮
1124023,沉寂的榮耀
1131001,剔骨刀
1131002,面罩
1131003,襤褸衫
1132001,淬毒短劍
1132002,賊人的兜帽
1132003,賊人的灰袍
1132011,嫉恨之刃
1132012,蛛網面巾
1132013,迷彩斗篷
1133001,喋血烏鴉
1133002,陰影面具
1133003,琉璃衛制服
1133011,寒冰拳刺
1133012,匿蹤尖帽
1133013,項間刀鋒
1133021,劇毒彎刀
1133022,瘋癲面具
1133023,楓葉旗袍
1134001,弑君斷刃
1134002,憤恨容貌
1134003,毀譽斗篷
1134011,野心的獠牙
1134012,偽君子
1134013,紅親王
1134021,月刃
1134022,夜隼面罩
1134023,夜影風衣
1141001,反曲弓
1141002,皮帽
1141003,皮背心
1142001,楊木長弓
1142002,熊皮兜帽
1142003,獵手風衣
1142011,必中信念
1142012,護瞳之鏡
1142013,箭場新手
1143001,偷獵者
1143002,偷獵人面罩
1143003,森林之影
1143011,雷霆之怒
1143012,靈犀之鏡
1143013,綠色使者
1143021,渴血之劍
1143022,信念必中
1143023,自虐束腰
1144001,終點
1144002,首席遊俠風帽
1144003,遠行的記憶
1144011,青鸞之翼
1144012,翠神的視界
1144013,森語者之誓
1144021,跨越星空
1144022,英雄的決意
1144023,受歌頌者
1151001,木杖
1151002,學徒尖帽
1151003,學徒長袍
1152001,雕文法杖
1152002,增幅法冠
1152003,導師法袍
1152011,疑惑法球
1152012,神秘之帽
1152013,歲月披風
1153001,魔芯
1153002,智慧華冠
1153003,秘法長衫
1153011,冰火魔杖
1153012,破曉頭冠
1153013,冰鱗披風
1153021,約定之書
1153022,日月之啟
1153023,焚世法袍
1154001,洞察
1154002,期許
1154003,意志
1154011,法則
1154012,真理
1154013,天道
1154021,大法師的啟迪
1154022,禦法者之容
1154023,守護者的榮耀
1161001,道標
1161002,聖徒的誓言
1161003,殉道者長袍
1162001,巫祭人偶
1162002,通靈面具
1162003,通靈祭服
1162011,祈願花束
1162012,自然花環
1162013,沼澤披肩
1163001,祝福法杖
1163002,鹿角冠
1163003,生機長袍
1163011,咕咕豎琴
1163012,警惕之耳
1163013,祝福者
1163021,凝神羽扇
1163022,鹿神眷顧
1163023,歌唱者
1164001,使徒之杖
1164002,盤蛇帽
1164003,被銘記的長袍
